Time/s,Throttle/%,IAS/kph,TAS/kph,Mach Number/Ma,"Altitude, m",Temperature/?,Oil Temp/?,Vario/m/s,SEP*/m/s,Load/G,Roll Rate/deg/s,Power/bhp,Efficiency/%,EffectivePower*/bhp,RPM/rpm,Thrust/kg,Acceleration*/m/s^2,RPM throttle/%,PropPitch/deg,Radiator/%,Mixture/%,Compressor/stage,Magneto/stage,ManifoldPressure/ata,Flaps/%,Elevator/%,Aileron/%,Rudder/%,AoA ?/deg,AoS ?/deg
5.71,110,0,0,0,72,63,52,0,0,0.97,0,1154,0,0,1873,191,0,100,3,40,-65535,-65535,3,1.56,0,0,0,-7,0.9,79.3
5.83,110,0,0,0,72,63,52,0,0,0.97,0,1281,0,0,2050,233,0,100,3.2,40,-65535,-65535,3,1.55,0,0,0,-7,2.3,63.6
5.94,110,0,0,0,72,63,53,0,0,0.97,0,1371,0,0,2196,294,0,100,3.7,40,-65535,-65535,3,1.55,0,0,0,-7,7.3,26.9
6.04,110,0,0,0,72,63,53,0,0,0.97,0,1440,0,0,2338,392,0,100,4.8,40,-65535,-65535,3,1.54,0,0,0,-7,8.7,10.5
6.16,110,1,1,0,72,63,53,0,0,0.96,0,1495,0,0,2500,571,1.0139616,100,6.7,40,-65535,-65535,3,1.53,0,-21,-2,-32,9.4,4
6.28,110,1,1,0,72,63,53,0,0,0.97,0,1515,0,0,2623,775,1.7525898,100,8.7,40,-65535,-65535,3,1.52,0,22,-4,-16,10.5,1.9
6.38,110,2,2,0,72,63,53,0,0,0.97,0,1523,1,15,2731,1029,2.184904,100,11,40,-65535,-65535,3,1.51,0,33,-2,-9,11,1.2
6.49,110,4,4,0,72,64,53,0,0,0.97,0,1507,1,15,2834,1381,4.383554,100,14.3,40,-65535,-65535,3,1.5,0,32,0,-7,11.4,0.7
6.61,110,6,6,0,72,64,53,0,1,0.98,0,1486,2,29,2894,1665,4.4137673,100,17.3,40,-65535,-65535,3,1.48,0,15,0,-7,11.9,0.5
6.71,110,8,8,0.01,72,64,54,0,1,0.96,0,1473,4,58,2927,1884,4.934711,100,20.6,40,-65535,-65535,3,1.46,0,-18,1,-7,12,0.4
6.82,110,11,10,0.01,72,64,54,0,2,0.97,0,1452,5,72,2933,1925,6.4991174,100,24.8,40,-65535,-65535,3,1.44,0,-14,0,-11,12.4,0.3
6.94,110,13,12,0.01,72,64,54,0,1,0.97,0,1445,6,86,2911,1799,4.8641577,100,28,40,-65535,-65535,3,1.43,0,-21,0,-10,12.7,0.3
7.06,110,15,15,0.01,72,64,54,0,2,0.98,0,1435,6,86,2854,1626,5.572017,100,30.9,40,-65535,-65535,3,1.41,0,-25,0,-8,12.9,0.2
7.18,110,17,16,0.01,72,64,54,0,2,0.98,0,1427,6,85,2792,1507,3.9209833,100,32.6,40,-65535,-65535,3,1.4,0,-2,0,-8,13,0.2
7.29,110,19,18,0.02,72,65,54,0,2,0.98,0,1415,7,99,2712,1395,4.3285503,100,33.6,40,-65535,-65535,3,1.39,0,-5,0,-8,13,0.2
7.41,110,21,20,0.02,72,65,54,0,2,0.98,0,1404,7,98,2640,1318,4.116635,100,33.8,40,-65535,-65535,3,1.39,0,-11,0,-8,13,0.1
7.53,110,22,22,0.02,72,65,54,0,2,0.97,0,1396,7,97,2591,1281,3.411848,100,33.4,40,-65535,-65535,3,1.39,0,32,-1,-7,13,0.1
7.63,110,24,23,0.02,72,65,55,0,2,0.97,0,1391,8,111,2555,1270,3.1687114,100,32.4,40,-65535,-65535,3,1.39,0,0,0,-7,13,0.1
7.76,110,26,25,0.02,72,65,55,0,3,0.97,0,1392,9,125,2529,1304,4.3699226,100,30.3,40,-65535,-65535,3,1.4,0,10,0,-7,13,0.1
7.88,110,27,26,0.02,72,65,55,0,3,0.98,0,1398,9,125,2528,1364,3.5787597,100,28.4,40,-65535,-65535,3,1.41,0,10,0,-8,13,0.1
7.97,110,29,28,0.02,72,65,55,0,2,0.97,0,1409,10,140,2541,1450,2.9115744,100,26.2,40,-65535,-65535,3,1.42,0,10,0,-8,12.9,0.1
8.11,110,31,30,0.03,72,65,55,0,4,0.97,0,1425,12,171,2571,1530,5.24026,100,23.7,40,-65535,-65535,3,1.43,0,26,0,-8,13,0.1
8.23,110,33,32,0.03,72,65,55,0,4,0.97,0,1441,13,187,2612,1560,4.9607205,100,21.5,40,-65535,-65535,3,1.43,0,10,0,-8,13,0
8.35,110,35,34,0.03,72,65,55,0,4,0.97,0,1450,13,188,2651,1556,3.966541,100,20.2,40,-65535,-65535,3,1.44,0,-10,0,-7,13,0
8.46,110,37,36,0.03,72,65,55,0,5,0.97,0,1459,14,204,2703,1558,4.8630257,100,19.1,40,-65535,-65535,3,1.44,0,33,0,-7,13.1,0
