"Time, s","Climb, m/s","Specific excess power, m/s","Critical Flaps Speed, %",RPM[1],RPM[2],"Propeller efficiency, %[1]","Propeller efficiency, %[2]","Manifold pressure, atm[1]","Manifold pressure, atm[2]",Supercharger gear[1],Supercharger gear[2],"Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]","Propeller pitch, deg[1]","Propeller pitch, deg[2]","Propeller pitch, %[1]","Propeller pitch, %[2]","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,0.4,8.2,0,2401,2401,84,84,1.36,1.36,1,1,1546,1546,1005,1005,28.7,28.7,100,100,351,352,27,0.29,5048.2,1.18,2.6
0.1,0.5,8.4,0,2401,2401,83,83,1.36,1.36,1,1,1546,1546,1004,1004,28.7,28.7,100,100,352,352,27,0.29,5048.7,1.15,2.3
0.2,0.6,8.5,0,2401,2401,83,83,1.36,1.36,1,1,1546,1546,1003,1003,28.7,28.7,100,100,352,352,27,0.29,5049.2,1.13,2.2
0.3,0.6,8.6,0,2401,2401,83,83,1.36,1.36,1,1,1546,1546,1001,1002,28.7,28.7,100,100,352,353,27,0.29,5077.0,1.11,1.4
0.4,0.6,8.8,0,2401,2401,83,83,1.36,1.36,1,1,1546,1546,1000,1001,28.7,28.7,100,100,352,353,28,0.29,5077.5,1.09,1.4
0.5,0.7,8.9,0,2401,2401,83,83,1.36,1.36,1,1,1546,1546,1000,1000,28.7,28.7,100,100,353,353,28,0.29,5078.2,1.07,2.3
0.6,0.9,8.1,0,2401,2401,84,84,1.36,1.36,1,1,1546,1546,1001,1001,28.8,28.8,100,100,353,353,28,0.29,5078.9,0.97,3.8
0.7,1.2,7.3,0,2401,2401,84,84,1.36,1.36,1,1,1546,1546,1003,1002,28.8,28.8,100,100,353,354,28,0.29,5107.2,0.87,5.5
0.8,1.6,6.7,0,2400,2400,84,84,1.36,1.36,1,1,1545,1545,1000,1000,28.8,28.8,100,100,353,354,28,0.29,5108.2,0.78,7.1
0.9,2.6,7.2,0,2399,2399,83,83,1.36,1.36,1,1,1543,1543,994,996,28.7,28.7,100,100,353,354,28,0.29,5110.5,0.80,9.6
1.0,3.5,7.7,0,2398,2398,83,83,1.36,1.36,1,1,1542,1542,992,992,28.7,28.7,100,100,353,354,28,0.29,5112.8,0.81,11.4
