"Time, s","Climb, m/s","Specific excess power, m/s","Critical Flaps Speed, %","Propeller efficiency, %[1]","Propeller efficiency, %[2]","Propeller efficiency, %[3]","Propeller efficiency, %[4]","Propeller efficiency, %[5]","Propeller efficiency, %[6]","Manifold pressure, atm[1]","Manifold pressure, atm[2]","Manifold pressure, atm[3]","Manifold pressure, atm[4]","Manifold pressure, atm[5]","Manifold pressure, atm[6]",RPM[1],RPM[2],RPM[3],RPM[4],RPM[5],RPM[6],"Power, hp[1]","Power, hp[2]","Power, hp[3]","Power, hp[4]","Power, hp[5]","Power, hp[6]","Thrust, kgf[1]","Thrust, kgf[2]","Thrust, kgf[3]","Thrust, kgf[4]","Thrust, kgf[5]","Thrust, kgf[6]","Propeller pitch, deg[1]","Propeller pitch, deg[2]","Propeller pitch, deg[3]","Propeller pitch, deg[4]","Propeller pitch, deg[5]","Propeller pitch, deg[6]","Propeller pitch, %[1]","Propeller pitch, %[2]","Propeller pitch, %[3]","Propeller pitch, %[4]","Propeller pitch, %[5]","Propeller pitch, %[6]","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²"
0.0,11.1,6.0,0,78,79,79,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2503,2503,2503,2503,2503,1505,1505,1505,1505,1505,1505,1427,1431,1431,1430,1430,1430,39.6,39.6,39.6,39.6,39.6,39.6,100,100,100,100,100,100,175,226,5020,0.20,51216.7,-0.84
0.1,11.0,5.9,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2503,2503,2503,2503,2503,1505,1505,1505,1505,1505,1505,1428,1432,1432,1431,1431,1431,39.6,39.6,39.6,39.6,39.6,39.6,100,100,100,100,100,100,175,226,5021,0.20,51226.5,-0.85
0.2,11.0,5.8,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2502,1505,1505,1505,1505,1505,1505,1429,1433,1433,1433,1432,1432,39.7,39.7,39.7,39.7,39.7,39.7,100,100,100,100,100,100,175,226,5022,0.20,51236.3,-0.86
0.3,10.9,5.8,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2502,1505,1505,1505,1505,1505,1505,1431,1434,1434,1434,1434,1433,39.7,39.7,39.7,39.7,39.7,39.7,100,100,100,100,100,100,174,225,5023,0.19,51228.8,-0.86
0.4,10.8,5.7,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2502,1505,1505,1505,1505,1505,1505,1432,1435,1435,1435,1435,1435,39.7,39.7,39.7,39.7,39.7,39.7,100,100,100,100,100,100,174,225,5024,0.19,51238.6,-0.87
0.5,10.8,5.0,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2502,1505,1505,1505,1505,1505,1505,1434,1437,1436,1436,1436,1436,39.8,39.8,39.8,39.8,39.8,39.8,100,100,100,100,100,100,174,224,5025,0.19,51231.1,-0.97
0.6,10.7,4.4,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2502,1505,1505,1505,1505,1505,1505,1435,1437,1437,1437,1437,1436,39.8,39.8,39.8,39.8,39.8,39.8,100,100,100,100,100,100,174,224,5026,0.19,51240.9,-1.05
0.7,10.7,3.9,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1505,1505,1505,1505,1505,1436,1438,1438,1438,1438,1437,39.8,39.8,39.8,39.8,39.8,39.8,100,100,100,100,100,100,173,224,5027,0.19,51250.7,-1.13
0.8,10.6,4.0,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1505,1505,1505,1505,1505,1438,1439,1439,1439,1439,1438,39.9,39.9,39.9,39.9,39.9,39.9,100,100,100,100,100,100,173,223,5029,0.19,51253.1,-1.11
0.9,10.6,4.1,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1505,1505,1505,1505,1505,1438,1440,1440,1439,1439,1439,39.9,39.9,39.9,39.9,39.9,39.9,100,100,100,100,100,100,173,223,5029,0.19,51253.1,-1.09
1.0,10.5,4.2,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1505,1505,1505,1505,1505,1439,1440,1440,1440,1440,1440,39.9,39.9,39.9,39.9,39.9,39.9,100,100,100,100,100,100,172,223,5030,0.19,51262.9,-1.07
1.1,10.5,4.2,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1505,1505,1505,1505,1505,1441,1441,1441,1441,1441,1441,39.9,39.9,39.9,39.9,39.9,39.9,100,100,100,100,100,100,172,222,5032,0.19,51265.3,-1.06
1.2,10.4,4.3,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1505,1505,1505,1505,1505,1441,1442,1442,1441,1441,1441,40.0,40.0,40.0,40.0,40.0,40.0,100,100,100,100,100,100,172,222,5033,0.19,51275.1,-1.05
1.3,10.3,4.3,0,78,78,78,78,78,78,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1504,1504,1505,1505,1505,1442,1442,1442,1442,1442,1442,40.0,40.0,40.0,40.0,40.0,40.0,100,100,100,100,100,100,172,222,5034,0.19,51284.9,-1.03
1.4,10.3,4.3,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1504,1504,1504,1505,1505,1443,1443,1443,1443,1443,1443,40.0,40.0,40.0,40.0,40.0,40.0,100,100,100,100,100,100,171,221,5035,0.19,51277.6,-1.02
1.5,10.2,4.3,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1504,1504,1504,1504,1505,1444,1443,1443,1443,1443,1443,40.1,40.1,40.1,40.1,40.1,40.1,100,100,100,100,100,100,171,221,5036,0.19,51287.5,-1.01
1.6,10.2,4.3,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2501,2501,1505,1504,1504,1504,1504,1505,1445,1444,1444,1444,1444,1444,40.1,40.1,40.1,40.1,40.1,40.1,100,100,100,100,100,100,171,221,5037,0.19,51297.3,-1.00
1.7,10.1,4.4,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2501,2502,2502,1505,1504,1504,1504,1504,1504,1446,1445,1445,1445,1445,1445,40.2,40.2,40.2,40.2,40.2,40.2,100,100,100,100,100,100,170,220,5038,0.19,51290.1,-1.00
1.8,10.0,4.4,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2501,2502,2502,2502,1505,1504,1504,1504,1504,1504,1447,1445,1445,1445,1446,1446,40.2,40.2,40.2,40.2,40.2,40.2,100,100,100,100,100,100,170,220,5039,0.19,51299.9,-0.99
1.9,10.0,4.4,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2501,2502,2502,2502,2502,1505,1504,1504,1504,1504,1504,1447,1446,1446,1446,1446,1447,40.2,40.2,40.2,40.2,40.2,40.2,100,100,100,100,100,100,170,220,5040,0.19,51309.7,-0.98
2.0,9.9,4.3,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2502,1505,1504,1504,1504,1504,1504,1448,1447,1447,1447,1447,1448,40.3,40.3,40.3,40.3,40.3,40.3,100,100,100,100,100,100,170,219,5041,0.19,51302.6,-0.97
2.1,9.8,4.3,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2502,1505,1504,1504,1504,1504,1504,1449,1447,1447,1448,1448,1448,40.3,40.3,40.3,40.3,40.3,40.3,100,100,100,100,100,100,169,219,5042,0.19,51312.4,-0.97
2.2,9.8,4.3,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2502,2502,2503,1504,1504,1504,1504,1504,1504,1450,1449,1449,1450,1450,1450,40.4,40.4,40.4,40.4,40.4,40.4,100,100,100,100,100,100,169,218,5044,0.19,51315.1,-0.96
2.3,9.6,4.3,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2502,2502,2502,2503,2503,2503,1504,1504,1504,1504,1504,1504,1451,1450,1450,1451,1451,1451,40.5,40.5,40.5,40.5,40.5,40.5,100,100,100,100,100,100,169,218,5045,0.19,51324.9,-0.96
2.4,9.6,4.2,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2503,2503,2503,2503,2503,2503,1504,1504,1504,1504,1504,1504,1452,1451,1451,1451,1452,1452,40.5,40.5,40.5,40.5,40.5,40.5,100,100,100,100,100,100,168,218,5046,0.19,51334.8,-0.95
2.5,9.6,4.2,0,77,77,77,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2503,2503,2503,2503,2503,2503,1504,1504,1504,1504,1504,1504,1453,1451,1452,1452,1452,1453,40.5,40.5,40.5,40.5,40.5,40.5,100,100,100,100,100,100,168,217,5046,0.19,51318.0,-0.95
2.6,9.4,4.2,0,77,76,76,77,77,77,1.35,1.35,1.35,1.35,1.35,1.35,2503,2503,2503,2503,2503,2503,1504,1504,1504,1504,1504,1504,1453,1452,1453,1453,1453,1454,40.6,40.6,40.6,40.6,40.6,40.6,100,100,100,100,100,100,168,217,5047,0.19,51327.8,-0.95
2.7,9.4,4.1,0,76,76,76,76,76,76,1.35,1.35,1.35,1.35,1.35,1.35,2503,2503,2503,2503,2503,2503,1504,1504,1504,1504,1504,1504,1454,1453,1453,1454,1454,1454,40.6,40.6,40.6,40.6,40.6,40.6,100,100,100,100,100,100,168,217,5048,0.19,51337.6,-0.95
2.8,9.2,4.1,0,76,76,76,76,76,76,1.35,1.35,1.35,1.35,1.35,1.35,2503,2503,2503,2503,2503,2503,1504,1504,1504,1504,1504,1504,1455,1454,1454,1455,1455,1455,40.7,40.7,40.7,40.7,40.7,40.7,100,100,100,100,100,100,167,216,5049,0.19,51330.7,-0.94
2.9,9.2,4.0,0,76,76,76,76,76,76,1.35,1.35,1.35,1.35,1.35,1.35,2503,2503,2503,2503,2503,2503,1504,1504,1504,1504,1504,1504,1456,1455,1455,1456,1456,1456,40.7,40.7,40.7,40.7,40.7,40.7,100,100,100,100,100,100,167,216,5050,0.19,51340.5,-0.94
