"Time, s","Climb, m/s","Specific excess power, m/s","Propeller efficiency, %","Manifold pressure, atm",Supercharger gear,RPM,"Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²"
0.0,-7.1,30.7,81,2.06,1,2796,2561,1940,28.7,100,292,292,8,0.24,3368.0,4.83
0.1,-6.2,30.6,80,2.06,1,2793,2558,1915,28.6,100,294,294,7,0.24,3403.4,4.81
0.2,-5.1,30.1,80,2.06,1,2792,2557,1890,28.5,100,295,295,6,0.24,3416.3,4.70
0.3,-3.8,29.7,79,2.06,1,2792,2558,1869,28.4,100,296,296,6,0.24,3439.1,4.60
0.4,-2.3,29.3,79,2.06,1,2794,2560,1855,28.3,100,297,297,6,0.24,3462.0,4.51
0.5,-0.6,28.6,78,2.07,1,2797,2564,1848,28.2,100,298,298,6,0.24,3484.9,4.33
0.6,1.2,28.0,79,2.07,1,2800,2568,1848,28.2,100,298,299,6,0.24,3508.0,4.17
0.7,3.1,27.5,79,2.07,1,2803,2571,1854,28.2,100,299,299,6,0.24,3508.0,4.03
0.8,4.6,26.0,79,2.08,1,2805,2574,1861,28.3,100,299,299,6,0.24,3508.0,3.72
0.9,6.6,24.6,79,2.08,1,2806,2576,1871,28.3,100,299,300,7,0.24,3540.9,3.44
1.0,8.4,23.4,80,2.08,1,2807,2577,1881,28.4,100,300,300,7,0.24,3540.9,3.19
1.1,10.2,22.9,80,2.08,1,2808,2577,1889,28.5,100,300,300,8,0.24,3550.7,2.96
1.2,11.9,22.4,81,2.08,1,2807,2576,1893,28.6,100,300,300,10,0.24,3570.3,2.76
1.3,13.2,21.9,81,2.08,1,2806,2575,1891,28.6,100,300,301,11,0.24,3603.3,2.57
1.4,14.6,22.0,80,2.08,1,2805,2574,1885,28.7,100,301,301,12,0.24,3613.1,2.41
1.5,15.7,22.0,80,2.07,1,2804,2573,1877,28.7,100,301,301,14,0.25,3632.7,2.26
1.6,16.7,22.1,80,2.07,1,2803,2572,1871,28.8,100,301,302,15,0.25,3665.8,2.13
1.7,17.4,22.4,80,2.07,1,2803,2571,1867,28.8,100,302,302,17,0.25,3685.4,2.01
