"Time, s","Climb, m/s","Specific excess power, m/s","Propeller efficiency, %","Manifold pressure, atm",Supercharger gear,RPM,"Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²"
0.0,20.3,22.8,82,1.77,2,2801,1920,1098,34.3,100,302,395,5245,0.34,57472.9,0.22
0.1,20.3,22.6,82,1.77,2,2801,1920,1098,34.3,100,302,395,5247,0.34,57492.6,0.20
0.2,20.3,22.3,82,1.77,2,2801,1919,1098,34.3,100,302,395,5249,0.34,57512.2,0.18
0.3,20.3,22.1,82,1.77,2,2801,1919,1097,34.3,100,302,395,5251,0.34,57531.8,0.16
0.4,20.3,21.9,82,1.77,2,2801,1918,1097,34.3,100,302,395,5253,0.34,57551.4,0.14
0.5,20.3,21.8,82,1.77,2,2801,1918,1096,34.3,100,302,395,5255,0.34,57571.0,0.13
0.6,20.3,21.6,82,1.77,2,2801,1917,1096,34.3,100,302,395,5257,0.34,57590.7,0.12
0.7,20.3,21.5,82,1.77,2,2801,1917,1095,34.3,100,302,395,5259,0.34,57610.3,0.11
0.8,20.3,21.4,82,1.77,2,2801,1916,1095,34.3,100,302,395,5261,0.34,57629.9,0.09
0.9,20.3,21.3,82,1.77,2,2801,1916,1094,34.3,100,302,395,5263,0.34,57649.5,0.09
1.0,20.3,21.2,82,1.77,2,2801,1915,1094,34.3,100,302,395,5265,0.34,57669.1,0.08
1.1,20.3,21.1,82,1.77,2,2801,1915,1093,34.3,100,302,395,5267,0.34,57688.8,0.07
1.2,20.3,21.0,82,1.77,2,2801,1915,1093,34.3,100,302,395,5269,0.34,57708.4,0.06
1.3,20.3,20.9,82,1.77,2,2801,1914,1093,34.3,100,302,395,5272,0.34,57737.8,0.06
1.4,20.3,20.9,82,1.77,2,2801,1914,1093,34.3,100,302,395,5274,0.34,57757.4,0.05
1.5,20.3,20.8,82,1.77,2,2801,1913,1093,34.3,100,302,395,5275,0.34,57767.2,0.05
1.6,20.3,20.8,82,1.77,2,2801,1913,1092,34.3,100,302,395,5277,0.34,57786.9,0.04
1.7,20.3,20.7,82,1.77,2,2801,1912,1092,34.3,100,302,395,5280,0.34,57816.3,0.04
1.8,20.3,20.7,82,1.77,2,2801,1912,1092,34.3,100,302,395,5282,0.34,57835.9,0.03
1.9,20.3,20.6,82,1.76,2,2801,1912,1091,34.3,100,302,395,5284,0.34,57855.5,0.03
2.0,20.3,20.6,82,1.76,2,2801,1911,1091,34.3,100,302,395,5286,0.34,57875.1,0.03
2.1,20.3,20.6,82,1.76,2,2801,1911,1091,34.3,100,302,395,5288,0.34,57894.8,0.02
2.2,20.3,20.5,82,1.76,2,2801,1910,1090,34.3,100,302,395,5290,0.34,57914.4,0.02
2.3,20.3,20.5,82,1.76,2,2801,1910,1090,34.3,100,302,395,5292,0.34,57934.0,0.02
2.4,20.3,20.5,82,1.76,2,2801,1909,1089,34.3,100,302,396,5294,0.34,57984.1,0.02
2.5,20.3,20.5,82,1.76,2,2801,1909,1089,34.3,100,302,396,5296,0.34,58003.8,0.02
2.6,20.3,21.5,82,1.76,2,2801,1909,1089,34.3,100,302,396,5298,0.34,58023.4,0.11
2.7,20.3,22.4,82,1.76,2,2801,1908,1088,34.3,100,302,396,5300,0.34,58043.0,0.19
2.8,20.3,23.2,82,1.76,2,2801,1908,1088,34.3,100,302,396,5302,0.34,58062.6,0.26
2.9,20.3,23.0,82,1.76,2,2801,1907,1088,34.3,100,302,396,5304,0.34,58082.2,0.24
3.0,20.3,22.7,82,1.76,2,2801,1907,1088,34.3,100,302,396,5306,0.34,58101.9,0.21
3.1,20.3,22.5,82,1.76,2,2801,1906,1087,34.3,100,302,396,5308,0.34,58121.5,0.19
3.2,20.3,22.2,82,1.76,2,2801,1906,1087,34.3,100,302,396,5310,0.34,58141.1,0.17
3.3,20.4,22.0,82,1.76,2,2801,1906,1086,34.3,100,302,396,5312,0.34,58160.7,0.16
3.4,20.4,21.9,82,1.76,2,2801,1905,1086,34.3,100,302,396,5314,0.34,58180.3,0.14
3.5,20.4,21.7,82,1.76,2,2801,1905,1086,34.3,100,302,396,5316,0.34,58200.0,0.13
3.6,20.5,21.6,82,1.76,2,2801,1904,1086,34.3,100,302,396,5318,0.34,58219.6,0.11
3.7,20.5,21.5,83,1.76,2,2801,1904,1086,34.3,100,302,396,5320,0.34,58239.2,0.10
3.8,20.5,21.4,83,1.76,2,2801,1903,1086,34.3,100,302,396,5322,0.34,58258.8,0.09
3.9,20.6,21.3,83,1.76,2,2801,1903,1086,34.3,100,302,396,5325,0.34,58288.3,0.08
4.0,20.6,21.2,83,1.75,2,2801,1902,1085,34.3,100,302,396,5326,0.34,58298.1,0.07
4.1,20.6,21.1,82,1.75,2,2801,1902,1085,34.3,100,302,396,5328,0.34,58317.7,0.07
4.2,20.6,21.1,82,1.75,2,2801,1901,1084,34.3,100,302,396,5331,0.34,58347.1,0.06
4.3,20.6,21.0,82,1.75,2,2801,1901,1083,34.3,100,302,396,5333,0.34,58366.7,0.05
4.4,20.7,21.0,82,1.75,2,2801,1900,1083,34.3,100,302,396,5335,0.34,58386.4,0.05
4.5,20.7,21.0,82,1.75,2,2801,1900,1082,34.3,100,302,396,5337,0.34,58406.0,0.04
4.6,20.7,20.9,82,1.75,2,2801,1900,1082,34.3,100,302,396,5339,0.34,58425.6,0.04
4.7,20.7,20.9,82,1.75,2,2801,1899,1082,34.3,100,301,396,5341,0.34,58445.2,0.04
4.8,20.7,20.9,82,1.75,2,2801,1899,1081,34.3,100,301,396,5343,0.34,58464.8,0.03
4.9,20.7,20.9,82,1.75,2,2801,1898,1081,34.3,100,301,396,5345,0.34,58484.5,0.03
5.0,20.7,20.9,82,1.75,2,2801,1898,1081,34.3,100,301,396,5347,0.34,58504.1,0.03
5.1,20.7,20.8,82,1.75,2,2801,1897,1081,34.3,100,301,396,5350,0.34,58533.5,0.02
5.2,20.7,20.8,82,1.75,2,2801,1897,1081,34.3,100,301,396,5352,0.34,58553.1,0.02
5.3,20.7,20.8,82,1.75,2,2801,1897,1081,34.3,100,301,396,5354,0.34,58572.7,0.02
5.4,20.7,20.8,82,1.75,2,2801,1896,1081,34.3,100,301,396,5356,0.34,58592.4,0.02
5.5,20.7,20.8,82,1.75,2,2801,1896,1080,34.3,100,301,396,5358,0.34,58612.0,0.02
5.6,20.8,20.8,82,1.75,2,2801,1895,1080,34.3,100,301,396,5360,0.34,58631.6,0.01
5.7,20.8,20.8,82,1.75,2,2801,1895,1080,34.3,100,301,396,5362,0.34,58651.2,0.01
5.8,20.8,20.8,82,1.75,2,2801,1894,1079,34.3,100,301,396,5364,0.34,58670.8,0.01
5.9,20.8,20.8,82,1.75,2,2801,1894,1079,34.3,100,301,396,5366,0.34,58690.5,0.01
6.0,20.8,20.8,82,1.75,2,2801,1893,1078,34.3,100,301,396,5368,0.34,58710.1,0.01
6.1,20.8,20.8,82,1.74,2,2801,1893,1078,34.3,100,301,396,5370,0.34,58729.7,0.01
6.2,20.8,20.8,82,1.74,2,2801,1892,1078,34.3,100,301,396,5372,0.34,58749.3,0.01
6.3,20.8,20.8,82,1.74,2,2801,1892,1077,34.3,100,301,396,5375,0.34,58778.8,0.01
6.4,20.8,20.8,82,1.74,2,2801,1892,1077,34.3,100,301,396,5376,0.34,58788.6,0.01
6.5,20.8,20.8,82,1.74,2,2801,1891,1077,34.3,100,301,396,5379,0.34,58818.0,0.01
6.6,20.8,20.8,82,1.74,2,2801,1891,1077,34.3,100,301,396,5381,0.34,58837.6,0.00
6.7,20.8,20.8,82,1.74,2,2801,1890,1076,34.3,100,301,396,5383,0.34,58857.2,0.00
