"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1464,1500,2364,1.32,2.0,2.59,0.0,16,0,100,00:00,59,81,0,0,0,0.0,0,40,40,641.2,868.9
0.6,1478,1594,2404,1.32,2.0,2.80,0.0,19,0,100,00:00,59,81,0,0,0,0.0,0,47,47,662.9,868.9
1.1,1480,1630,2421,1.32,3.1,2.95,0.0,22,0,100,00:00,59,81,0,0,0,0.0,0,53,53,688.7,853.7
1.6,1476,1628,2414,1.32,3.1,2.94,0.0,25,0,100,00:00,59,82,0,0,0,8.3,116,60,60,719.0,853.7
2.2,1470,1618,2398,1.32,4.3,3.02,0.0,28,0,100,00:00,59,82,0,0,0,0.0,0,67,67,751.2,791.7
2.7,1466,1617,2385,1.32,4.3,3.30,0.0,31,0,100,00:00,59,82,0,0,0,0.0,0,74,74,788.2,791.7
3.3,1467,1628,2385,1.32,5.8,3.42,0.0,34,0,100,00:00,59,83,0,0,0,0.0,0,80,81,831.2,674.6
3.8,1470,1640,2393,1.32,5.8,3.52,0.0,37,0,100,00:00,59,82,0,0,0,0.0,0,87,87,871.8,674.6
4.4,1473,1656,2400,1.32,6.6,3.48,0.0,40,0,100,00:00,59,82,0,0,0,0.0,0,94,94,919.6,727.7
4.9,1473,1659,2404,1.32,6.6,3.37,0.0,43,0,100,00:00,59,82,0,0,0,0.0,0,100,101,971.6,727.7
5.5,1473,1655,2404,1.32,7.9,3.33,0.0,46,0,100,00:00,59,82,0,0,0,0.0,0,107,107,1024.1,688.2
6.0,1472,1644,2402,1.32,7.9,3.53,0.0,48,0,100,00:00,59,83,0,0,0,0.0,0,113,114,1078.6,688.2
6.5,1471,1628,2400,1.32,9.6,3.56,0.0,50,0,100,00:00,59,82,0,0,0,0.0,0,120,120,1138.1,582.3
7.1,1471,1610,2399,1.32,9.6,3.53,0.0,52,0,100,00:00,59,82,0,0,0,0.0,0,126,127,1198.0,582.3
7.6,1471,1588,2401,1.32,10.4,3.48,0.1,54,0,100,00:00,59,77,0,0,0,0.0,0,133,133,1262.7,574.2
8.2,1472,1571,2404,1.32,10.4,3.47,0.0,56,0,100,00:00,59,74,0,0,0,5.5,0,139,140,1331.8,574.2
8.7,1472,1553,2404,1.32,10.9,3.41,0.0,58,0,100,00:00,59,69,0,0,0,2.8,0,146,146,1404.8,581.9
9.3,1471,1531,2402,1.32,12.9,3.37,0.0,59,0,100,00:00,59,66,0,0,0,0.0,0,152,153,1478.5,451.2
9.8,1470,1509,2400,1.32,12.9,3.35,0.0,61,0,100,00:00,59,65,0,0,0,0.0,0,158,159,1550.1,451.2
10.3,1470,1489,2400,1.32,12.7,3.34,0.0,62,0,100,00:00,59,66,0,0,0,0.0,0,164,165,1626.6,506.4
10.9,1469,1469,2399,1.32,12.7,3.20,0.2,64,0,100,00:00,60,67,0,0,0,2.9,0,170,170,1706.3,506.4
11.4,1470,1450,2402,1.32,14.3,3.13,0.6,65,0,100,00:00,60,65,0,0,0,4.1,0,175,175,1776.0,408.6
12.0,1470,1436,2404,1.32,14.3,3.05,1.1,66,0,100,00:00,60,63,0,0,0,4.6,0,180,181,1854.2,408.6
12.5,1469,1420,2402,1.32,14.9,3.03,1.8,67,0,100,00:00,61,63,0,0,0,4.7,0,186,187,1942.1,399.0
13.1,1469,1395,2402,1.32,14.9,3.04,2.4,67,0,100,00:00,62,55,0,0,0,3.0,0,191,191,2021.6,399.0
13.6,1471,1375,2406,1.32,16.2,3.00,2.3,68,0,100,00:00,63,43,0,0,0,0.0,0,197,197,2119.5,322.7
14.1,1469,1367,2404,1.32,16.2,2.99,2.1,69,0,100,00:00,65,43,0,0,0,0.0,0,202,202,2219.4,322.7
14.7,1468,1341,2399,1.32,17.3,2.80,2.0,70,0,100,00:00,66,37,0,0,0,0.0,0,207,208,2316.6,278.3
15.2,1468,1323,2400,1.32,17.3,2.85,1.7,70,0,100,00:00,67,35,0,0,0,0.0,0,212,213,2406.8,278.3
