"Time, s","Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]",RPM[1],RPM[2],"Manifold pressure, atm[1]","Manifold pressure, atm[2]","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %[1]","Propeller efficiency, %[2]",Supercharger gear[1],Supercharger gear[2],"Throttle, %[1]","Throttle, %[2]","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %[1]","Mixture, %[2]","Radiator, %[1]","Radiator, %[2]","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,4,4,49,49,444,444,0.74,0.74,0.0,0.00,0.0,0,0,2,2,0,0,00:00,71,-93,100,100,0,0,0,0.0,0,0,0,700.2,0.0
0.5,4,4,49,49,444,444,0.74,0.74,0.0,0.00,0.0,0,0,2,2,0,0,00:00,71,-91,100,100,0,0,0,0.0,0,0,0,700.2,0.0
1.0,4,4,49,49,444,444,0.74,0.74,0.0,0.00,0.0,0,0,2,2,0,0,00:00,71,-85,100,100,0,0,0,0.0,0,0,0,700.2,0.0
1.5,64,65,65,65,509,510,1.37,1.37,0.0,0.00,0.0,0,0,2,2,110,110,00:00,71,-102,100,100,0,0,0,0.0,0,0,0,700.2,0.0
2.0,97,98,98,98,625,627,1.41,1.41,0.0,0.00,0.0,0,0,2,2,110,110,00:00,71,-95,100,100,0,0,0,0.0,0,0,0,700.2,0.0
2.5,149,151,149,149,770,775,1.48,1.48,0.0,0.00,0.0,0,0,2,2,110,110,00:00,71,-144,100,100,0,0,0,0.0,0,0,0,700.2,0.0
3.0,229,233,224,226,945,953,1.58,1.58,0.0,0.00,0.0,0,0,2,2,110,110,00:00,71,-75,100,100,0,0,0,0.0,0,0,0,700.2,0.0
3.5,354,362,336,340,1158,1170,1.73,1.74,0.0,0.02,0.0,0,0,2,2,110,110,00:00,71,66,100,100,0,0,0,0.0,0,0,0,700.2,0.0
4.0,553,570,502,511,1416,1435,1.95,1.97,0.0,0.09,0.0,1,0,2,2,110,110,00:00,71,73,100,100,0,0,0,0.0,0,2,2,700.3,0.0
4.5,870,903,750,768,1731,1760,2.28,2.31,0.0,0.22,0.0,1,1,2,2,110,110,00:00,71,73,100,100,0,0,0,0.0,0,4,4,700.7,0.0
5.0,1379,1429,1133,1166,2131,2172,2.78,2.82,0.0,0.42,0.0,2,2,2,2,110,110,00:00,71,74,100,100,0,0,0,0.0,0,7,7,702.4,1443.7
5.5,1743,1609,1579,1611,2521,2559,3.00,2.20,0.0,0.81,0.0,5,5,2,1,110,110,00:00,71,78,100,100,0,0,0,0.0,0,13,13,706.8,1443.7
6.0,1961,2011,1988,2027,2838,2880,2.51,2.56,0.4,1.43,0.0,8,8,1,1,110,110,00:00,71,75,100,100,0,0,0,0.0,0,21,21,717.7,2781.6
6.5,2212,2219,2381,2419,3119,3159,2.80,2.82,0.4,2.28,0.0,13,13,1,1,110,110,00:00,71,75,100,100,0,0,0,0.0,0,31,31,738.6,2781.6
7.1,2140,2120,2719,2795,3320,3342,2.80,2.79,1.8,2.48,0.0,22,23,1,1,110,110,00:00,71,76,100,100,0,0,0,0.0,0,40,41,763.8,3560.3
