"Time, s","Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]",RPM[1],RPM[2],"Manifold pressure, atm[1]","Manifold pressure, atm[2]","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %[1]","Propeller efficiency, %[2]",Supercharger gear[1],Supercharger gear[2],"Throttle, %[1]","Throttle, %[2]","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %[1]","Mixture, %[2]","Radiator, %[1]","Radiator, %[2]","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1300,1300,1350,1349,2853,2853,1.81,1.81,16.7,3.02,2.0,80,80,1,1,100,100,00:00,75,57,100,100,0,0,0,0.0,0,208,208,2412.3,752.0
0.5,1300,1299,1330,1330,2853,2853,1.81,1.81,16.7,2.84,1.9,81,81,1,1,100,100,00:00,76,55,100,100,0,0,0,0.0,0,212,213,2493.6,752.0
1.0,1299,1299,1310,1310,2853,2853,1.81,1.81,17.0,2.78,1.9,81,81,1,1,100,100,00:00,77,55,100,100,0,0,0,0.0,0,216,217,2578.5,732.4
1.5,1299,1299,1292,1293,2853,2853,1.81,1.81,17.0,2.76,2.1,81,81,1,1,100,100,00:00,78,54,100,100,0,0,0,1.8,0,221,221,2657.6,732.4
2.0,1299,1299,1275,1276,2852,2853,1.81,1.81,16.9,2.73,2.3,82,82,1,1,100,100,00:00,79,52,100,100,0,0,0,2.6,0,225,226,2740.9,743.0
2.5,1299,1299,1259,1260,2852,2852,1.81,1.81,16.9,2.74,2.6,82,82,1,1,100,100,00:00,80,51,100,100,0,0,0,2.5,0,229,230,2824.2,743.0
3.0,1299,1299,1244,1244,2852,2852,1.81,1.81,17.5,2.68,3.0,83,83,1,1,100,100,00:00,82,49,100,100,0,0,0,2.8,0,233,234,2910.3,673.1
3.5,1299,1299,1229,1229,2852,2852,1.81,1.81,17.5,2.57,3.3,83,83,1,1,100,100,00:00,83,48,100,100,0,0,0,2.7,0,237,238,2995.2,673.1
4.0,1298,1298,1215,1215,2852,2852,1.81,1.81,17.9,2.48,3.6,83,83,1,1,100,100,00:00,85,46,100,100,0,0,0,2.7,0,240,241,3080.1,632.0
4.5,1298,1298,1201,1202,2852,2852,1.81,1.81,17.9,2.38,4.0,83,83,1,1,100,100,00:00,87,45,100,100,0,0,0,2.6,0,244,245,3165.6,632.0
5.0,1298,1298,1189,1189,2852,2852,1.81,1.81,18.1,2.28,4.4,84,84,1,1,100,100,00:00,89,44,100,100,0,0,0,2.6,0,247,248,3254.6,609.6
5.5,1298,1298,1180,1180,2852,2852,1.81,1.81,18.1,2.19,4.7,84,84,1,1,100,100,00:00,91,46,100,100,0,0,0,3.3,0,250,251,3335.4,609.6
6.0,1297,1297,1173,1173,2851,2851,1.81,1.81,18.2,1.91,6.2,85,85,1,1,100,100,00:00,94,61,100,100,0,0,0,8.1,497,251,252,3379.6,615.2
6.5,1297,1297,1170,1171,2850,2850,1.81,1.81,18.2,1.66,8.9,85,85,1,1,100,100,00:00,98,68,100,100,0,0,0,9.2,436,252,253,3435.1,615.2
7.0,1297,1297,1169,1169,2850,2850,1.81,1.81,18.0,1.40,11.8,85,85,1,1,100,100,00:00,103,70,100,100,0,0,0,9.6,422,252,253,3486.2,621.1
7.6,1297,1297,1170,1170,2850,2850,1.81,1.81,18.0,1.10,14.6,85,85,1,1,100,100,00:00,109,71,100,100,0,0,0,9.8,412,252,253,3540.9,621.1
8.1,1298,1298,1168,1168,2850,2850,1.81,1.81,19.4,0.82,17.7,85,85,1,1,100,100,00:00,117,66,100,100,0,0,0,9.3,435,252,253,3624.0,484.6
8.6,1298,1298,1169,1169,2851,2851,1.81,1.81,19.4,0.65,19.8,84,84,1,1,100,100,00:00,127,54,100,100,0,0,0,6.7,599,252,254,3730.3,484.6
9.1,1298,1298,1169,1170,2851,2851,1.81,1.81,23.1,0.51,21.0,84,84,1,1,100,100,00:00,137,48,100,100,0,0,0,4.7,0,252,254,3824.7,133.4
9.6,1298,1298,1171,1172,2850,2850,1.81,1.81,23.1,0.36,21.8,84,84,1,1,100,100,00:00,148,43,100,100,0,0,0,3.0,0,252,253,3928.6,133.4
10.1,1299,1299,1174,1174,2850,2850,1.81,1.81,22.9,0.22,22.1,84,84,1,1,100,100,00:00,159,41,100,100,0,0,0,1.1,0,251,253,4017.4,151.9
10.6,1299,1299,1177,1177,2850,2850,1.81,1.81,22.9,0.08,22.3,84,84,1,1,100,100,00:00,170,39,100,100,0,0,0,0.0,0,250,252,4115.8,151.9
11.1,1300,1300,1180,1180,2850,2850,1.81,1.81,21.5,-0.03,22.4,84,84,1,1,100,100,00:00,181,39,100,100,0,0,0,0.0,0,249,251,4207.5,289.8
11.6,1312,1311,1102,1097,3530,3531,2.07,2.07,21.5,24.51,77.0,214,214,1,1,100,100,00:00,214,11,100,100,0,0,0,7.8,1429,693,699,20946.3,289.8
12.1,1203,1203,510,510,3247,3248,1.76,1.76,846.1,37.76,81.3,108,108,1,1,100,100,00:00,253,1,100,100,0,0,0,2.9,0,689,697,21240.1,-27886.2
12.6,1210,1210,530,529,3083,3084,1.73,1.73,846.1,37.86,82.8,112,111,1,1,100,100,00:00,294,-2,100,100,0,0,0,1.0,0,689,698,21701.9,-27886.2
13.1,1232,1232,469,470,2985,2985,1.76,1.76,499.5,31.25,83.2,97,97,1,1,100,100,00:00,338,-3,100,100,0,0,0,0.0,0,688,699,22163.3,-16463.9
13.6,1244,1244,426,427,2930,2930,1.77,1.77,499.5,25.95,83.1,87,87,1,1,100,100,00:00,379,-3,100,100,0,0,0,0.0,0,685,697,22443.7,-16463.9
14.1,1253,1253,401,402,2893,2893,1.78,1.78,303.1,20.36,83.3,82,82,1,1,100,100,00:00,421,-3,100,100,0,0,0,0.0,0,685,698,22923.9,-9642.4
14.6,1259,1259,448,449,2875,2875,1.79,1.79,303.1,16.20,83.0,91,91,1,1,100,100,00:00,462,-3,100,100,0,0,0,0.0,0,682,696,23243.9,-9642.4
15.1,1264,1264,398,399,2866,2866,1.80,1.80,201.3,12.54,83.1,80,81,1,1,100,100,00:00,504,-3,100,100,0,0,0,0.0,0,682,697,23711.5,-6187.1
15.6,1264,1264,411,412,2856,2856,1.80,1.80,201.3,9.16,82.8,83,83,1,1,100,100,00:00,546,-3,100,100,0,0,0,0.0,0,678,696,24017.5,-6187.1
16.1,1270,1270,406,407,2856,2856,1.80,1.80,145.6,6.75,83.0,82,82,1,1,100,100,00:00,587,-3,100,100,0,0,0,0.0,0,679,698,24553.9,-4258.5
16.6,1270,1270,415,416,2851,2851,1.80,1.80,145.6,4.95,82.7,83,83,1,1,100,100,00:00,629,-3,100,100,0,0,0,0.0,0,676,696,24856.9,-4258.5
17.1,1273,1273,408,410,2851,2851,1.80,1.80,116.5,3.55,82.8,82,82,1,1,100,100,00:00,670,-3,100,100,0,0,0,0.0,0,677,698,25348.4,-3249.9
17.6,1275,1275,420,420,2852,2852,1.80,1.80,116.5,2.57,82.6,84,84,1,1,100,100,00:00,711,-3,100,100,0,0,0,0.0,0,674,696,25684.9,-3249.9
18.1,1277,1277,378,380,2851,2851,1.81,1.81,100.8,1.85,82.9,76,76,1,1,100,100,00:00,753,-3,100,100,0,0,0,0.0,0,674,698,26203.9,-2676.6
18.6,1277,1277,438,439,2850,2850,1.80,1.80,100.8,1.31,82.7,88,88,1,1,100,100,00:00,794,-3,100,100,0,0,0,0.0,0,671,697,26512.5,-2676.6
19.1,1282,1282,394,395,2853,2853,1.81,1.81,93.3,1.02,83.0,78,79,1,1,100,100,00:00,836,-3,100,100,0,0,0,0.0,0,671,698,26996.1,-2459.2
19.6,1279,1279,420,421,2848,2848,1.80,1.80,93.3,0.74,82.8,84,84,1,1,100,100,00:00,877,-3,100,100,0,0,0,0.0,0,668,696,27306.4,-2459.2
20.1,1284,1284,406,407,2852,2852,1.81,1.81,88.2,0.50,83.2,81,81,1,1,100,100,00:00,919,-3,100,100,0,0,0,0.0,0,669,698,27828.3,-2280.5
20.6,1285,1285,427,429,2851,2851,1.80,1.80,88.2,0.32,83.0,85,85,1,1,100,100,00:00,960,-3,100,100,0,0,0,0.0,0,666,697,28146.6,-2280.5
21.1,1287,1287,400,401,2851,2851,1.80,1.80,86.6,0.25,83.2,79,80,1,1,100,100,00:00,1002,-3,100,100,0,0,0,0.0,0,666,698,28627.6,-2202.3
21.6,1288,1288,377,379,2849,2849,1.80,1.80,86.6,0.22,83.3,75,75,1,1,100,100,00:00,1045,-3,100,100,0,0,0,0.0,0,666,700,29137.2,-2202.3
22.1,1290,1290,416,417,2851,2851,1.81,1.81,83.7,0.15,83.0,82,82,1,1,100,100,00:00,1087,-3,100,100,0,0,0,0.0,0,663,698,29433.6,-2074.3
22.6,1292,1292,394,395,2850,2850,1.81,1.81,83.7,0.13,83.1,78,78,1,1,100,100,00:00,1130,-3,100,100,0,0,0,0.0,0,663,699,29931.9,-2074.3
23.1,1293,1293,415,416,2850,2850,1.80,1.80,82.9,0.04,82.8,82,82,1,1,100,100,00:00,1172,-3,100,100,0,0,0,0.0,0,660,697,30230.0,-2046.2
23.6,1293,1293,436,437,2850,2850,1.80,1.80,82.9,0.05,82.5,86,86,1,1,100,100,00:00,1213,-3,100,100,0,0,0,0.0,0,657,696,30587.3,-2046.2
24.1,1297,1297,395,396,2851,2851,1.81,1.81,83.3,0.04,82.7,78,78,1,1,100,100,00:00,1254,-3,100,100,0,0,0,0.0,0,658,698,31110.5,-2078.6
24.6,1298,1298,426,427,2851,2851,1.81,1.81,83.3,0.00,82.5,84,84,1,1,100,100,00:00,1296,-3,100,100,0,0,0,0.0,0,656,697,31447.9,-2078.6
25.1,1299,1299,390,391,2849,2849,1.80,1.80,83.7,-0.02,82.7,77,77,1,1,100,100,00:00,1339,-3,100,100,0,0,0,0.0,0,656,698,31951.2,-2069.9
25.6,1301,1301,422,423,2850,2850,1.80,1.80,83.7,0.00,82.6,83,83,1,1,100,100,00:00,1380,-3,100,100,0,0,0,0.0,0,653,697,32279.4,-2069.9
26.1,1301,1301,420,421,2849,2849,1.80,1.80,76.7,0.00,82.4,82,82,1,1,100,100,00:00,1421,-3,100,100,0,0,0,0.0,0,650,696,32611.0,-1821.4
26.6,1305,1305,406,407,2851,2851,1.81,1.81,76.7,-0.03,82.8,79,80,1,1,100,100,00:00,1463,-3,100,100,0,0,0,0.0,0,651,698,33156.4,-1821.4
27.1,1305,1305,427,428,2850,2850,1.80,1.80,82.3,-0.03,82.6,83,84,1,1,100,100,00:00,1504,-3,100,100,0,0,0,0.0,0,648,697,33480.6,-1986.9
27.6,1307,1307,391,393,2849,2849,1.80,1.80,82.3,0.02,82.9,76,77,1,1,100,100,00:00,1545,-3,100,100,0,0,0,0.0,0,649,699,34011.9,-1986.9
28.1,1309,1309,423,424,2851,2851,1.81,1.81,83.7,0.09,82.6,82,83,1,1,100,100,00:00,1587,-3,100,100,0,0,0,0.0,0,646,697,34335.2,-2051.4
28.7,1309,1309,431,432,2849,2849,1.80,1.80,83.7,-0.02,82.4,84,84,1,1,100,100,00:00,1628,-3,100,100,0,0,0,0.0,0,644,696,34657.9,-2051.4
29.2,1311,1311,417,418,2850,2850,1.80,1.80,85.4,0.03,82.6,81,81,1,1,100,100,00:00,1669,-3,100,100,0,0,0,0.0,0,645,698,35175.9,-2140.8
29.7,1314,1314,389,391,2851,2851,1.81,1.81,85.4,-0.03,82.5,76,76,1,1,100,100,00:00,1711,-3,100,100,0,0,0,0.0,0,643,698,35588.8,-2140.8
30.2,1313,1313,432,433,2849,2849,1.80,1.80,80.1,-0.02,82.3,84,84,1,1,100,100,00:00,1754,-2,100,100,0,0,0,0.0,0,640,697,35927.2,-1882.3
30.7,1315,1315,449,450,2851,2851,1.80,1.80,80.1,-0.02,82.2,87,87,1,1,100,100,00:00,1795,-2,100,100,0,0,0,0.0,0,639,696,36293.2,-1882.3
31.2,1315,1315,438,440,2849,2849,1.80,1.80,85.2,0.05,82.2,85,85,1,1,100,100,00:00,1836,-2,100,100,0,0,0,0.0,0,637,696,36693.6,-2135.5
31.7,1317,1317,437,438,2849,2849,1.80,1.80,85.2,0.07,82.1,84,85,1,1,100,100,00:00,1877,-2,100,100,0,0,0,0.0,0,635,696,37083.7,-2135.5
32.2,1320,1320,451,451,2851,2851,1.80,1.80,85.8,0.01,82.2,87,87,1,1,100,100,00:00,1918,-2,100,100,0,0,0,0.0,0,635,696,37500.6,-2186.6
32.7,1321,1321,375,377,2848,2848,1.80,1.80,85.8,-0.05,82.1,73,73,1,1,100,100,00:00,1960,-2,100,100,0,0,0,0.0,0,632,695,37873.4,-2186.6
33.2,1323,1323,387,388,2848,2848,1.80,1.80,82.0,0.01,82.6,75,75,1,1,100,100,00:00,2003,-2,100,100,0,0,0,0.0,0,635,699,38517.4,-2006.8
33.7,1324,1324,423,424,2849,2849,1.80,1.80,82.0,0.06,82.5,82,82,1,1,100,100,00:00,2042,-2,100,100,0,0,0,0.0,0,634,699,38897.8,-2006.8
