"Time, s","Climb, m/s","Specific excess power, m/s","Critical Flaps Speed, %",RPM[1],RPM[2],"Propeller efficiency, %[1]","Propeller efficiency, %[2]","Manifold pressure, atm[1]","Manifold pressure, atm[2]",Supercharger gear[1],Supercharger gear[2],"Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]","Propeller pitch, deg[1]","Propeller pitch, deg[2]","Propeller pitch, %[1]","Propeller pitch, %[2]","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,61.4,-0.9,0,2995,2995,86,86,1.80,1.80,1,1,1293,1293,560,561,41.4,41.4,100,100,532,544,479,0.45,16120.8,-4.04,0.0
0.1,61.2,-0.4,0,2995,2995,86,86,1.80,1.80,1,1,1294,1294,562,563,41.4,41.4,100,100,530,543,486,0.44,16141.5,-4.00,0.0
0.2,61.1,-1.1,0,2995,2995,86,86,1.80,1.80,1,1,1294,1294,564,565,41.3,41.3,100,100,529,541,491,0.44,16107.9,-4.05,0.0
0.3,60.8,-1.8,0,2995,2995,86,86,1.80,1.80,1,1,1294,1294,566,567,41.2,41.2,100,100,527,540,499,0.44,16141.0,-4.10,0.0
0.4,60.7,-2.4,0,2995,2995,86,86,1.80,1.80,1,1,1295,1295,568,569,41.2,41.2,100,100,525,538,505,0.44,16119.9,-4.14,0.0
0.5,60.5,-1.8,0,2995,2995,86,87,1.80,1.80,1,1,1295,1295,570,572,41.1,41.1,100,100,523,537,511,0.44,16140.4,-4.10,0.0
0.6,60.3,-1.3,0,2995,2995,86,87,1.80,1.80,1,1,1296,1296,572,573,41.1,41.1,100,100,522,535,516,0.44,16107.1,-4.06,0.0
0.7,60.1,-0.8,0,2995,2995,86,87,1.80,1.80,1,1,1296,1296,575,575,41.0,41.0,100,100,520,534,524,0.44,16139.7,-4.03,0.0
0.8,60.0,-1.7,0,2995,2995,87,87,1.80,1.80,1,1,1296,1296,576,577,40.9,40.9,100,100,519,532,529,0.44,16106.6,-4.09,0.0
0.9,59.8,-2.5,0,2995,2995,87,87,1.80,1.80,1,1,1297,1297,578,579,40.9,40.9,100,100,518,531,534,0.44,16114.6,-4.14,0.0
1.0,59.7,-3.2,0,2995,2995,87,87,1.80,1.80,1,1,1297,1297,580,581,40.8,40.8,100,100,516,530,540,0.43,16134.8,-4.19,0.0
1.1,59.5,-1.1,0,2995,2995,87,87,1.80,1.80,1,1,1297,1297,582,583,40.8,40.8,100,100,515,529,545,0.43,16142.7,-4.05,0.0
1.2,59.3,0.9,0,2995,2995,87,87,1.80,1.80,1,1,1298,1298,585,585,40.7,40.7,100,100,513,527,552,0.43,16134.1,-3.92,0.0
1.3,59.2,2.7,0,2995,2995,87,87,1.80,1.80,1,1,1298,1298,586,587,40.7,40.7,100,100,512,526,557,0.43,16141.9,-3.80,0.0
1.4,59.0,1.4,0,2995,2995,87,87,1.80,1.80,1,1,1299,1299,588,589,40.6,40.6,100,100,510,524,564,0.43,16121.3,-3.88,0.0
1.5,58.8,0.4,0,2995,2995,87,87,1.80,1.80,1,1,1299,1299,590,591,40.5,40.5,100,100,509,523,570,0.43,16141.1,-3.95,0.0
1.6,58.6,-0.6,0,2995,2995,87,87,1.80,1.80,1,1,1299,1299,592,593,40.5,40.5,100,100,507,521,576,0.43,16120.6,-4.02,0.0
1.7,58.4,-0.2,0,2995,2995,87,87,1.80,1.80,1,1,1300,1300,595,596,40.4,40.4,100,100,505,520,583,0.43,16152.2,-3.99,0.0
1.8,58.2,0.2,0,2995,2995,87,87,1.80,1.80,1,1,1300,1300,597,598,40.4,40.4,100,100,504,519,588,0.43,16159.8,-3.96,0.0
1.9,58.0,0.6,0,2995,2995,87,87,1.80,1.80,1,1,1301,1301,599,600,40.3,40.3,100,100,502,517,594,0.42,16139.3,-3.93,0.0
2.0,57.8,1.0,0,2995,2995,87,87,1.80,1.80,1,1,1301,1301,601,602,40.2,40.2,100,100,501,516,600,0.42,16158.6,-3.90,0.0
2.1,57.7,1.4,0,2995,2995,87,87,1.80,1.80,1,1,1301,1301,602,603,40.2,40.2,100,100,500,515,605,0.42,16166.1,-3.88,0.0
2.2,57.5,1.7,0,2995,2995,87,87,1.80,1.80,1,1,1302,1302,604,605,40.1,40.1,100,100,498,513,611,0.42,16145.6,-3.85,0.0
2.3,57.3,1.9,0,2995,2995,87,87,1.80,1.80,1,1,1302,1302,607,608,40.1,40.1,100,100,497,512,617,0.42,16164.8,-3.84,0.0
2.4,57.1,2.1,0,2995,2995,87,87,1.80,1.80,1,1,1303,1303,609,610,40.0,40.0,100,100,495,510,623,0.42,16144.4,-3.82,0.0
