"Time, s","Power, hp","Thrust, kg",RPM,"Throttle, %","Altitude, m","Propeller efficiency, %","Propeller pitch, %","Propeller pitch, deg","Manifold pressure, atm","IAS, km/h","TAS, km/h",Mach number,"Climb, m/s","Acceleration, m/s^2","Pitch angle, deg","AoA, deg","AoS, deg","Turn, s","Turn radius, m","Load factor, g",Supercharger gear,"WEP remain, m:s","Fuel consumption, kg/min","Mass of Fuel, kg","Mixture, %","Radiator, %","Oil radiator, %","Engine temperature, deg C","Oil temperature, deg C","Water temperature, deg C"
0.0,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.31,131,60,0,0,128,33,0
0.3,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.34,131,60,0,0,128,33,0
0.6,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.34,131,60,0,0,128,33,0
0.8,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.34,131,60,0,0,128,33,0
1.1,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.27,131,60,0,0,128,33,0
1.3,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.27,131,60,0,0,128,33,0
1.6,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.27,131,60,0,0,128,33,0
1.8,7,46,408,0,29,0,14,30.0,0.27,0,0,0.00,0.0,0.00,12.6,-8.7,-46.1,0.0,0,1.0,2,35:00,0.27,131,60,0,0,128,33,0
2.1,44,49,421,44,29,0,33,30.0,0.28,0,0,0.00,-0.0,0.00,12.6,14.1,-39.7,0.0,0,0.8,2,35:00,0.31,131,60,0,0,128,33,0
2.3,50,58,458,49,29,0,52,30.0,0.30,0,0,0.00,-0.0,0.00,12.6,-4.3,-42.9,0.0,0,1.0,2,35:00,0.31,131,60,0,0,129,34,0
2.6,47,74,516,107,29,0,100,30.0,0.41,0,0,0.00,-0.0,0.00,12.6,-8.1,-51.8,0.0,0,1.0,2,35:00,0.31,131,60,0,0,129,34,0
2.8,55,84,548,110,29,0,100,30.0,0.43,0,0,0.00,-0.0,0.00,12.6,-8.1,-55.2,0.0,0,1.0,2,35:00,0.31,131,60,0,0,129,34,0
3.1,67,99,597,110,29,0,100,30.0,0.45,0,0,0.00,0.0,0.00,12.6,-10.6,-56.0,0.0,0,1.0,2,35:00,0.30,131,60,0,0,129,34,0
3.3,78,112,636,110,29,0,100,30.0,0.47,0,0,0.00,0.0,0.00,12.6,-9.0,-53.2,0.0,0,1.0,2,35:00,0.30,131,60,0,0,129,34,0
3.6,98,134,695,110,29,0,100,30.0,0.50,0,0,0.00,0.0,0.00,12.6,-10.8,-63.3,0.0,0,1.0,2,35:00,0.30,131,60,0,0,129,34,0
3.8,114,151,736,110,29,0,100,30.0,0.53,0,0,0.00,-0.0,0.00,12.6,3.8,-83.2,0.0,0,1.0,2,35:00,0.30,131,60,0,0,129,34,0
4.1,152,187,820,110,29,0,100,30.0,0.58,0,0,0.00,-0.0,0.00,12.6,7.6,-90.0,0.0,0,1.0,2,35:00,0.43,131,60,0,0,130,35,0
4.3,180,212,874,110,29,0,100,30.0,0.62,0,0,0.00,-0.0,0.00,12.6,8.1,-27.5,0.0,0,1.0,2,35:00,0.43,131,60,0,0,130,35,0
4.5,220,246,940,110,29,0,100,30.0,0.67,0,0,0.00,0.0,0.00,12.6,9.2,-9.7,0.0,0,1.0,2,35:00,0.43,131,60,0,0,130,35,0
4.8,305,311,1056,110,29,0,100,30.0,0.76,0,0,0.00,0.0,0.00,12.6,11.6,-3.0,0.0,0,1.0,2,35:00,0.43,131,60,0,0,130,35,0
5.0,386,367,1147,110,29,0,100,30.0,0.84,1,1,0.00,0.0,0.00,12.6,11.9,-1.6,0.0,0,1.0,2,35:00,0.43,131,60,0,0,130,35,0
5.3,555,473,1301,110,29,0,100,30.0,1.00,1,1,0.00,0.0,0.27,12.6,11.9,-1.3,0.0,0,1.0,2,34:59,1.02,131,60,0,0,130,35,0
5.5,716,565,1422,110,29,1,100,30.0,1.13,2,2,0.00,0.0,0.27,12.6,12.1,-0.7,0.0,0,1.0,2,34:59,1.02,131,60,0,0,131,36,0
5.8,1103,762,1653,110,29,1,100,30.0,1.42,3,3,0.00,0.0,0.27,12.6,12.1,-0.2,0.0,0,1.0,2,34:59,1.02,131,60,0,0,131,36,0
6.0,1520,955,1862,110,29,1,100,30.5,1.70,5,5,0.00,0.0,0.27,12.6,12.1,-0.1,0.0,0,1.0,2,34:59,1.02,131,60,0,0,131,36,0
6.3,1965,1152,2162,110,29,2,100,36.1,1.91,7,7,0.01,0.0,1.11,12.6,12.2,-0.0,0.0,0,1.0,2,34:58,3.63,131,60,0,0,132,37,0
6.5,1979,1213,2255,110,29,2,100,37.2,1.87,9,9,0.01,0.0,1.11,12.6,12.3,-0.0,0.0,0,1.0,2,34:58,3.63,131,60,0,0,132,37,0
6.8,1922,1371,2348,110,29,3,100,35.3,1.78,12,12,0.01,0.0,1.11,12.6,12.3,0.0,0.0,0,1.0,2,34:58,3.63,131,60,0,0,133,38,0
7.0,1894,1472,2390,110,29,4,100,34.4,1.74,15,15,0.01,0.0,1.11,12.6,12.3,0.0,0.0,0,1.0,2,34:58,3.63,131,60,0,0,133,38,0
7.3,1779,1586,2443,110,29,6,100,32.4,1.55,19,19,0.02,0.0,3.03,12.6,12.4,0.0,0.0,0,1.0,1,34:57,8.53,130,60,0,0,134,39,0
7.5,1825,1625,2473,110,29,7,100,32.6,1.58,21,21,0.02,-0.0,3.03,12.6,12.4,0.0,0.0,0,1.0,1,34:57,8.53,130,60,0,0,134,40,0
7.8,1870,1672,2509,110,29,8,100,32.8,1.61,25,25,0.02,0.0,3.03,12.6,12.4,0.0,0.0,0,1.0,1,34:57,8.53,130,60,0,0,134,40,0
8.0,1879,1699,2527,110,29,9,100,32.7,1.62,28,28,0.02,0.0,3.03,12.6,12.4,0.1,0.0,0,1.0,1,34:57,8.53,130,60,0,0,135,41,0
8.3,1879,1732,2547,110,29,11,100,32.5,1.62,33,33,0.03,-0.0,3.87,12.6,12.4,0.1,0.0,0,1.0,1,34:56,8.53,130,60,0,0,135,41,0
8.5,1877,1749,2556,110,29,12,100,32.4,1.61,36,36,0.03,0.0,3.87,12.6,12.4,0.1,0.0,0,1.0,1,34:56,8.53,130,60,0,0,136,42,0
8.8,1872,1773,2567,110,29,14,100,32.2,1.61,40,40,0.03,0.0,3.87,12.6,12.4,-0.0,0.0,0,1.0,1,34:56,8.53,130,60,0,0,136,43,0
9.0,1870,1785,2573,110,29,15,100,32.1,1.61,43,43,0.03,0.0,3.87,12.6,12.5,-0.1,0.0,0,1.0,1,34:56,8.53,130,60,0,0,137,43,0
9.3,1866,1802,2580,110,29,17,100,31.9,1.60,48,48,0.04,0.0,4.12,12.6,12.5,-0.2,0.0,0,1.0,1,34:55,8.53,130,60,0,0,137,44,0
9.5,1864,1829,2583,110,29,18,100,31.8,1.60,50,51,0.04,-0.0,4.12,12.6,12.5,-0.2,0.0,0,1.0,1,34:55,8.53,130,60,0,0,138,44,0
9.8,1861,1875,2586,110,29,20,100,31.5,1.60,55,55,0.05,0.0,4.12,12.6,12.5,-0.2,0.0,0,1.0,1,34:55,8.53,130,60,0,0,138,45,0
10.0,1860,1895,2588,110,29,22,100,31.4,1.60,58,58,0.05,0.0,4.12,12.6,12.5,-0.2,0.0,0,0.9,1,34:55,8.53,130,60,0,0,138,45,0
10.3,1859,1921,2591,110,29,24,100,31.3,1.60,63,63,0.05,0.0,4.14,12.6,12.5,-0.1,0.0,0,1.0,1,34:54,8.53,130,60,0,0,139,46,0
10.5,1858,1934,2592,110,29,25,100,31.2,1.60,67,67,0.05,0.0,4.14,12.6,12.5,-0.1,0.0,0,1.0,1,34:54,8.53,130,60,0,0,139,46,0
10.7,1858,1945,2593,110,29,27,100,31.1,1.60,70,70,0.06,0.0,4.14,12.6,12.5,-0.1,0.0,0,0.9,1,34:54,8.53,130,60,0,0,140,47,0
11.0,1857,1957,2595,110,29,29,100,31.0,1.60,75,75,0.06,-0.0,4.14,12.6,12.5,-0.1,0.0,0,0.9,1,34:54,8.53,130,60,0,0,140,47,0
11.2,1857,1962,2595,110,29,30,100,31.0,1.60,78,78,0.06,0.0,4.68,12.6,12.4,-0.1,0.0,0,0.9,1,34:53,8.53,130,60,0,0,141,48,0
11.5,1857,1968,2596,110,29,32,100,30.9,1.60,83,83,0.07,0.0,4.68,12.6,12.4,-0.1,0.0,0,0.9,1,34:53,8.53,130,60,0,0,141,48,0
11.7,1856,1970,2597,110,29,33,100,30.8,1.60,86,86,0.07,0.0,4.68,12.6,12.5,-0.1,0.0,0,1.0,1,34:53,8.53,130,60,0,0,141,49,0
12.0,1856,1983,2597,110,29,36,100,30.7,1.59,91,91,0.07,0.0,4.68,12.5,12.5,-0.0,0.0,0,1.0,1,34:53,8.53,130,60,0,0,142,49,0
12.2,1855,2002,2596,110,29,37,100,30.5,1.59,94,94,0.08,0.0,4.41,12.6,12.5,0.0,0.0,0,1.1,1,34:52,8.26,130,60,0,0,142,50,0
12.5,1855,2019,2596,110,29,39,100,30.2,1.59,99,99,0.08,0.0,4.41,12.6,12.5,0.0,0.0,0,1.0,1,34:52,8.26,130,60,0,0,143,50,0
12.7,1855,2023,2596,110,29,41,100,30.1,1.59,102,102,0.08,0.0,4.41,12.6,12.5,0.0,0.0,0,0.9,1,34:52,8.26,130,60,0,0,143,51,0
13.0,1856,2024,2597,110,29,43,100,30.0,1.60,107,107,0.09,0.0,4.41,12.5,12.4,0.0,0.0,0,0.9,1,34:52,8.26,130,60,0,0,144,51,0
13.2,1855,2023,2597,110,29,44,100,30.0,1.59,110,110,0.09,0.0,4.40,12.6,12.4,0.0,0.0,0,0.7,1,34:51,8.26,130,60,0,0,144,52,0
13.5,1854,2019,2595,110,29,46,100,30.0,1.59,115,115,0.09,-0.0,4.40,12.6,12.5,0.1,0.0,0,1.0,1,34:51,8.26,130,60,0,0,145,52,0
13.7,1854,2013,2594,110,29,47,100,30.0,1.59,118,118,0.10,0.1,4.40,12.5,12.4,0.1,0.0,0,1.0,1,34:51,8.26,130,60,0,0,145,53,0
14.0,1853,2002,2592,110,29,49,100,30.0,1.59,123,123,0.10,0.0,4.40,12.6,12.5,0.1,0.0,0,1.1,1,34:51,8.26,130,60,0,0,145,53,0
14.2,1852,1992,2590,110,29,50,100,30.0,1.59,126,126,0.10,0.0,4.43,12.5,12.4,0.1,0.0,0,0.9,1,34:50,8.26,130,60,0,0,146,54,0
14.5,1852,1977,2587,110,29,51,100,30.0,1.59,131,131,0.11,0.1,4.43,12.4,12.2,0.2,0.0,0,0.9,1,34:50,8.26,129,60,0,0,146,54,0
14.7,1853,1967,2586,110,29,52,100,30.0,1.59,134,134,0.11,-0.0,4.43,12.2,12.1,0.2,0.0,0,0.9,1,34:50,8.26,129,60,0,0,147,55,0
15.0,1853,1950,2585,110,29,53,100,30.0,1.59,139,139,0.11,0.1,4.43,11.9,11.8,0.2,0.0,0,0.9,1,34:50,8.26,129,60,0,0,147,55,0
15.2,1854,1942,2585,110,29,54,100,30.0,1.59,141,142,0.12,-0.0,4.13,12.0,12.0,0.1,0.0,0,0.9,1,34:49,8.26,129,60,0,0,147,56,0
15.5,1854,1929,2584,110,29,55,100,30.0,1.59,146,146,0.12,0.1,4.13,12.0,11.9,-0.0,0.0,0,1.0,1,34:49,8.26,129,60,0,0,148,56,0
15.7,1855,1918,2584,110,29,56,100,30.0,1.59,149,149,0.12,0.1,4.13,12.0,11.9,0.0,0.0,0,0.9,1,34:49,8.26,129,60,0,0,148,56,0
16.0,1855,1905,2584,110,29,58,100,30.0,1.59,153,153,0.12,-0.1,4.13,12.2,12.3,0.0,0.0,0,0.9,1,34:49,8.26,129,60,0,0,149,57,0
16.2,1855,1896,2584,110,29,58,100,30.0,1.59,156,156,0.13,0.0,3.86,12.3,12.4,0.1,0.0,0,1.2,1,34:48,8.26,129,60,0,0,149,57,0
16.5,1855,1882,2585,110,29,59,100,30.0,1.60,160,160,0.13,0.1,3.86,12.7,12.6,0.1,0.0,0,1.0,1,34:48,8.26,129,60,0,0,150,58,0
16.7,1856,1871,2585,110,29,60,100,30.0,1.60,163,163,0.13,0.1,3.86,12.7,12.5,0.1,0.0,0,1.0,1,34:48,8.26,129,60,0,0,150,58,0
17.0,1856,1856,2586,110,29,61,100,30.0,1.60,167,167,0.14,0.3,3.86,12.7,12.3,0.1,0.0,0,1.0,1,34:48,8.26,129,60,0,0,150,59,0
17.2,1857,1844,2587,110,29,62,100,30.0,1.60,169,170,0.14,0.4,3.86,12.7,12.2,0.0,0.0,0,1.0,1,34:47,8.26,129,60,0,0,151,59,0
17.4,1858,1835,2589,110,29,62,100,30.0,1.60,172,172,0.14,0.6,3.86,12.8,12.1,0.0,0.0,0,1.1,1,34:47,8.26,129,60,0,0,151,59,0
17.7,1859,1821,2592,110,29,63,100,30.0,1.60,176,176,0.14,0.9,3.86,13.0,12.0,-0.0,0.0,0,1.1,1,34:47,8.26,129,60,0,0,152,60,0
17.9,1859,1815,2593,110,29,63,100,30.0,1.60,178,178,0.14,1.1,3.86,13.3,12.0,-0.0,0.0,0,1.1,1,34:47,8.26,129,60,0,0,152,60,0
18.2,1858,1803,2596,110,30,64,100,30.1,1.60,182,182,0.15,1.6,3.31,13.7,12.0,-0.1,0.0,0,1.1,1,34:46,8.26,129,60,0,0,152,61,0
18.4,1858,1795,2597,110,30,65,100,30.1,1.60,184,184,0.15,1.9,3.31,14.1,12.0,-0.1,0.0,0,1.1,1,34:46,8.26,129,60,0,0,153,61,0
18.7,1857,1783,2598,110,31,66,100,30.1,1.60,187,187,0.15,2.5,3.31,14.5,11.9,-0.1,0.0,0,1.1,1,34:46,8.26,129,60,0,0,153,62,0
18.9,1857,1775,2598,110,31,66,100,30.2,1.60,189,189,0.15,2.8,3.31,14.6,11.6,-0.1,0.0,0,1.1,1,34:46,8.26,129,60,0,0,153,62,0
19.2,1856,1762,2599,110,32,67,100,30.2,1.60,192,192,0.16,3.3,3.03,14.6,11.1,-0.1,0.0,0,1.1,1,34:45,8.26,129,60,0,0,154,62,0
19.4,1856,1753,2600,110,33,67,100,30.3,1.60,194,194,0.16,3.6,3.03,14.6,10.8,-0.1,0.0,0,1.1,1,34:45,8.26,129,60,0,0,154,63,0
19.7,1856,1741,2600,110,34,68,100,30.4,1.60,197,197,0.16,4.0,3.03,14.6,10.4,-0.1,0.0,0,1.1,1,34:45,8.26,129,60,0,0,155,63,0
19.9,1856,1734,2600,110,35,68,100,30.4,1.60,199,199,0.16,4.3,3.03,14.6,10.2,-0.0,0.0,0,1.1,1,34:45,8.26,129,60,0,0,155,64,0
20.2,1855,1721,2601,110,36,68,100,30.5,1.60,201,202,0.16,4.7,2.76,14.6,9.7,0.0,0.0,0,1.1,1,34:44,8.26,129,60,0,0,156,64,0
20.4,1855,1713,2601,110,37,69,100,30.6,1.59,203,204,0.17,5.0,2.76,14.6,9.5,0.1,0.0,0,1.1,1,34:44,8.26,129,60,0,0,156,64,0
20.7,1855,1703,2601,110,39,69,100,30.6,1.59,206,206,0.17,5.4,2.76,14.5,9.1,0.2,0.0,0,1.1,1,34:44,8.26,129,60,0,0,156,65,0
20.9,1855,1695,2601,110,40,69,100,30.7,1.59,208,208,0.17,5.7,2.76,14.5,8.9,0.2,0.0,0,1.1,1,34:44,8.26,129,60,0,0,157,65,0
21.2,1855,1685,2601,110,42,70,100,30.8,1.59,210,211,0.17,6.1,2.47,14.5,8.6,0.3,0.0,0,1.1,1,34:43,8.26,129,60,0,0,157,66,0
21.4,1855,1677,2601,110,43,70,100,30.8,1.59,212,212,0.17,6.3,2.47,14.5,8.4,0.3,0.0,0,1.1,1,34:43,8.26,128,60,0,0,157,66,0
21.7,1855,1668,2601,110,45,70,100,30.9,1.59,214,215,0.17,6.7,2.47,14.5,8.1,0.4,0.0,0,1.1,1,34:43,8.26,128,60,0,0,158,66,0
21.9,1855,1661,2601,110,46,71,100,30.9,1.59,216,216,0.18,6.9,2.47,14.5,7.9,0.4,0.0,0,1.1,1,34:43,8.26,128,60,0,0,158,67,0
22.2,1855,1652,2601,110,49,71,100,31.0,1.59,218,219,0.18,7.3,2.22,14.5,7.7,0.4,0.0,0,1.1,1,34:42,8.26,128,60,0,0,159,67,0
22.4,1854,1645,2601,110,50,71,100,31.1,1.59,220,220,0.18,7.5,2.22,14.6,7.5,0.4,0.0,0,1.1,1,34:42,8.26,128,60,0,0,159,67,0
22.7,1854,1636,2601,110,52,72,100,31.1,1.59,222,222,0.18,7.8,2.22,14.6,7.3,0.3,0.0,0,1.1,1,34:42,8.26,128,60,0,0,159,68,0
22.9,1854,1629,2601,110,54,72,100,31.2,1.59,223,224,0.18,8.1,2.22,14.6,7.1,0.2,0.0,0,1.1,1,34:42,8.26,128,60,0,0,160,68,0
23.2,1854,1621,2601,110,57,72,100,31.3,1.59,225,226,0.18,8.4,1.93,14.6,6.9,0.2,0.0,0,1.1,1,34:41,8.26,128,60,0,0,160,69,0
23.4,1854,1615,2601,110,58,72,100,31.3,1.59,227,227,0.19,8.6,1.93,14.6,6.8,0.1,0.0,0,1.1,1,34:41,8.26,128,60,0,0,160,69,0
23.6,1854,1610,2601,110,60,73,100,31.4,1.59,228,229,0.19,8.8,1.93,14.7,6.7,0.1,0.0,0,1.1,1,34:41,8.26,128,60,0,0,161,69,0
23.9,1854,1601,2601,110,63,73,100,31.4,1.59,230,231,0.19,9.2,1.93,14.7,6.5,0.0,0.0,0,1.1,1,34:41,8.26,128,60,0,0,161,70,0
24.1,1854,1596,2601,110,65,73,100,31.5,1.59,231,232,0.19,9.4,1.93,14.7,6.3,-0.0,0.0,0,1.1,1,34:40,8.26,128,60,0,0,162,70,0
24.4,1854,1589,2601,110,67,73,100,31.6,1.59,233,234,0.19,9.7,1.93,14.7,6.2,-0.0,0.0,0,1.1,1,34:40,8.26,128,60,0,0,162,70,0
24.6,1854,1584,2601,110,69,73,100,31.6,1.59,234,235,0.19,9.8,1.93,14.7,6.1,-0.0,0.0,0,1.0,1,34:40,8.26,128,60,0,0,162,70,0
24.9,1854,1576,2601,110,73,74,100,31.7,1.59,237,237,0.19,10.1,1.93,14.7,5.9,-0.0,0.0,0,1.0,1,34:40,8.26,128,60,0,0,163,71,0
