"Time, s","Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]",RPM[1],RPM[2],"Manifold pressure, atm[1]","Manifold pressure, atm[2]","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %[1]","Propeller efficiency, %[2]",Supercharger gear[1],Supercharger gear[2],"Throttle, %[1]","Throttle, %[2]","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %[1]","Mixture, %[2]","Radiator, %[1]","Radiator, %[2]","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,9,10,74,74,473,471,1.00,0.69,0.0,-0.05,0.0,0,0,1,1,0,0,15:02,29,-275,60,60,100,100,0,0.0,0,0,0,284.5,0.0
0.5,9,7,74,73,473,470,1.00,0.69,0.0,-0.04,0.0,0,0,1,1,0,0,15:02,29,-274,60,60,100,100,0,0.0,0,0,0,284.5,0.0
1.0,158,104,93,87,530,513,1.18,0.84,0.0,-0.03,0.0,0,0,1,1,75,75,15:02,29,-274,60,60,100,100,0,0.0,0,0,0,284.5,0.0
1.5,627,282,363,222,1048,818,1.54,1.24,0.0,-0.02,0.0,0,0,1,1,110,110,15:02,29,-30,60,60,100,100,0,0.0,0,0,0,284.5,0.0
2.0,1419,974,1005,610,1740,1355,1.59,1.56,0.0,0.03,0.0,0,0,1,1,110,110,15:01,29,52,60,60,100,100,0,0.0,0,2,2,284.6,0.0
2.5,2011,2078,1794,1496,2387,2143,1.61,1.82,0.0,0.27,0.0,2,2,1,1,110,110,15:01,29,58,60,60,100,100,0,0.0,0,6,6,286.0,0.0
3.0,2201,2453,2278,2242,2786,2754,1.61,1.80,0.2,0.91,0.0,6,5,1,1,110,110,15:00,29,57,60,60,100,100,0,0.0,0,15,15,292.9,3622.8
3.5,2207,2314,2526,2576,2980,3021,1.61,1.69,0.2,1.78,0.0,11,11,1,1,110,110,15:00,29,61,60,60,100,100,0,16.1,25,25,25,309.1,3622.8
4.0,2196,2222,2629,2670,3042,3075,1.61,1.64,1.7,2.71,0.0,16,17,1,1,110,110,14:59,29,61,60,60,100,100,0,0.0,0,37,37,336.1,3887.9
4.5,2194,2193,2661,2696,3051,3068,1.61,1.61,1.7,3.61,0.0,22,22,1,1,110,110,14:59,29,60,60,60,100,100,0,0.0,0,49,49,375.8,3887.9
5.0,2205,2187,2521,2573,2996,3016,1.61,1.60,4.6,4.29,0.0,26,26,1,1,110,110,14:58,29,61,60,60,100,100,0,0.0,0,60,60,423.2,3174.6
5.5,2211,2190,2475,2501,2931,2942,1.61,1.60,4.6,4.83,0.0,30,30,1,1,110,110,14:58,29,60,60,60,100,100,0,0.0,0,70,70,475.7,3174.6
6.0,2212,2203,2543,2568,2916,2921,1.61,1.60,7.7,5.18,0.0,35,35,1,1,110,110,14:57,29,60,60,60,100,100,0,5.0,0,81,81,537.7,2585.9
6.5,2212,2206,2618,2636,2905,2909,1.61,1.61,7.7,5.46,0.0,41,41,1,1,110,110,14:57,29,61,60,60,100,100,0,4.4,0,92,93,615.3,2585.9
7.0,2212,2206,2731,2741,2890,2892,1.61,1.61,11.3,5.68,0.0,48,48,1,1,110,110,14:56,29,61,60,60,100,100,0,0.0,0,104,104,701.6,2552.7
7.5,2211,2202,2757,2756,2867,2866,1.61,1.60,11.3,5.87,0.0,54,54,1,1,110,110,14:56,29,61,60,60,100,100,0,0.0,0,116,116,800.2,2552.7
8.1,2208,2198,2722,2717,2837,2833,1.61,1.60,15.5,5.99,0.0,58,59,1,1,110,110,14:55,29,61,60,60,100,100,0,0.0,0,127,127,910.5,2364.4
8.6,2205,2194,2659,2650,2809,2804,1.61,1.60,15.5,5.82,0.1,62,62,1,1,110,110,14:55,29,61,60,60,100,100,0,0.0,0,138,139,1025.3,2364.4
9.1,2201,2191,2575,2565,2785,2780,1.61,1.60,19.4,6.24,0.1,65,65,1,1,110,110,14:54,29,61,60,60,100,100,0,0.0,0,149,149,1146.1,1923.5
9.6,2197,2191,2483,2475,2769,2765,1.61,1.61,19.4,6.25,0.0,67,67,1,1,110,110,14:54,29,63,60,60,100,100,0,0.0,0,160,160,1272.2,1923.5
10.1,2196,2194,2399,2395,2764,2761,1.61,1.61,22.3,6.38,0.0,69,69,1,1,110,110,14:53,29,63,60,60,100,100,0,0.0,0,170,170,1398.1,1552.6
10.6,2196,2196,2329,2327,2765,2764,1.61,1.61,22.3,6.28,0.2,71,71,1,1,110,110,14:53,29,62,60,60,100,100,0,0.0,0,179,179,1524.5,1552.6
11.1,2196,2198,2278,2279,2768,2769,1.61,1.61,24.0,6.06,0.7,73,73,1,1,110,110,14:52,29,67,60,60,100,100,0,6.3,472,188,188,1645.6,1386.9
11.6,2197,2200,2213,2213,2774,2775,1.61,1.61,24.0,5.78,1.7,73,73,1,1,110,110,14:52,30,59,60,60,100,100,0,4.9,0,196,197,1790.7,1386.9
12.1,2199,2203,2163,2165,2786,2787,1.61,1.61,27.1,5.53,2.3,75,75,1,1,110,110,14:51,31,54,60,60,100,100,0,4.3,0,205,206,1936.5,1063.1
12.6,2201,2205,2116,2118,2798,2799,1.61,1.61,27.1,5.41,2.7,76,76,1,1,110,110,14:51,32,49,60,60,100,100,0,2.7,0,213,213,2065.4,1063.1
13.1,2202,2207,2070,2073,2811,2813,1.61,1.61,28.2,5.16,3.1,77,77,1,1,110,110,14:50,34,44,60,60,100,100,0,1.8,0,221,221,2221.7,989.5
13.6,2204,2209,2028,2032,2825,2827,1.61,1.61,28.2,5.05,3.3,77,77,1,1,110,110,14:50,35,40,60,60,100,100,0,0.0,0,228,229,2361.6,989.5
14.1,2205,2210,1993,1997,2838,2840,1.61,1.61,29.6,4.84,3.6,78,78,1,1,110,110,14:49,37,39,60,60,100,100,0,2.7,0,236,236,2514.3,897.8
14.6,2206,2210,1955,1957,2852,2854,1.61,1.61,29.6,4.63,4.1,79,79,1,1,110,110,14:49,39,35,60,60,100,100,0,2.4,0,242,243,2657.4,897.8
15.1,2207,2211,1921,1925,2866,2868,1.61,1.61,30.0,4.50,4.4,80,80,1,1,110,110,14:48,41,33,60,60,100,100,0,2.6,0,249,250,2805.2,874.6
15.6,2207,2212,1890,1893,2879,2881,1.61,1.61,30.0,4.32,4.8,80,80,1,1,110,110,14:48,43,31,60,60,100,100,0,2.8,0,255,256,2949.2,874.6
16.1,2207,2212,1859,1863,2892,2894,1.61,1.61,30.3,4.19,5.3,81,81,1,1,110,110,14:47,46,29,60,60,100,100,0,2.9,0,261,262,3097.9,870.9
16.6,2207,2212,1831,1835,2906,2907,1.61,1.61,30.3,4.03,5.8,81,81,1,1,110,110,14:47,49,28,60,60,100,100,0,2.9,0,267,268,3245.1,870.9
17.1,2207,2210,1819,1820,2917,2918,1.61,1.61,31.1,3.80,6.7,83,82,1,1,110,110,14:46,52,36,60,60,100,100,0,6.0,719,272,273,3384.9,820.1
17.6,2207,2208,1803,1806,2921,2922,1.61,1.61,31.1,3.44,9.0,83,83,1,1,110,110,14:46,56,44,60,60,100,100,0,8.3,532,276,277,3499.1,820.1
18.1,2206,2208,1788,1788,2926,2927,1.61,1.61,31.6,3.22,12.0,84,83,1,1,110,110,14:45,61,47,60,60,100,100,0,9.3,478,279,280,3616.2,792.5
18.6,2206,2208,1774,1775,2931,2932,1.61,1.61,31.6,2.85,15.5,84,84,1,1,110,110,14:45,68,48,60,60,100,100,0,9.8,460,282,282,3738.1,792.5
19.1,2206,2208,1766,1767,2937,2938,1.61,1.61,34.0,2.56,19.0,84,84,1,1,110,110,14:44,76,48,60,60,100,100,0,9.9,458,283,284,3864.8,581.1
19.6,2206,2209,1746,1748,2945,2946,1.61,1.61,34.0,2.26,22.2,83,83,1,1,110,110,14:44,87,38,60,60,100,100,0,7.5,607,285,286,4019.3,581.1
20.1,2208,2201,1818,1807,2930,2925,1.61,1.60,36.5,1.94,24.6,87,87,1,1,110,110,14:43,99,33,60,60,100,100,0,6.4,719,287,288,4169.3,497.5
20.6,2209,2206,1752,1753,2917,2918,1.61,1.61,36.5,1.65,26.2,84,84,1,1,110,110,14:43,111,28,60,60,100,100,0,5.2,0,288,289,4314.7,497.5
21.1,2210,2207,1766,1760,2909,2907,1.61,1.61,36.2,1.37,27.4,85,85,1,1,110,110,14:42,125,23,60,60,100,100,0,3.4,0,288,290,4463.7,470.1
21.6,2211,2210,1751,1754,2906,2906,1.61,1.61,36.2,1.16,28.2,84,84,1,1,110,110,14:42,139,22,60,60,100,100,0,3.0,0,289,290,4616.4,470.1
22.1,2212,2211,1751,1748,2903,2903,1.61,1.61,34.6,0.97,28.9,84,84,1,1,110,110,14:41,153,19,60,60,100,100,0,2.0,0,289,291,4760.8,578.2
22.6,2213,2213,1750,1751,2902,2902,1.61,1.61,34.6,0.77,29.4,84,84,1,1,110,110,14:41,168,18,60,60,100,100,0,0.0,0,289,291,4910.5,578.2
23.1,2214,2214,1749,1747,2901,2901,1.61,1.61,33.0,0.60,29.6,84,84,1,1,110,110,14:40,183,16,60,60,100,100,0,0.0,0,289,291,5058.1,707.2
23.6,2215,2215,1748,1749,2901,2901,1.61,1.61,33.0,0.47,29.8,84,84,1,1,110,110,14:40,198,16,60,60,100,100,0,0.0,0,289,291,5217.8,707.2
24.1,2217,2216,1748,1748,2901,2901,1.61,1.61,32.4,0.39,29.8,84,84,1,1,110,110,14:39,212,15,60,60,100,100,0,0.0,0,289,292,5359.9,760.1
24.6,2218,2218,1748,1748,2900,2900,1.61,1.61,32.4,0.31,29.9,84,84,1,1,110,110,14:39,228,16,60,60,100,100,0,0.0,0,289,292,5517.1,760.1
25.1,2219,2219,1748,1748,2900,2900,1.61,1.61,31.4,0.23,30.0,84,84,1,1,110,110,14:38,243,16,60,60,100,100,0,0.0,0,289,292,5662.6,847.3
25.6,2220,2220,1748,1748,2900,2900,1.61,1.61,31.4,0.18,30.1,84,84,1,1,110,110,14:38,258,16,60,60,100,100,0,0.0,0,288,292,5815.8,847.3
26.1,2221,2221,1749,1749,2900,2900,1.61,1.61,31.4,0.17,30.1,84,84,1,1,110,110,14:37,273,16,60,60,100,100,0,0.0,0,288,292,5970.1,852.4
26.6,2223,2223,1748,1748,2900,2900,1.61,1.61,31.4,0.14,30.2,84,84,1,1,110,110,14:37,288,16,60,60,100,100,0,0.0,0,288,292,6117.3,852.4
27.1,2224,2224,1749,1749,2901,2901,1.61,1.61,31.0,0.11,30.2,84,84,1,1,110,110,14:36,303,14,60,60,100,100,0,0.0,0,288,292,6263.5,886.0
27.6,2225,2225,1748,1748,2900,2900,1.61,1.61,31.0,0.08,30.1,84,84,1,1,110,110,14:36,318,13,60,60,100,100,0,0.0,0,288,292,6409.6,886.0
28.1,2226,2226,1750,1750,2900,2900,1.61,1.61,30.6,0.08,29.9,84,84,1,1,110,110,14:35,334,13,60,60,100,100,0,0.0,0,288,293,6579.7,918.2
28.6,2227,2227,1747,1748,2900,2900,1.61,1.61,30.6,0.11,29.6,84,84,1,1,110,110,14:34,349,13,60,60,100,100,0,0.0,0,288,293,6734.1,918.2
