"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,8,52,447,0.76,0.0,0.00,0.0,0,2,0,00:00,163,3,0,100,0,0.0,0,0,0,1599.0,0.0
0.5,8,52,447,0.76,0.0,0.00,0.0,0,2,0,00:00,163,7,0,100,0,0.0,0,0,0,1599.0,0.0
1.0,6,53,448,0.76,0.0,0.00,0.0,0,2,0,00:00,163,7,0,100,0,0.0,0,0,0,1599.0,0.0
1.5,174,114,661,1.14,0.0,0.00,0.0,0,2,110,00:00,163,9,0,77,0,0.0,0,0,0,1599.0,0.0
2.0,419,266,1009,1.36,0.0,0.00,0.0,0,2,110,00:00,163,12,0,49,0,0.0,0,0,0,1599.0,0.0
2.5,890,569,1484,1.15,0.0,0.04,0.0,0,1,110,00:00,163,78,0,22,0,0.0,0,1,1,1599.1,0.0
3.0,1576,989,2075,1.41,0.0,0.22,0.0,1,1,110,00:00,163,80,0,0,0,0.0,0,4,4,1599.8,0.0
3.5,1897,1241,2467,1.58,0.1,0.61,0.0,2,1,110,00:00,163,82,0,0,0,0.0,0,9,9,1602.5,1030.3
4.0,1893,1349,2616,1.59,0.1,1.11,0.0,4,1,110,00:00,163,83,0,0,0,0.0,0,15,15,1608.2,1030.3
4.5,1861,1375,2649,1.56,0.7,1.60,0.0,6,1,110,00:00,163,84,0,0,0,0.0,0,21,22,1617.2,998.0
5.0,1850,1376,2649,1.55,0.7,1.83,0.0,8,1,110,00:00,163,84,0,0,0,0.0,0,28,28,1629.7,998.0
5.5,1846,1325,2602,1.54,1.6,2.31,0.0,9,1,110,00:00,163,83,0,0,0,0.0,0,34,35,1645.2,806.3
6.0,1849,1265,2533,1.54,1.6,2.77,0.0,10,1,110,00:00,163,85,0,0,0,0.0,0,40,40,1662.3,806.3
6.5,1861,1258,2512,1.55,2.5,3.02,0.0,12,1,110,00:00,163,84,0,0,0,0.0,0,46,46,1680.7,643.3
7.0,1867,1266,2517,1.55,2.5,3.11,0.0,13,1,110,00:00,163,84,0,0,0,0.0,0,51,52,1701.6,643.3
7.5,1865,1258,2509,1.55,3.4,2.95,0.0,15,1,110,00:00,163,85,0,0,0,0.0,0,57,57,1724.5,605.5
8.0,1865,1255,2500,1.55,3.4,2.89,0.0,16,1,110,00:00,163,85,0,0,0,0.0,0,62,62,1748.9,605.5
8.5,1868,1263,2501,1.55,4.3,2.99,0.0,17,1,110,00:00,163,85,0,0,0,0.0,0,67,68,1776.8,560.5
9.1,1868,1267,2503,1.55,4.3,3.22,0.0,19,1,110,00:00,163,85,0,0,0,0.0,0,73,73,1806.5,560.5
9.6,1867,1270,2500,1.55,5.1,3.36,0.0,20,1,110,00:00,163,85,0,0,0,0.0,0,78,79,1837.3,555.3
10.1,1867,1276,2499,1.55,5.1,3.33,0.0,22,1,110,00:00,163,85,0,0,0,0.0,0,83,84,1872.4,555.3
10.6,1867,1283,2500,1.55,5.9,3.29,0.0,23,1,110,00:00,163,85,0,0,0,0.0,0,89,89,1905.1,550.8
11.1,1867,1290,2500,1.55,5.9,3.14,0.0,25,1,110,00:00,163,85,0,0,0,0.0,0,94,94,1942.7,550.8
11.6,1867,1297,2499,1.55,6.8,2.92,0.0,26,1,110,00:00,163,86,0,0,0,0.0,0,99,100,1985.4,549.3
