"Time, s","Altitude, m","IAS, km/h","TAS, km/h","Propeller efficiency, %[1]","Propeller efficiency, %[2]","Propeller pitch, deg[1]","Propeller pitch, deg[2]","Propeller pitch, %[1]","Propeller pitch, %[2]",RPM[1],RPM[2],"Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]","Pitch angle, deg","AoA, deg","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s",Mach number,"Manifold pressure, atm[1]","Manifold pressure, atm[2]"
0.0,72,0,0,0,0,24.0,24.0,0,0,459,460,5,5,45,45,12.6,-27.4,0.0,0.00,0.0,0.00,0.99,0.99
0.1,72,0,0,0,0,24.0,24.0,0,0,459,460,5,5,45,45,12.6,-25.4,0.0,0.00,0.0,0.00,0.99,0.99
0.2,72,0,0,0,0,24.0,24.0,0,0,459,460,5,5,45,45,12.6,-27.9,0.0,0.00,0.0,0.00,0.99,0.99
0.3,72,0,0,0,0,24.0,24.0,0,0,459,460,5,5,45,45,12.6,-27.0,0.0,0.00,0.0,0.00,0.99,0.99
0.4,72,0,0,0,0,24.0,24.0,12,12,468,468,109,109,47,47,12.6,-27.5,0.0,0.00,0.0,0.00,1.14,1.14
0.5,72,0,0,0,0,24.0,24.0,92,92,497,497,67,67,53,53,12.6,-27.1,0.0,0.00,0.0,0.00,1.55,1.55
0.6,72,0,0,0,0,24.0,24.0,100,100,527,528,74,76,59,59,12.6,-26.0,0.0,0.00,0.0,0.00,1.61,1.61
0.7,72,0,0,0,0,24.0,24.0,100,100,554,555,84,83,66,66,12.6,-27.5,0.0,0.00,0.0,0.00,1.61,1.61
0.8,72,0,0,0,0,24.0,24.0,100,100,577,577,89,90,71,71,12.6,-26.6,0.0,0.00,0.0,0.00,1.62,1.62
0.9,72,0,0,0,0,24.0,24.0,100,100,606,606,99,100,78,78,12.6,-23.5,0.0,0.00,0.0,0.00,1.62,1.62
1.0,72,0,0,0,0,24.0,24.0,100,100,635,636,107,110,86,86,12.6,-25.4,0.0,0.00,0.0,0.00,1.63,1.63
1.1,72,0,0,0,0,24.0,24.0,100,100,667,668,117,118,95,95,12.6,-24.6,0.0,0.00,0.0,0.00,1.64,1.64
1.2,72,0,0,0,0,24.0,24.0,100,100,699,700,128,129,104,104,12.6,-27.4,0.0,0.00,0.0,0.00,1.64,1.64
1.3,72,0,0,0,0,24.0,24.0,100,100,725,726,137,138,112,112,12.6,-23.8,0.0,0.00,0.0,0.00,1.65,1.65
1.4,72,0,0,0,0,24.0,24.0,100,100,767,768,157,157,125,126,12.6,-30.1,0.0,0.00,0.0,0.00,1.66,1.66
1.5,72,0,0,0,0,24.0,24.0,100,100,796,797,164,168,135,135,12.6,-26.4,0.0,0.00,0.0,0.00,1.67,1.67
1.6,72,0,0,0,0,24.0,24.0,100,100,832,834,180,180,148,148,12.6,-24.1,0.0,0.00,0.0,0.00,1.68,1.68
1.7,72,0,0,0,0,24.0,24.0,100,100,870,872,196,200,161,162,12.6,-27.7,0.0,0.00,0.0,0.00,1.69,1.69
1.8,72,0,0,0,0,24.0,24.0,100,100,901,903,212,214,173,174,12.6,-21.5,0.0,0.00,0.0,0.00,1.70,1.70
1.9,72,0,0,0,0,24.0,24.0,100,100,942,944,231,232,189,190,12.6,-31.0,0.0,0.00,0.0,0.00,1.71,1.71
2.0,72,0,0,0,0,24.0,24.0,100,100,983,986,250,252,206,207,12.6,-19.3,0.0,0.00,0.0,0.00,1.73,1.73
2.1,72,0,0,0,0,24.0,24.0,100,100,1026,1028,275,270,224,225,12.6,-8.8,0.0,0.00,0.0,0.00,1.74,1.74
2.2,72,0,0,0,0,24.0,24.0,100,100,1071,1072,294,294,244,245,12.6,0.6,0.0,0.00,0.0,0.00,1.76,1.76
2.3,72,0,0,0,0,24.0,24.0,100,100,1107,1108,316,316,261,261,12.6,3.8,0.0,0.01,0.0,0.00,1.77,1.77
2.4,72,0,0,0,0,24.0,24.0,100,100,1153,1154,338,343,283,284,12.6,7.3,0.0,0.01,0.0,0.00,1.79,1.79
2.5,72,0,0,0,0,24.0,24.0,100,100,1200,1202,364,367,307,308,12.6,10.5,0.0,0.01,0.0,0.00,1.81,1.81
