"Time, s","Altitude, m","IAS, km/h","TAS, km/h","Propeller efficiency, %","Propeller pitch, deg","Propeller pitch, %",RPM,"Power, hp","Thrust, kgf","Pitch angle, deg","AoA, deg","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s",Mach number,"Manifold pressure, atm"
0.0,13,430,430,85,37.3,100,2414,1396,753,1.2,0.9,0.4,-0.04,0.9,0.35,1.33
0.1,13,430,430,85,37.3,100,2414,1395,758,1.5,1.0,0.4,-0.04,1.3,0.35,1.33
0.2,13,429,430,82,37.3,100,2415,1396,727,1.6,0.8,1.2,-0.05,1.8,0.35,1.33
0.3,13,429,430,85,37.3,100,2415,1395,760,1.8,0.8,1.2,-0.05,2.0,0.35,1.33
0.4,13,429,429,86,37.3,100,2416,1395,762,2.5,1.5,1.7,-0.06,2.4,0.35,1.33
0.5,13,429,429,85,37.2,100,2416,1395,760,3.8,2.6,1.7,-0.07,3.4,0.35,1.33
0.6,14,428,428,91,37.3,100,2420,1397,808,5.2,3.5,3.3,-0.09,4.5,0.35,1.33
0.7,14,427,427,85,37.0,100,2416,1395,758,7.3,4.8,5.3,-0.12,6.8,0.35,1.33
0.8,15,425,425,84,36.8,100,2417,1396,752,9.6,5.9,5.3,-0.16,9.2,0.35,1.33
0.9,16,424,424,90,37.0,100,2420,1397,811,11.2,6.6,8.8,-0.24,11.6,0.35,1.33
1.0,17,423,423,89,36.8,100,2421,1397,800,13.0,6.6,10.7,-0.33,14.7,0.35,1.33
1.1,19,422,423,89,36.8,100,2421,1398,799,14.2,6.2,10.7,-0.37,17.5,0.35,1.33
1.2,21,421,422,89,36.8,100,2421,1398,808,15.4,6.2,14.4,-0.48,20.1,0.34,1.33
1.3,23,420,420,91,36.8,100,2421,1398,820,17.3,6.8,15.9,-0.59,22.9,0.34,1.33
1.4,25,418,419,86,36.9,100,2423,1399,778,18.7,6.9,16.8,-0.72,25.4,0.34,1.33
1.5,28,418,418,87,36.9,100,2424,1400,798,19.6,6.1,16.8,-0.84,28.2,0.34,1.33
1.6,31,417,418,88,36.8,100,2425,1401,806,19.9,5.1,19.4,-0.93,30.4,0.34,1.33
1.7,34,416,416,89,36.7,100,2427,1401,816,20.4,4.6,20.2,-1.03,32.3,0.34,1.33
1.8,37,415,415,89,36.6,100,2429,1402,823,21.0,4.2,20.7,-1.13,34.0,0.34,1.33
1.9,40,414,414,87,36.8,100,2431,1403,806,21.5,3.9,20.9,-1.22,35.2,0.34,1.33
2.0,44,413,413,87,36.8,100,2432,1403,811,21.8,3.5,20.9,-1.30,36.6,0.34,1.33
2.1,49,411,412,91,36.6,100,2430,1403,844,22.0,2.8,21.5,-1.41,38.0,0.34,1.33
2.2,52,410,411,88,36.8,100,2432,1404,820,22.1,2.4,21.5,-1.46,38.7,0.33,1.33
2.3,56,409,410,88,36.8,100,2432,1405,823,22.1,2.0,21.7,-1.52,39.4,0.33,1.33
2.4,59,408,409,83,36.6,100,2430,1405,785,22.1,1.7,21.7,-1.52,39.8,0.33,1.33
2.5,64,407,407,88,36.8,100,2432,1406,830,22.1,1.3,22.9,-1.51,40.3,0.33,1.33
2.6,67,406,406,84,36.6,100,2430,1406,792,22.1,1.1,23.1,-1.52,40.5,0.33,1.33
2.7,72,404,405,83,36.5,100,2430,1406,792,22.1,0.9,23.1,-1.52,40.7,0.33,1.33
2.8,76,403,404,84,36.5,100,2430,1407,799,22.1,0.8,23.0,-1.56,40.9,0.33,1.33
2.9,80,402,403,83,36.5,100,2430,1408,798,22.1,0.7,21.1,-1.74,40.9,0.33,1.33
3.0,84,400,402,84,36.5,100,2430,1409,806,22.1,0.6,20.1,-1.83,41.0,0.33,1.33
3.1,89,399,401,83,36.4,100,2430,1409,804,22.1,0.5,20.1,-1.96,41.0,0.33,1.33
3.2,93,398,399,84,36.4,100,2430,1410,813,22.1,0.5,17.5,-2.07,41.0,0.33,1.33
3.3,96,397,399,86,36.2,100,2427,1410,834,22.1,0.4,16.5,-2.16,40.9,0.32,1.33
3.4,101,396,397,83,36.1,100,2428,1411,807,22.1,0.4,15.2,-2.28,40.9,0.32,1.33
3.5,105,394,396,83,36.0,100,2427,1411,813,22.1,0.4,14.3,-2.36,40.8,0.32,1.33
3.6,109,393,395,83,36.0,100,2428,1412,813,22.1,0.4,14.3,-2.43,40.7,0.32,1.33
3.7,113,392,394,86,36.0,100,2427,1413,846,22.1,0.4,12.8,-2.49,40.6,0.32,1.33
3.8,117,391,393,86,36.0,100,2428,1414,846,22.2,0.3,11.8,-2.58,40.5,0.32,1.33
3.9,121,390,392,86,36.0,100,2427,1414,853,22.1,0.3,11.8,-2.61,40.4,0.32,1.33
4.0,124,389,391,91,36.2,100,2431,1416,901,22.2,0.3,11.0,-2.65,40.3,0.32,1.33
4.1,129,388,390,91,36.2,100,2431,1417,909,22.2,0.3,11.0,-2.64,40.2,0.32,1.33
4.2,133,386,389,91,36.1,100,2431,1417,907,22.2,0.4,11.0,-2.64,40.1,0.32,1.33
4.3,137,385,388,91,36.1,100,2431,1418,914,22.2,0.4,11.0,-2.59,40.0,0.32,1.33
4.4,141,384,386,91,36.0,100,2431,1419,912,22.2,0.4,10.6,-2.67,39.8,0.31,1.33
4.5,145,383,385,91,36.0,100,2431,1420,920,22.2,0.4,10.4,-2.68,39.7,0.31,1.33
4.6,149,382,384,91,36.0,100,2431,1420,918,22.2,0.4,10.4,-2.70,39.6,0.31,1.33
4.7,153,381,383,91,36.0,100,2432,1421,925,22.2,0.4,10.7,-2.65,39.5,0.31,1.33
4.8,157,380,382,88,36.1,100,2433,1422,895,22.2,0.4,10.0,-2.71,39.4,0.31,1.33
4.9,161,379,381,88,36.1,100,2433,1423,903,22.2,0.4,9.3,-2.77,39.2,0.31,1.33
5.0,165,378,380,88,36.1,100,2433,1424,901,22.2,0.4,8.9,-2.81,39.1,0.31,1.33
5.1,168,377,379,84,35.8,100,2432,1424,867,22.2,0.4,8.9,-2.85,39.0,0.31,1.33
5.2,173,375,378,88,36.0,100,2433,1425,906,22.2,0.4,7.8,-2.90,38.8,0.31,1.33
5.3,176,374,377,84,35.8,100,2432,1425,873,22.1,0.4,7.8,-2.91,38.7,0.31,1.33
5.4,180,373,376,84,35.7,100,2431,1426,868,22.1,0.5,7.3,-2.94,38.6,0.31,1.33
5.5,184,372,375,84,35.7,100,2432,1427,878,22.1,0.5,7.1,-2.95,38.5,0.31,1.33
5.6,188,371,374,84,35.6,100,2432,1427,875,22.1,0.5,6.9,-2.97,38.3,0.31,1.33
5.7,192,370,373,84,35.6,100,2433,1428,884,22.1,0.5,6.7,-2.98,38.2,0.30,1.33
5.8,196,369,372,84,35.3,100,2430,1428,878,22.1,0.5,6.7,-2.98,38.1,0.30,1.33
5.9,199,368,371,83,35.3,100,2431,1428,878,22.1,0.5,6.6,-2.99,38.0,0.30,1.33
6.0,203,367,370,84,35.3,100,2431,1429,883,22.1,0.5,6.6,-2.99,37.8,0.30,1.33
6.1,207,366,369,83,35.2,100,2431,1430,884,22.1,0.6,6.4,-2.99,37.7,0.30,1.33
6.2,211,365,368,84,35.2,100,2431,1430,888,22.1,0.6,6.4,-2.99,37.6,0.30,1.33
6.3,214,364,368,86,35.2,100,2431,1431,915,22.1,0.6,6.5,-2.97,37.5,0.30,1.33
6.4,219,363,367,84,35.1,100,2431,1432,894,22.1,0.6,6.5,-2.97,37.3,0.30,1.33
6.5,222,362,366,86,35.1,100,2431,1432,920,22.1,0.6,6.9,-2.93,37.2,0.30,1.33
