"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1480,1355,2988,2.03,15.1,1.97,8.6,84,0,100,00:00,31,74,0,0,0,14.2,275,245,245,2621.1,498.0
0.5,1483,1304,2991,2.04,15.1,1.54,13.8,81,0,100,00:00,36,72,0,0,0,13.9,280,245,245,2673.7,498.0
1.0,1486,1289,3008,2.04,21.0,1.25,17.5,79,0,100,00:00,44,56,0,0,0,9.9,395,246,246,2776.2,59.6
1.5,1483,1347,3015,2.04,21.0,1.01,19.7,83,0,100,00:00,54,46,0,0,0,7.1,555,246,247,2871.3,59.6
2.0,1480,1387,3002,2.03,24.4,0.77,20.9,85,0,100,00:00,64,39,0,0,0,4.8,0,246,246,2964.7,-65.0
2.5,1481,1357,2986,2.03,24.4,0.53,21.8,83,0,100,00:00,75,36,0,0,0,3.6,0,245,246,3061.5,-65.0
3.0,1484,1316,2987,2.04,23.2,0.31,22.3,80,0,100,00:00,86,38,0,0,0,4.5,0,243,244,3144.6,-16.5
3.5,1487,1308,3001,2.04,23.2,0.05,23.0,79,0,100,00:00,97,36,0,0,0,2.9,0,242,243,3229.8,-16.5
4.0,1486,1351,3010,2.04,21.3,-0.15,23.3,81,0,100,00:00,109,34,0,0,0,0.0,0,241,242,3319.4,49.4
4.5,1484,1393,3004,2.03,21.3,-0.27,23.5,83,0,100,00:00,121,33,0,0,0,0.0,0,239,241,3419.8,49.4
5.0,1484,1388,2992,2.03,20.4,-0.38,23.4,82,0,100,00:00,132,32,0,0,0,0.0,0,238,239,3506.2,172.2
5.5,1487,1356,2989,2.04,20.4,-0.48,23.3,80,0,100,00:00,144,32,0,0,0,0.0,0,236,238,3598.8,172.2
6.0,1489,1345,2998,2.04,19.6,-0.54,23.1,78,0,100,00:00,156,32,0,0,0,0.0,0,235,237,3688.5,166.4
6.6,1597,3330,3468,2.48,19.6,16.98,75.5,532,0,100,00:00,172,26,0,0,0,21.8,509,692,698,20467.7,166.4
7.1,280,1379,4373,2.22,858.7,38.68,91.5,1256,0,100,00:00,215,-9,0,18,0,1.9,0,692,698,20903.8,-15639.4
7.6,234,511,4384,2.02,858.7,42.04,90.4,558,0,100,00:00,261,-11,0,31,0,0.0,0,690,698,21339.5,-15639.4
8.1,921,1081,3904,1.95,508.2,37.02,90.4,300,0,100,00:00,306,-11,0,5,0,0.0,0,690,699,21858.2,-9786.6
8.6,1286,866,3412,1.95,508.2,30.32,90.3,172,0,100,00:00,353,-10,0,0,0,0.0,0,687,698,22261.3,-9786.6
9.1,1386,560,3192,1.99,315.1,24.55,90.5,103,0,100,00:00,398,-10,0,0,0,0.0,0,687,699,22743.9,-5684.5
9.6,1416,530,3123,2.02,315.1,18.54,90.5,95,0,100,00:00,443,-11,0,0,0,0.0,0,684,698,23140.8,-5684.5
10.1,1425,530,3059,2.02,211.8,13.97,90.5,95,0,100,00:00,489,-10,0,0,0,0.0,0,683,698,23570.7,-3830.7
10.6,1436,481,3025,2.03,211.8,10.09,90.6,85,0,100,00:00,540,-10,0,0,0,0.0,0,681,698,24068.1,-3830.7
11.2,1441,476,3016,2.03,150.7,7.20,90.7,84,0,100,00:00,589,-11,0,0,0,0.0,0,680,698,24564.1,-2631.0
11.7,1443,477,3006,2.03,126.7,5.05,90.7,84,0,100,00:00,638,-11,0,0,0,0.0,0,678,698,25053.4,-2133.7
12.3,1447,468,3003,2.03,126.7,3.52,90.7,83,0,100,00:00,687,-11,0,0,0,0.0,0,677,698,25562.0,-2133.7
12.8,1449,479,3001,2.03,108.1,2.41,90.5,85,0,100,00:00,736,-11,0,0,0,0.0,0,674,697,25984.5,-1750.4
13.3,1451,476,3000,2.03,108.1,1.67,90.4,84,0,100,00:00,785,-11,0,0,0,0.0,0,673,698,26479.8,-1750.4
13.9,1453,480,3000,2.03,99.7,1.13,90.2,84,0,100,00:00,836,-11,0,0,0,0.0,0,671,697,26961.8,-1582.3
14.4,1456,472,2999,2.03,99.7,0.79,90.3,83,0,100,00:00,883,-10,0,0,0,0.0,0,670,698,27472.3,-1582.3
15.0,1458,473,2999,2.03,97.2,0.51,90.2,83,0,100,00:00,934,-10,0,0,0,0.0,0,668,698,27940.2,-1534.1
