"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,8,69,623,1.00,0.0,0.00,0.0,0,0,0,15:02,22,84,100,0,0,0.0,0,0,0,215.4,0.0
0.5,8,69,623,1.00,0.0,0.00,0.0,0,0,0,15:02,22,94,100,0,0,0.0,0,0,0,215.4,0.0
1.0,8,69,623,1.00,0.0,0.00,0.0,0,0,0,15:02,22,153,100,0,0,0.0,0,0,0,215.4,0.0
1.5,313,128,849,1.40,0.0,0.00,0.0,0,0,69,15:02,22,92,100,0,0,0.0,0,0,0,215.4,0.0
2.0,922,492,1667,2.19,0.0,0.01,0.0,0,0,110,15:01,22,-15,100,0,0,0.0,0,0,0,215.4,0.0
2.5,1738,1233,2662,2.49,0.0,0.10,0.0,1,0,110,15:01,22,21,100,0,0,314.5,0,3,3,215.7,0.0
3.0,1789,1770,3277,2.54,0.1,0.43,0.0,3,0,110,15:00,22,16,100,0,0,0.0,0,9,9,218.2,1518.0
3.5,1641,1939,3527,2.53,0.1,0.92,0.0,7,0,110,15:00,22,22,100,0,0,17.4,15,17,17,225.9,1518.0
4.0,1581,1976,3592,2.52,0.9,1.81,0.0,12,0,110,14:59,22,22,100,0,0,0.0,0,25,25,239.2,1452.6
4.5,1595,1814,3569,2.51,0.9,2.53,0.0,14,0,110,14:59,22,25,100,0,0,0.0,0,33,33,257.3,1452.6
5.0,1696,1741,3412,2.50,2.3,3.06,0.0,15,0,110,14:58,22,24,100,0,0,0.0,0,41,41,278.9,989.2
5.5,1719,1706,3366,2.49,2.3,3.16,0.0,15,0,110,14:58,22,25,100,0,0,0.0,0,42,43,286.0,989.2
6.0,1768,1598,3240,2.49,2.3,2.96,0.0,15,0,110,14:57,22,24,100,0,0,0.0,0,46,47,299.2,967.6
6.5,1800,1486,3116,2.50,2.3,2.81,0.0,16,0,110,14:57,22,21,100,0,0,0.0,0,53,53,322.6,967.6
7.0,1809,1452,3075,2.50,3.4,2.95,0.0,17,0,110,14:56,22,22,100,0,0,0.0,0,59,59,347.7,662.7
7.5,1812,1424,3043,2.50,3.4,2.95,0.0,19,0,110,14:56,22,22,100,0,0,6.3,163,64,64,375.8,662.7
8.0,1814,1404,3019,2.51,4.5,3.10,0.0,20,0,110,14:55,22,22,100,0,0,0.0,0,70,70,404.9,539.8
8.5,1815,1400,3011,2.51,4.5,3.17,0.0,21,0,110,14:55,22,23,100,0,0,0.0,0,76,76,438.2,539.8
9.1,1815,1399,3008,2.51,5.5,3.07,0.0,23,0,110,14:54,22,23,100,0,0,0.0,0,82,82,473.4,490.2
9.6,1816,1397,3004,2.51,5.5,3.20,0.0,25,0,110,14:54,22,22,100,0,0,0.0,0,87,87,510.1,490.2
10.1,1816,1398,3002,2.51,6.5,3.17,0.0,26,0,110,14:53,22,23,100,0,0,7.0,213,93,93,549.4,459.7
10.6,1816,1400,3001,2.51,6.5,3.27,0.0,28,0,110,14:53,22,23,100,0,0,4.1,0,99,99,591.4,459.7
11.1,1816,1402,3001,2.51,7.6,3.30,0.0,30,0,110,14:52,22,21,100,0,0,4.8,0,104,105,636.9,430.3
11.6,1816,1403,3001,2.51,7.6,3.23,0.0,31,0,110,14:52,22,21,100,0,0,0.0,0,110,110,684.9,430.3
12.1,1817,1406,3000,2.51,8.6,3.07,0.0,33,0,110,14:51,22,22,100,0,0,6.1,301,116,116,735.1,409.1
12.6,1817,1408,3001,2.51,8.6,3.16,0.0,35,0,110,14:51,22,21,100,0,0,4.1,0,122,122,788.8,409.1
13.1,1817,1411,3001,2.51,9.6,3.33,0.0,36,0,110,14:50,22,21,100,0,0,6.0,336,127,128,843.0,402.2
13.6,1817,1413,3000,2.51,9.6,3.36,0.0,38,0,110,14:50,22,21,100,0,0,3.8,0,133,133,898.3,402.2
14.1,1817,1415,3000,2.51,10.4,3.32,0.0,40,0,110,14:49,22,21,100,0,0,0.0,0,139,139,959.7,407.4
14.6,1818,1418,3001,2.51,10.4,3.20,0.0,41,0,110,14:49,22,20,100,0,0,0.0,0,144,144,1020.2,407.4
15.1,1818,1421,3000,2.51,11.6,3.26,0.0,43,0,110,14:48,22,22,100,0,0,0.0,0,150,150,1087.7,386.4
15.6,1818,1425,3000,2.51,11.6,3.06,0.0,45,0,110,14:48,22,26,100,0,0,4.1,0,156,156,1155.9,386.4
16.1,1818,1434,2997,2.51,12.5,3.23,0.1,47,0,110,14:47,22,38,100,0,0,0.0,0,161,161,1214.9,394.7
16.6,1819,1439,2998,2.51,12.5,3.22,0.0,48,0,110,14:47,22,41,100,0,0,2.5,0,166,166,1275.6,394.7
17.1,1819,1445,3003,2.51,12.5,3.05,0.0,50,0,110,14:46,22,41,100,0,0,4.2,0,171,171,1341.4,470.7
17.6,1819,1446,3001,2.51,12.5,3.05,0.0,51,0,110,14:46,22,41,100,0,0,0.0,0,176,176,1408.8,470.7
18.1,1819,1447,2999,2.51,13.0,3.04,0.0,53,0,110,14:45,22,41,100,0,0,1.6,0,181,181,1477.0,487.8
18.6,1819,1449,3001,2.51,13.0,2.99,0.0,54,0,110,14:45,22,41,100,0,0,0.0,0,186,186,1546.5,487.8
19.1,1820,1452,3001,2.51,13.7,2.98,0.0,56,0,110,14:44,22,43,100,0,0,2.6,0,190,190,1616.2,495.6
19.6,1820,1457,2998,2.51,13.7,2.87,0.5,58,0,110,14:44,22,52,100,0,0,6.9,448,194,194,1676.1,495.6
20.1,1820,1463,2998,2.51,14.7,2.65,2.1,59,0,110,14:43,23,53,100,0,0,8.0,396,198,199,1745.6,474.5
20.6,1819,1568,2988,2.51,14.7,2.58,2.8,65,0,110,14:43,24,38,100,0,0,0.0,0,203,204,1835.3,474.5
21.1,1816,1733,2945,2.50,17.0,2.75,2.6,73,0,110,14:42,25,34,100,0,0,0.0,0,209,209,1932.0,657.0
21.6,1823,1602,3003,2.51,17.0,2.83,2.5,69,0,110,14:42,27,32,100,0,0,0.0,0,214,214,2027.7,657.0
22.1,1821,1722,3041,2.51,18.3,2.87,2.5,76,0,110,14:41,28,29,100,0,0,0.0,0,219,219,2128.3,590.2
22.6,1819,1679,2995,2.51,18.3,2.95,2.2,76,0,110,14:41,29,25,100,0,0,0.0,0,225,225,2244.1,590.2
23.1,1821,1614,3005,2.51,19.4,2.99,1.6,75,0,110,14:40,30,24,100,0,0,0.0,0,230,231,2346.0,492.6
23.6,1821,1628,3010,2.51,19.4,3.01,1.1,77,0,110,14:40,31,22,100,0,0,0.0,0,236,236,2458.1,492.6
24.1,1821,1594,2998,2.51,20.2,2.82,0.9,78,0,110,14:39,31,24,100,0,0,0.0,0,242,242,2566.2,492.7
24.6,1822,1568,3004,2.51,20.2,3.05,1.0,78,0,110,14:39,32,23,100,0,0,2.0,0,247,248,2680.9,492.7
25.1,1822,1557,3003,2.51,21.1,3.10,1.3,79,0,110,14:38,32,23,100,0,0,2.6,0,252,253,2778.2,451.2
25.6,1822,1532,3002,2.51,21.1,3.12,1.6,79,0,110,14:38,33,22,100,0,0,2.8,0,257,258,2882.9,451.2
26.1,1823,1515,3003,2.51,21.7,3.08,1.9,80,0,110,14:37,34,20,100,0,0,2.5,0,262,263,2990.9,416.1
26.6,1823,1496,3002,2.51,21.7,3.07,2.2,80,0,110,14:37,35,19,100,0,0,2.4,0,267,267,3100.6,416.1
27.1,1823,1473,3004,2.51,22.7,3.01,2.2,81,0,110,14:36,36,13,100,0,0,0.0,0,273,273,3219.9,369.5
27.6,1823,1463,3002,2.51,22.7,2.98,2.0,81,0,110,14:36,37,14,100,0,0,0.0,0,277,278,3337.7,369.5
28.2,1823,1460,2998,2.51,22.7,2.80,2.9,83,0,110,14:35,38,36,100,0,0,10.8,416,281,282,3431.2,382.9
28.7,1822,1436,2994,2.51,22.7,2.58,9.5,82,0,110,14:35,41,58,100,0,0,16.9,265,281,281,3449.4,382.9
29.2,1822,1438,3010,2.51,27.4,2.24,16.1,82,0,110,14:34,47,43,100,0,0,13.0,345,283,283,3553.0,147.5
29.7,1820,1442,3003,2.51,27.4,1.90,19.6,83,0,110,14:34,56,28,100,0,0,7.9,572,284,285,3684.2,147.5
30.2,1819,1422,3000,2.51,31.7,1.66,22.0,82,0,110,14:33,67,22,100,0,0,6.0,0,285,286,3808.2,-46.4
30.7,1818,1428,3003,2.51,31.7,1.41,23.3,82,0,110,14:33,78,18,100,0,0,4.4,0,285,286,3920.1,-46.4
31.2,1816,1424,3000,2.50,30.3,1.14,24.2,82,0,110,14:32,90,17,100,0,0,4.0,0,285,286,4048.2,24.5
31.7,1815,1421,3002,2.50,30.3,0.90,24.8,82,0,110,14:32,102,14,100,0,0,2.0,0,285,286,4158.3,24.5
32.2,1813,1423,3001,2.50,27.5,0.66,25.1,82,0,110,14:31,115,13,100,0,0,0.0,0,285,286,4272.4,146.9
32.7,1812,1423,2999,2.50,27.5,0.46,25.7,82,0,110,14:31,127,18,100,0,0,4.6,0,284,286,4395.3,146.9
33.2,1811,1422,3001,2.50,27.0,0.29,26.5,82,0,110,14:30,140,17,100,0,0,3.7,0,283,285,4510.3,164.6
33.7,1809,1424,3001,2.50,27.0,0.14,27.2,82,0,110,14:30,154,15,100,0,0,2.0,0,283,284,4634.6,164.6
34.2,1807,1424,3001,2.50,26.6,0.03,27.4,82,0,110,14:29,168,13,100,0,0,0.0,0,282,284,4753.4,183.9
34.7,1806,1422,3002,2.50,26.6,-0.07,27.2,82,0,110,14:29,182,8,100,0,0,0.0,0,281,283,4876.2,183.9
35.2,1804,1428,3001,2.50,24.9,-0.14,26.2,82,0,110,14:28,195,7,100,0,0,0.0,0,280,283,5002.2,260.9
35.7,1803,1423,3000,2.50,24.9,-0.16,25.3,82,0,110,14:28,208,10,100,0,0,0.0,0,280,283,5125.8,260.9
36.2,1802,1424,3001,2.50,23.8,-0.16,24.8,82,0,110,14:27,220,11,100,0,0,0.0,0,280,283,5244.1,305.1
36.7,1801,1424,3001,2.50,23.8,-0.14,24.5,82,0,110,14:27,233,12,100,0,0,0.0,0,279,283,5375.9,305.1
