"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,8,69,623,1.00,0.0,0.00,0.0,0,0,0,15:02,22,109,100,0,0,0.0,0,0,0,215.4,0.0
0.6,8,69,623,1.00,0.0,0.00,0.0,0,0,0,15:02,22,104,100,0,0,0.0,0,0,0,215.4,0.0
1.1,269,121,824,2.03,0.0,0.00,0.0,0,0,110,15:01,22,160,100,0,0,0.0,0,0,0,215.4,0.0
1.6,1119,552,1765,2.45,0.0,0.02,0.0,0,0,110,15:01,22,12,100,0,0,0.0,0,0,0,215.4,0.0
2.2,1842,1442,2898,2.55,0.0,0.19,0.0,1,0,110,15:00,22,18,100,0,0,0.0,0,4,4,216.1,0.0
2.7,1718,1881,3429,2.54,0.1,0.73,0.0,5,0,110,15:00,22,20,100,0,0,0.0,0,12,12,220.7,1440.6
3.3,1604,1968,3571,2.52,0.1,1.43,0.0,9,0,110,14:59,22,22,100,0,0,0.0,0,20,20,231.2,1440.6
3.8,1577,1890,3593,2.51,0.8,2.15,0.0,13,0,110,14:59,22,21,100,0,0,0.0,0,29,29,248.7,1496.0
4.4,1654,1787,3484,2.50,2.2,2.80,0.0,15,0,110,14:58,22,23,100,0,0,0.0,0,37,38,270.0,1013.7
4.9,1766,1602,3246,2.49,2.2,3.15,0.0,15,0,110,14:58,22,22,100,0,0,0.0,0,46,46,295.5,1013.7
5.5,1801,1483,3113,2.50,3.4,3.44,0.0,16,0,110,14:57,22,21,100,0,0,0.0,0,52,52,320.0,607.2
6.0,1810,1447,3070,2.50,3.4,3.42,0.0,17,0,110,14:57,22,22,100,0,0,0.0,0,59,59,348.5,607.2
6.6,1813,1417,3036,2.50,4.3,3.33,0.0,19,0,110,14:56,22,22,100,0,0,0.0,0,65,65,380.1,527.1
