"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1253,788,3002,1.81,17.7,-0.12,19.2,84,0,100,14:52,5051,5,100,0,0,0.0,0,282,364,54662.1,130.5
0.6,1253,819,3006,1.81,17.7,-0.21,17.6,87,0,100,14:52,5061,8,100,0,0,0.0,0,281,363,54736.1,130.5
1.1,1253,829,2998,1.81,13.8,-0.27,16.6,88,0,100,14:52,5071,10,100,0,0,0.0,0,281,363,54823.8,313.7
1.6,1253,807,2995,1.81,13.8,-0.24,15.8,85,0,100,14:52,5079,12,100,0,0,0.0,0,280,363,54909.3,313.7
2.2,1253,797,3000,1.81,14.0,-0.20,15.1,84,0,100,14:52,5088,12,100,0,0,0.0,0,280,363,54992.6,278.9
2.7,1253,815,3004,1.81,14.0,-0.17,14.6,86,0,100,14:52,5096,13,100,0,0,0.0,0,280,363,55065.5,278.9
3.3,1253,824,3000,1.81,13.1,-0.15,14.3,87,0,100,14:52,5104,14,100,0,0,0.0,0,280,362,55139.6,330.3
3.8,1253,811,2997,1.81,13.1,-0.13,14.2,86,0,100,14:52,5112,14,100,0,0,0.0,0,280,362,55212.6,330.3
4.4,1253,802,3000,1.81,13.2,-0.09,14.1,85,0,100,14:52,5119,15,100,0,0,0.0,0,279,363,55301.5,316.2
4.9,1253,811,3003,1.81,14.6,-0.02,14.0,86,0,100,14:52,5127,15,100,0,0,0.0,0,279,363,55388.1,268.7
5.5,1253,818,3001,1.81,14.6,0.01,14.0,87,0,100,14:52,5135,16,100,0,0,0.0,0,279,363,55462.0,268.7
6.0,1253,812,2998,1.81,14.4,0.03,14.1,86,0,100,14:52,5142,16,100,0,0,0.8,0,279,363,55538.7,277.6
6.6,1253,804,3000,1.81,14.4,0.04,13.6,85,0,100,14:52,5150,13,100,1,0,0.0,0,279,363,55616.1,277.6
7.1,1253,811,3002,1.81,13.6,0.04,13.2,86,0,100,14:52,5157,14,100,1,0,0.0,0,279,363,55687.5,304.0
7.6,1252,814,3000,1.81,13.6,0.04,13.1,86,0,100,14:52,5165,15,100,2,0,0.0,0,279,364,55768.4,304.0
8.2,1252,809,2999,1.81,14.3,0.08,13.1,86,0,100,14:52,5172,15,100,2,0,0.0,0,279,364,55853.3,281.7
8.7,1252,805,3000,1.81,14.3,0.07,13.1,85,0,100,14:52,5179,15,100,3,0,0.0,0,280,364,55905.6,281.7
9.3,1252,808,3001,1.81,13.0,0.04,13.1,86,0,100,14:52,5186,15,100,3,0,0.0,0,280,364,55973.8,322.4
9.8,1252,810,3000,1.81,13.0,0.02,13.1,86,0,100,14:52,5193,15,100,4,0,0.0,0,280,364,56041.6,322.4
10.4,1252,808,2999,1.81,13.5,0.05,13.0,86,0,100,14:52,5200,15,100,4,0,0.0,0,280,364,56135.0,311.2
10.9,1252,805,3000,1.81,13.5,0.08,13.0,86,0,100,14:52,5207,16,100,4,0,0.0,0,280,365,56214.6,311.2
11.5,1252,805,3001,1.81,14.2,0.10,13.1,86,0,100,14:52,5214,15,100,5,0,0.0,0,280,365,56288.4,278.3
12.0,1252,807,3001,1.81,14.0,0.10,13.1,86,0,100,14:52,5222,15,100,5,0,0.0,0,280,365,56361.2,288.9
12.6,1252,806,3000,1.81,14.0,0.12,13.0,86,0,100,14:52,5229,15,100,5,0,0.0,0,280,366,56450.6,288.9
13.1,1252,804,3000,1.81,14.9,0.15,13.0,86,0,100,14:52,5236,15,100,6,0,0.0,0,280,366,56530.6,253.3
13.7,1252,803,3000,1.81,14.9,0.16,13.0,86,0,100,14:52,5243,15,100,6,0,0.0,0,280,366,56607.8,253.3
14.2,1252,804,3000,1.81,14.3,0.15,12.9,86,0,100,14:52,5250,15,100,7,0,0.0,0,280,366,56680.4,277.0
14.7,1251,804,3000,1.81,14.3,0.14,13.0,86,0,100,14:52,5257,15,100,7,0,0.0,0,280,367,56763.5,277.0
15.3,1251,802,3000,1.81,15.1,0.17,13.0,86,0,100,14:52,5264,15,100,7,0,0.0,0,280,367,56847.6,250.2
