"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,0,64,631,1.00,0.0,0.00,0.0,0,0,0,15:02,22,50,100,0,0,0.0,0,0,0,215.4,0.0
0.6,6,63,625,1.00,0.0,0.00,0.0,0,0,0,15:02,22,76,100,0,0,0.0,0,0,0,215.4,0.0
1.1,7,63,624,1.00,0.0,0.00,0.0,0,0,0,15:02,22,65,100,0,0,0.0,0,0,0,215.4,0.0
1.7,251,94,760,2.19,0.0,0.00,0.0,0,0,110,15:01,22,41,100,0,0,0.0,0,0,0,215.4,0.0
2.2,506,184,1063,2.45,0.0,0.00,0.0,0,0,110,15:01,22,-91,100,0,0,0.0,0,0,0,215.4,0.0
2.7,877,352,1472,2.51,0.0,0.01,0.0,0,0,110,15:00,22,-90,100,0,0,0.0,0,0,0,215.4,0.0
3.3,1303,615,1948,2.53,0.0,0.06,0.0,0,0,110,15:00,22,19,100,0,0,0.0,0,1,1,215.4,0.0
3.8,1628,922,2397,2.53,0.0,0.18,0.0,1,0,110,14:59,22,14,100,0,0,0.0,0,4,4,215.9,0.0
4.4,1795,1235,2796,2.53,0.0,0.49,0.0,2,0,110,14:59,22,19,100,0,0,127.7,1,8,8,217.6,0.0
4.9,1812,1469,3082,2.53,0.2,0.91,0.0,4,0,110,14:58,22,18,100,0,0,0.0,0,13,13,221.9,1089.4
5.5,1754,1648,3301,2.52,0.2,1.40,0.0,7,0,110,14:57,22,19,100,0,0,0.0,0,20,20,230.4,1089.4
6.0,1682,1752,3438,2.52,0.7,1.92,0.0,10,0,110,14:57,22,20,100,0,0,0.0,0,27,27,243.4,1209.4
6.6,1641,1686,3495,2.51,0.7,2.20,0.0,13,0,110,14:56,22,19,100,0,0,0.0,0,34,34,261.0,1209.4
7.1,1673,1661,3437,2.50,1.7,2.71,0.0,15,0,110,14:56,22,18,100,0,0,0.0,0,41,41,280.6,1000.4
7.7,1751,1507,3257,2.49,3.0,3.00,0.0,15,0,110,14:55,22,18,100,0,0,0.0,0,48,48,303.7,678.7
8.2,1789,1318,3066,2.49,3.0,3.13,0.0,14,0,110,14:55,22,18,100,0,0,0.0,0,53,53,325.3,678.7
8.8,1795,1251,2971,2.50,3.4,3.10,0.0,15,0,110,14:54,22,19,100,0,0,0.0,0,58,58,346.4,456.8
9.3,1800,1274,2977,2.51,3.4,3.01,0.0,16,0,110,14:54,22,18,100,0,0,6.4,156,63,63,369.5,456.8
9.8,1802,1318,3026,2.51,3.9,2.88,0.0,18,0,110,14:53,22,19,100,0,0,0.0,0,68,68,395.4,513.3
10.4,1801,1331,3046,2.51,3.9,2.84,0.0,20,0,110,14:52,22,19,100,0,0,0.0,0,73,74,424.9,513.3
10.9,1800,1302,3016,2.51,4.5,2.71,0.0,21,0,110,14:52,22,19,100,0,0,0.0,0,79,79,455.1,523.0
