"Time, s","Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]",RPM[1],RPM[2],"Manifold pressure, atm[1]","Manifold pressure, atm[2]","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %[1]","Propeller efficiency, %[2]",Supercharger gear,"Throttle, %[1]","Throttle, %[2]","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %[1]","Radiator, %[2]","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
4.4,1647,1646,161,156,2858,2861,1.58,1.58,0.0,0.01,0.0,0,0,0,110,110,00:00,121,55,0,20,20,0,0.0,0,0,0,1187.0,0.0
4.9,1645,1625,795,800,3299,3301,1.53,1.53,0.0,0.08,0.0,0,0,0,110,110,00:00,121,63,0,20,20,0,0.0,0,2,2,1187.1,0.0
5.5,1591,1630,1955,1962,3545,3545,1.47,1.47,0.0,0.36,0.0,3,3,0,110,110,00:00,121,67,0,20,20,0,0.0,0,7,7,1188.8,0.0
6.0,1550,1557,3080,3083,3497,3495,1.40,1.40,0.0,1.08,0.0,14,14,0,110,110,00:00,121,70,0,20,20,0,0.0,0,18,18,1199.5,0.0
6.5,1412,1398,2751,2747,3205,3204,1.36,1.36,0.9,2.16,0.0,24,24,0,110,110,00:00,121,73,0,20,20,0,0.0,0,32,32,1226.1,5318.6
7.1,1414,1415,2202,2200,2908,2906,1.36,1.36,0.9,3.21,0.0,25,25,0,110,110,00:00,121,73,0,20,20,0,0.0,0,42,42,1255.9,5318.6
7.6,1452,1452,2131,2129,2754,2753,1.39,1.39,3.2,3.83,0.0,28,28,0,110,110,00:00,121,73,0,20,20,0,0.0,0,51,51,1288.4,2532.5
8.2,1481,1482,2113,2111,2737,2736,1.42,1.42,3.2,4.24,0.0,32,32,0,110,110,00:00,121,72,0,20,20,0,0.0,0,60,60,1328.1,2532.5
8.7,1505,1505,1969,1969,2815,2815,1.44,1.44,4.8,4.38,0.0,34,34,0,110,110,00:00,121,73,0,20,20,0,0.0,0,68,69,1368.6,2213.5
9.3,1489,1489,2220,2219,2865,2865,1.43,1.43,4.8,4.47,-0.1,43,43,0,110,110,00:00,121,73,0,20,20,0,0.0,0,77,77,1418.3,2213.5
9.8,1470,1470,2287,2287,2812,2812,1.41,1.41,6.5,4.47,0.0,50,50,0,110,110,00:00,121,73,0,20,20,0,0.0,0,86,87,1476.0,2487.8
10.4,1475,1475,2070,2071,2762,2762,1.41,1.41,9.1,4.57,0.0,50,50,0,110,110,00:00,121,73,0,20,20,0,0.0,0,95,95,1538.2,1764.2
10.9,1495,1495,1861,1861,2798,2798,1.43,1.43,9.1,4.51,0.0,48,48,0,110,110,00:00,121,73,0,20,20,0,0.0,0,102,103,1595.4,1764.2
11.4,1488,1488,2041,2041,2833,2833,1.42,1.42,10.1,4.37,0.0,57,57,0,110,110,00:00,121,73,0,20,20,0,0.0,0,110,110,1657.6,1695.9
12.0,1473,1473,2065,2065,2790,2790,1.41,1.41,10.1,4.34,0.0,62,62,0,110,110,00:00,121,74,0,20,20,0,0.0,0,118,119,1731.8,1695.9
12.5,1484,1484,1821,1821,2778,2778,1.42,1.42,11.6,4.24,0.0,58,58,0,110,110,00:00,121,73,0,20,20,0,0.0,0,125,126,1800.1,1505.6
