"Time, s","Climb, m/s","Specific excess power, m/s",RPM,"Propeller efficiency, %","Manifold pressure, atm","Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,-5.7,-0.2,3000,73,1.80,1323,452,37.2,100,584,587,89,0.48,14166.6,0.33,1.2
0.1,-4.8,0.8,3000,73,1.80,1323,452,37.2,100,584,587,88,0.48,14156.8,0.39,6.9
0.2,-3.5,1.7,3000,73,1.80,1323,452,37.2,100,585,587,88,0.48,14156.8,0.45,8.3
0.3,-2.0,1.3,3000,73,1.80,1323,452,37.2,100,585,587,87,0.48,14147.0,0.40,7.8
0.4,-0.9,1.0,3000,73,1.80,1323,452,37.2,100,585,587,87,0.48,14147.0,0.36,5.8
0.5,0.3,0.7,3000,73,1.80,1323,453,37.2,100,585,587,87,0.48,14147.0,0.32,8.0
0.6,2.6,0.9,3000,74,1.80,1323,455,37.2,100,584,587,87,0.48,14147.0,0.29,12.8
0.7,5.4,1.0,3000,74,1.80,1323,457,37.2,100,584,587,88,0.48,14156.8,0.26,16.0
0.8,9.5,1.2,2999,74,1.80,1323,458,37.2,100,584,587,88,0.48,14156.8,0.24,17.4
0.9,13.8,0.9,2999,74,1.80,1323,458,37.2,100,584,586,90,0.48,14131.2,0.12,17.8
1.0,18.0,0.7,2999,74,1.80,1322,458,37.2,100,583,586,91,0.48,14141.0,0.02,17.1
1.1,21.9,0.5,2998,74,1.80,1322,458,37.2,100,583,585,93,0.48,14115.5,-0.08,16.0
1.2,24.7,1.4,2998,74,1.80,1322,457,37.1,100,582,585,95,0.48,14135.1,-0.16,14.3
1.3,27.9,2.2,2998,74,1.80,1322,457,37.1,100,581,584,99,0.48,14129.2,-0.24,11.2
1.4,29.8,2.9,2998,74,1.80,1322,457,37.1,100,581,584,101,0.48,14148.8,-0.31,11.3
1.5,33.1,2.9,2998,74,1.80,1321,459,37.0,100,580,583,105,0.47,14143.1,-0.46,13.3
1.6,35.6,2.9,2998,74,1.80,1321,461,37.0,100,579,582,108,0.47,14127.5,-0.60,14.1
1.7,38.0,2.9,2998,74,1.80,1321,462,37.0,100,578,581,111,0.47,14112.1,-0.72,13.8
1.8,41.0,3.6,2997,74,1.80,1321,463,37.0,100,577,581,115,0.47,14151.3,-0.83,13.5
1.9,43.9,4.4,2997,74,1.80,1320,464,36.9,100,576,580,119,0.47,14145.8,-0.93,13.9
2.0,47.0,5.0,2997,74,1.80,1320,465,36.9,100,575,579,124,0.47,14150.1,-1.02,14.1
2.1,49.9,5.0,2997,74,1.80,1320,466,36.8,100,574,578,129,0.47,14154.5,-1.20,13.5
2.2,52.1,4.9,2997,74,1.80,1320,467,36.8,100,573,577,133,0.47,14149.2,-1.35,12.8
2.3,54.7,4.9,2997,75,1.80,1319,468,36.7,100,572,576,139,0.47,14163.6,-1.49,12.8
2.4,57.3,4.2,2997,75,1.80,1319,469,36.7,100,570,574,145,0.47,14133.7,-1.71,12.9
2.5,59.6,3.5,2997,75,1.80,1319,471,36.6,100,569,573,151,0.47,14148.3,-1.91,11.0
2.6,61.6,2.9,2997,75,1.80,1319,472,36.6,100,568,572,157,0.47,14163.0,-2.08,10.5
2.7,63.6,4.5,2996,75,1.80,1318,474,36.5,100,566,571,164,0.47,14187.6,-2.15,11.3
2.8,65.6,6.0,2996,75,1.80,1318,475,36.5,100,565,569,170,0.46,14158.5,-2.21,9.8
2.9,67.0,7.3,2996,75,1.80,1318,476,36.4,100,563,568,177,0.46,14183.3,-2.27,7.7
3.0,67.9,7.5,2996,75,1.80,1318,477,36.3,100,562,567,184,0.46,14208.2,-2.41,6.3
3.1,68.5,7.6,2996,75,1.80,1317,478,36.3,100,561,566,190,0.46,14223.3,-2.53,5.7
3.2,69.3,7.8,2996,75,1.80,1317,480,36.2,100,559,564,197,0.46,14204.8,-2.65,6.2
3.3,70.2,8.2,2996,75,1.80,1317,482,36.1,100,557,563,206,0.46,14249.6,-2.75,5.7
3.4,70.6,8.5,2996,75,1.80,1317,483,36.1,100,556,562,212,0.46,14265.1,-2.84,4.2
3.5,70.8,8.8,2996,75,1.80,1316,484,36.1,100,555,561,218,0.46,14280.6,-2.92,2.5
3.6,70.7,9.2,2996,75,1.80,1316,486,36.0,100,553,559,227,0.46,14282.5,-3.00,0.0
3.7,70.5,9.5,2996,75,1.80,1316,487,35.9,100,552,558,232,0.46,14288.4,-3.07,0.0
3.8,70.3,9.8,2997,76,1.80,1316,489,35.9,100,550,557,240,0.45,14323.9,-3.13,0.0
3.9,70.2,10.0,2997,76,1.80,1316,490,35.8,100,549,555,247,0.45,14306.8,-3.19,0.0
4.0,70.1,10.2,2997,76,1.80,1316,492,35.7,100,547,554,254,0.45,14332.6,-3.24,0.0
4.1,69.9,10.4,2997,76,1.80,1315,494,35.7,100,546,553,262,0.45,14368.4,-3.28,0.0
4.2,69.8,12.0,2997,76,1.80,1315,495,35.6,100,545,552,267,0.45,14374.8,-3.23,0.0
4.3,69.7,13.4,2997,76,1.80,1315,497,35.6,100,543,551,275,0.45,14410.8,-3.19,0.0
4.4,69.5,14.7,2997,76,1.80,1315,499,35.5,100,542,550,282,0.45,14436.9,-3.15,0.0
4.5,69.4,15.9,2997,76,1.80,1315,500,35.5,100,541,549,288,0.45,14453.4,-3.11,0.0
4.6,69.5,17.0,2997,76,1.80,1315,502,35.4,100,540,547,295,0.45,14437.5,-3.07,3.1
4.7,69.9,17.9,2997,77,1.80,1314,504,35.4,100,538,546,302,0.45,14464.0,-3.04,4.9
4.8,70.6,17.5,2997,77,1.80,1314,506,35.3,100,537,545,311,0.45,14510.2,-3.11,5.2
4.9,71.1,17.1,2997,77,1.80,1314,508,35.3,100,536,544,317,0.44,14527.1,-3.17,5.5
5.0,71.7,16.8,2997,77,1.80,1314,510,35.2,100,534,543,324,0.44,14553.8,-3.22,5.2
5.1,72.3,18.1,2997,77,1.80,1314,511,35.2,100,533,542,332,0.44,14590.4,-3.17,4.9
5.2,72.7,19.3,2997,77,1.80,1313,512,35.1,100,532,541,338,0.44,14607.5,-3.13,5.0
5.3,73.5,20.4,2997,77,1.80,1313,514,35.1,100,530,539,347,0.44,14612.4,-3.09,5.8
5.4,74.1,20.1,2997,77,1.80,1313,515,35.0,100,529,538,353,0.44,14629.8,-3.15,5.4
5.5,74.5,19.9,2997,77,1.80,1313,516,35.0,100,528,537,361,0.44,14666.8,-3.20,4.1
5.6,74.9,19.7,2997,77,1.80,1313,518,34.9,100,527,536,369,0.44,14703.8,-3.25,3.9
5.7,75.3,21.1,2997,77,1.80,1312,519,34.9,100,525,535,377,0.44,14741.0,-3.20,4.1
5.8,75.5,22.3,2997,77,1.80,1312,521,34.8,100,524,534,384,0.44,14768.4,-3.16,2.7
5.9,75.6,23.4,2997,77,1.80,1312,522,34.8,100,523,533,391,0.44,14795.9,-3.12,1.6
6.0,75.5,24.5,2997,78,1.79,1312,523,34.7,100,522,532,399,0.44,14833.3,-3.08,0.0
6.1,75.4,25.4,2997,78,1.79,1312,525,34.7,100,521,531,406,0.43,14861.0,-3.05,0.0
6.3,75.2,26.3,2997,78,1.79,1311,527,34.6,100,519,530,416,0.43,14918.2,-3.02,0.0
6.4,75.0,26.0,2997,78,1.79,1311,528,34.6,100,518,528,424,0.43,14915.0,-3.06,0.0
6.5,74.9,25.7,2997,78,1.79,1311,529,34.5,100,517,528,430,0.43,14973.9,-3.10,0.0
6.6,74.7,25.5,2997,78,1.79,1311,531,34.5,100,515,526,439,0.43,14980.8,-3.14,0.0
6.7,74.5,26.3,2997,78,1.79,1311,532,34.4,100,514,525,447,0.43,15018.8,-3.10,0.0
6.8,74.4,27.0,2997,78,1.79,1311,534,34.4,100,513,525,453,0.43,15077.6,-3.07,0.0
6.9,74.3,27.7,2997,78,1.79,1310,535,34.3,100,512,524,461,0.43,15115.6,-3.03,0.0
7.0,74.1,29.6,2997,78,1.79,1310,536,34.3,100,511,523,467,0.43,15134.1,-2.91,0.0
7.1,73.9,31.3,2997,78,1.80,1310,538,34.2,100,510,522,475,0.43,15172.3,-2.81,0.0
7.2,73.8,32.9,2998,78,1.80,1310,539,34.2,100,509,521,484,0.43,15220.3,-2.71,0.0
7.3,73.6,32.9,2998,78,1.80,1310,540,34.1,100,508,520,490,0.43,15239.0,-2.72,0.0
7.4,73.5,32.9,2998,78,1.80,1310,541,34.1,100,507,519,496,0.43,15257.8,-2.72,0.0
7.5,73.3,32.9,2998,78,1.80,1309,543,34.1,100,506,518,506,0.42,15315.9,-2.72,0.0
7.6,73.1,32.9,2998,79,1.80,1309,544,34.0,100,504,517,513,0.42,15344.6,-2.73,0.0
7.7,73.0,32.8,2998,79,1.80,1309,546,34.0,100,503,516,521,0.42,15383.2,-2.73,0.0
7.8,72.9,32.8,2998,79,1.80,1309,547,33.9,100,503,516,527,0.42,15442.1,-2.74,0.0
7.9,72.7,34.1,2998,79,1.80,1309,548,33.9,100,502,515,534,0.42,15471.0,-2.65,0.0
8.0,72.6,35.3,2998,79,1.80,1309,549,33.9,100,501,514,542,0.42,15509.8,-2.57,0.0
8.1,72.4,36.3,2998,79,1.80,1308,550,33.8,100,500,513,550,0.42,15548.6,-2.49,0.0
8.2,72.4,36.0,2998,79,1.80,1308,551,33.8,100,499,512,557,0.42,15577.8,-2.52,0.0
8.3,72.2,35.6,2998,79,1.80,1308,553,33.8,100,498,512,563,0.42,15636.6,-2.55,0.0
8.4,72.0,35.3,2998,79,1.80,1308,554,33.7,100,497,511,572,0.42,15685.4,-2.57,0.0
8.5,71.9,36.3,2998,79,1.80,1308,555,33.7,100,496,510,578,0.42,15704.9,-2.49,0.0
8.6,71.9,37.2,2998,79,1.80,1308,556,33.6,100,495,509,587,0.42,15753.9,-2.43,0.0
8.7,71.8,38.0,2998,79,1.80,1307,557,33.6,100,494,508,593,0.42,15773.5,-2.37,0.0
8.8,71.6,38.7,2998,79,1.80,1307,558,33.6,100,493,508,601,0.42,15852.0,-2.32,0.0
8.9,71.5,39.3,2998,79,1.80,1307,559,33.5,100,492,507,607,0.42,15871.7,-2.27,0.0
9.0,71.4,39.9,2998,79,1.80,1307,560,33.5,100,491,506,614,0.42,15901.3,-2.23,0.0
9.1,71.3,39.1,2998,79,1.80,1307,561,33.5,100,490,505,623,0.41,15950.6,-2.28,0.0
