"Time, s","Climb, m/s","Specific excess power, m/s",RPM,"Propeller efficiency, %","Manifold pressure, atm","Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,-19.4,-35.3,2999,67,1.80,1613,436,41.5,100,677,679,52,0.55,18297.2,0.45,0.6
0.1,-19.3,-37.3,2999,67,1.80,1613,437,41.5,100,677,678,51,0.55,18235.0,0.22,1.9
0.2,-19.0,-39.0,2999,67,1.80,1613,438,41.5,100,676,678,49,0.55,18215.4,0.01,2.3
0.3,-18.7,-40.6,2999,67,1.80,1613,438,41.5,100,676,677,47,0.55,18143.5,-0.17,1.8
0.4,-18.6,-40.2,2999,67,1.80,1613,439,41.4,100,676,677,45,0.55,18123.9,-0.25,1.1
0.5,-18.6,-39.8,2999,67,1.80,1613,439,41.4,100,675,677,43,0.55,18104.3,-0.32,1.0
0.6,-18.4,-39.4,2999,67,1.80,1613,440,41.4,100,675,676,41,0.55,18032.5,-0.38,2.4
0.7,-17.8,-39.0,2999,68,1.80,1613,442,41.4,100,675,676,40,0.55,18022.6,-0.43,5.7
0.8,-16.0,-38.6,2999,68,1.80,1613,444,41.4,100,674,676,38,0.55,18003.0,-0.48,8.1
0.9,-13.9,-38.3,2999,68,1.80,1613,445,41.4,100,674,675,37,0.55,17941.1,-0.52,9.6
1.0,-10.9,-37.3,2999,68,1.80,1613,447,41.3,100,673,675,35,0.55,17921.5,-0.56,12.7
1.1,-6.7,-36.4,2998,69,1.80,1613,450,41.3,100,673,674,34,0.55,17859.6,-0.60,16.6
1.2,-2.5,-35.6,2998,69,1.80,1613,452,41.3,100,672,673,34,0.55,17807.7,-0.63,19.0
1.3,4.4,-36.9,2998,69,1.80,1613,454,41.2,100,671,672,34,0.55,17755.8,-0.84,19.8
1.4,10.3,-38.1,2997,69,1.80,1612,455,41.2,100,670,671,35,0.55,17713.8,-1.04,20.1
1.5,16.1,-39.1,2997,69,1.80,1612,456,41.2,100,669,670,36,0.55,17671.8,-1.21,20.3
1.6,20.9,-38.3,2997,69,1.80,1612,457,41.1,100,668,669,38,0.55,17639.8,-1.37,20.6
1.7,26.5,-37.6,2997,69,1.80,1611,458,41.1,100,667,668,40,0.54,17607.8,-1.50,19.5
1.8,31.8,-37.0,2997,70,1.80,1611,460,41.0,100,666,667,43,0.54,17585.8,-1.63,18.4
1.9,36.6,-34.8,2996,70,1.80,1611,461,41.0,100,664,666,47,0.54,17573.6,-1.74,16.8
2.0,41.0,-32.9,2996,70,1.80,1611,463,40.9,100,662,664,51,0.54,17510.2,-1.84,15.7
2.1,44.8,-31.2,2996,70,1.80,1610,464,40.9,100,661,663,55,0.54,17498.2,-1.94,14.5
2.2,47.8,-31.8,2996,70,1.80,1610,466,40.8,100,659,661,59,0.54,17435.3,-2.20,14.8
2.3,52.4,-32.4,2996,70,1.80,1610,469,40.7,100,657,659,66,0.54,17402.1,-2.44,14.8
2.4,56.1,-33.0,2996,70,1.80,1609,471,40.7,100,656,658,71,0.54,17400.4,-2.65,15.0
2.5,59.1,-32.3,2996,71,1.80,1609,473,40.6,100,654,656,76,0.53,17348.0,-2.85,14.8
2.6,62.8,-31.7,2996,71,1.80,1609,476,40.5,100,652,655,82,0.53,17356.3,-3.02,15.0
2.7,65.6,-31.2,2995,71,1.80,1609,477,40.5,100,651,653,88,0.53,17314.2,-3.18,14.5
