"Time, s","Climb, m/s","Specific excess power, m/s",RPM,"Propeller efficiency, %","Manifold pressure, atm","Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,34.8,-16.9,2997,71,1.80,1316,422,38.2,100,597,606,341,0.50,17513.3,-1.97,1.1
0.1,34.8,-16.4,2997,71,1.80,1316,424,38.1,100,595,605,346,0.49,17515.6,-2.05,0.0
0.2,34.6,-16.0,2997,71,1.80,1316,425,38.1,100,594,604,349,0.49,17498.4,-2.12,0.0
0.3,34.5,-15.7,2997,71,1.80,1315,426,38.1,100,593,603,352,0.49,17481.2,-2.18,0.0
0.4,34.5,-15.4,2997,72,1.80,1315,427,38.0,100,592,603,356,0.49,17520.5,-2.24,2.0
0.5,34.7,-15.1,2998,72,1.80,1315,428,38.0,100,591,602,359,0.49,17503.4,-2.29,2.7
0.6,35.1,-13.2,2998,72,1.80,1315,431,37.9,100,590,601,363,0.49,17496.3,-2.25,4.6
0.7,36.4,-11.5,2998,72,1.80,1315,434,37.9,100,589,600,367,0.49,17489.2,-2.21,9.0
0.8,38.7,-10.0,2997,73,1.80,1315,437,37.8,100,588,599,370,0.49,17472.3,-2.17,12.0
0.9,41.0,-9.6,2997,73,1.80,1315,439,37.8,100,587,598,374,0.49,17465.4,-2.23,13.8
1.0,44.4,-9.2,2997,73,1.80,1315,441,37.7,100,586,597,378,0.49,17458.5,-2.28,15.3
1.1,47.9,-8.9,2997,73,1.80,1315,443,37.7,100,585,595,383,0.49,17415.6,-2.33,15.9
1.2,51.5,-9.0,2996,73,1.80,1314,444,37.6,100,583,594,388,0.49,17418.8,-2.47,15.5
1.3,54.7,-9.1,2996,73,1.80,1314,444,37.6,100,582,593,394,0.48,17431.8,-2.59,13.0
1.4,56.9,-9.3,2996,73,1.80,1314,444,37.5,100,581,592,398,0.48,17425.4,-2.70,13.2
1.5,59.0,-8.6,2996,73,1.80,1314,446,37.5,100,579,590,404,0.48,17393.0,-2.79,10.9
1.6,61.0,-8.0,2996,73,1.80,1313,448,37.4,100,578,589,411,0.48,17416.2,-2.88,11.3
