"Time, s","Climb, m/s","Specific excess power, m/s",RPM,"Propeller efficiency, %","Manifold pressure, atm","Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,-3.0,-1.0,3000,73,1.80,1480,485,38.4,100,609,610,23,0.50,14581.3,0.12,0.0
0.1,-3.0,0.4,3000,73,1.80,1480,485,38.4,100,609,610,22,0.50,14571.5,0.20,0.0
0.2,-3.0,1.7,3000,73,1.80,1481,485,38.4,100,609,610,22,0.50,14571.5,0.27,0.0
0.3,-3.1,1.2,3000,73,1.80,1481,485,38.4,100,609,610,22,0.50,14571.5,0.24,0.0
0.4,-3.1,0.8,3000,73,1.80,1482,486,38.4,100,609,610,21,0.50,14561.7,0.22,0.0
0.5,-3.1,0.4,3000,73,1.80,1483,486,38.4,100,609,610,21,0.50,14561.7,0.20,0.0
0.6,-3.1,0.0,3000,73,1.80,1483,486,38.4,100,609,610,21,0.50,14561.7,0.18,0.0
0.7,-3.1,-0.3,3000,73,1.80,1484,486,38.4,100,609,610,20,0.50,14551.9,0.16,0.0
0.8,-3.0,-0.6,3000,73,1.80,1485,487,38.4,100,609,610,20,0.50,14551.9,0.14,2.4
0.9,-2.4,-0.7,3000,73,1.80,1485,488,38.4,100,609,610,20,0.50,14551.9,0.13,4.7
1.0,-1.7,-0.9,3000,73,1.80,1486,488,38.4,100,609,610,20,0.50,14551.9,0.12,5.7
1.1,-0.5,-1.1,3000,73,1.80,1486,489,38.4,100,609,610,20,0.50,14551.9,0.10,6.6
1.2,0.7,-0.9,3000,73,1.80,1486,489,38.4,100,609,610,20,0.50,14551.9,0.09,6.6
1.3,1.9,-0.7,3000,73,1.80,1486,489,38.4,100,609,610,20,0.50,14551.9,0.08,5.7
1.4,2.9,-0.6,3000,73,1.80,1485,489,38.4,100,609,610,20,0.50,14551.9,0.08,5.8
1.5,3.9,-0.1,3000,73,1.80,1484,489,38.4,100,609,610,20,0.50,14551.9,0.07,7.3
1.6,5.6,0.3,2999,73,1.80,1483,489,38.4,100,609,610,21,0.50,14561.7,0.06,8.5
1.7,7.1,0.6,2999,73,1.80,1482,488,38.4,100,609,609,21,0.50,14514.7,0.06,6.7
1.8,8.4,-0.2,2999,73,1.80,1480,487,38.4,100,609,609,22,0.50,14524.5,-0.04,5.6
1.9,9.3,-0.9,2999,73,1.80,1479,487,38.4,100,608,609,23,0.50,14534.3,-0.13,6.8
2.0,10.9,-1.6,2999,73,1.80,1476,488,38.4,100,608,609,24,0.50,14544.1,-0.21,8.7
2.1,12.9,-1.7,2999,73,1.80,1474,487,38.4,100,608,608,25,0.50,14507.0,-0.28,9.3
2.2,14.4,-1.8,2999,73,1.80,1472,486,38.3,100,607,608,27,0.50,14526.6,-0.34,8.0
2.3,15.6,-1.9,2999,73,1.80,1468,485,38.3,100,607,608,28,0.50,14536.4,-0.40,6.3
2.4,16.8,-1.7,2999,73,1.80,1465,484,38.3,100,607,607,30,0.49,14509.2,-0.45,6.7
2.5,18.3,-1.4,2999,73,1.80,1461,484,38.3,100,606,607,32,0.49,14528.8,-0.50,8.0
2.6,20.1,-1.2,2998,73,1.80,1457,483,38.3,100,606,607,34,0.49,14548.4,-0.54,9.0
2.7,21.6,-0.5,2998,73,1.80,1454,482,38.2,100,605,606,35,0.49,14511.4,-0.58,8.4
2.8,23.0,0.2,2998,73,1.80,1449,480,38.2,100,605,606,38,0.49,14540.8,-0.61,7.2
2.9,24.5,0.7,2998,73,1.80,1444,479,38.2,100,604,605,40,0.49,14513.7,-0.64,7.6
3.0,25.8,1.7,2998,73,1.80,1438,477,38.2,100,603,605,43,0.49,14543.2,-0.67,6.4
3.1,26.6,2.5,2998,73,1.80,1434,476,38.1,100,603,604,45,0.49,14516.1,-0.70,5.6
3.2,27.8,3.3,2998,73,1.80,1427,474,38.1,100,602,603,48,0.49,14499.0,-0.72,5.7
3.3,28.8,2.7,2998,73,1.80,1421,473,38.1,100,601,603,51,0.49,14528.4,-0.83,6.3
3.4,29.8,2.1,2998,73,1.80,1416,471,38.0,100,601,602,54,0.49,14511.4,-0.93,7.2
3.5,31.2,1.7,2998,73,1.80,1410,470,38.0,100,600,601,57,0.49,14494.4,-1.02,6.9
3.6,32.3,1.6,2998,73,1.80,1403,468,37.9,100,599,601,60,0.49,14523.8,-1.10,6.2
3.7,33.4,1.6,2997,73,1.80,1396,466,37.9,100,598,600,64,0.49,14516.7,-1.18,6.0
3.8,34.2,1.5,2997,73,1.80,1389,464,37.9,100,597,599,67,0.49,14499.9,-1.24,4.6
3.9,34.9,0.2,2997,73,1.80,1383,463,37.8,100,596,598,70,0.49,14483.2,-1.39,6.1
4.0,36.5,-1.0,2997,73,1.80,1374,460,37.8,100,595,597,75,0.49,14486.1,-1.53,7.5
4.1,37.4,-2.1,2997,73,1.80,1368,458,37.7,100,595,597,78,0.49,14515.5,-1.65,5.6
4.2,37.8,-1.2,2997,73,1.80,1360,455,37.7,100,594,596,82,0.49,14508.7,-1.67,2.1
4.3,37.7,-0.4,2997,73,1.80,1352,453,37.6,100,593,595,85,0.48,14492.2,-1.69,0.0
4.4,37.6,0.3,2997,73,1.80,1345,451,37.6,100,592,594,89,0.48,14485.6,-1.70,0.0
4.5,37.5,-0.6,2997,73,1.80,1337,449,37.6,100,591,593,93,0.48,14479.0,-1.81,2.5
4.6,38.4,-1.4,2997,73,1.80,1329,448,37.5,100,590,592,96,0.48,14462.8,-1.90,7.7
4.7,40.2,-2.2,2997,73,1.80,1324,447,37.5,100,589,591,101,0.48,14466.2,-1.99,9.2
4.8,42.1,-2.4,2997,73,1.80,1325,446,37.4,100,587,590,105,0.48,14459.8,-2.07,9.7
4.9,43.7,-2.6,2997,73,1.80,1326,448,37.4,100,587,590,108,0.48,14489.3,-2.14,10.1
5.0,46.0,-2.7,2998,73,1.80,1327,451,37.3,100,585,588,114,0.48,14457.2,-2.20,9.4
5.1,47.9,-2.3,2998,74,1.80,1328,456,37.3,100,584,587,119,0.48,14460.9,-2.26,10.2
5.2,49.7,-1.9,2998,74,1.80,1329,459,37.2,100,583,586,123,0.48,14454.9,-2.31,10.9
5.3,51.9,-1.5,2997,74,1.79,1330,462,37.2,100,582,585,128,0.48,14458.8,-2.36,11.5
5.4,54.4,-0.5,2997,74,1.79,1330,463,37.1,100,580,584,134,0.48,14472.6,-2.40,12.4
5.5,57.1,0.5,2997,74,1.79,1331,464,37.1,100,579,583,140,0.48,14486.4,-2.43,13.0
5.6,59.7,1.3,2996,74,1.79,1332,466,37.0,100,577,581,146,0.47,14455.4,-2.46,12.7
5.7,62.3,1.4,2996,74,1.79,1333,467,37.0,100,576,580,152,0.47,14469.5,-2.58,12.8
5.9,64.1,1.5,2996,74,1.79,1334,468,36.9,100,575,579,157,0.47,14473.9,-2.69,10.0
6.0,65.3,1.5,2997,74,1.79,1335,470,36.9,100,573,578,164,0.47,14497.9,-2.79,6.5
6.1,66.2,2.0,2997,74,1.78,1336,472,36.8,100,572,576,171,0.47,14477.5,-2.88,6.7
6.2,67.3,2.4,2997,75,1.78,1337,475,36.7,100,570,575,178,0.47,14501.8,-2.96,6.9
6.3,67.9,2.8,2997,75,1.78,1338,476,36.7,100,569,574,183,0.47,14506.5,-3.03,5.0
6.4,68.3,4.8,2997,75,1.78,1339,478,36.6,100,567,573,191,0.47,14540.7,-3.01,3.6
6.5,68.7,6.7,2997,75,1.78,1340,481,36.6,100,566,571,198,0.47,14521.1,-2.98,4.7
6.6,69.5,8.4,2997,75,1.78,1341,483,36.5,100,564,570,205,0.47,14545.8,-2.96,6.5
6.7,70.2,8.7,2997,75,1.78,1342,485,36.5,100,563,569,212,0.46,14570.5,-3.03,5.5
6.8,70.6,8.9,2997,75,1.78,1343,487,36.4,100,562,568,218,0.46,14585.5,-3.09,4.3
6.9,71.0,9.1,2997,75,1.77,1344,490,36.3,100,560,566,227,0.46,14586.3,-3.15,3.3
7.0,71.2,9.4,2997,75,1.77,1345,492,36.3,100,558,565,234,0.46,14611.3,-3.21,3.0
7.1,71.5,9.7,2997,76,1.77,1347,494,36.2,100,557,563,242,0.46,14602.8,-3.25,4.1
7.2,71.8,9.9,2997,76,1.77,1347,496,36.2,100,556,562,248,0.46,14618.2,-3.30,3.5
7.3,72.0,10.3,2997,76,1.77,1348,498,36.1,100,555,561,254,0.46,14633.8,-3.34,3.3
7.4,72.5,10.6,2997,76,1.77,1350,501,36.1,100,553,560,263,0.46,14678.8,-3.37,4.3
7.5,73.0,10.9,2997,76,1.76,1351,503,36.0,100,551,559,270,0.46,14704.3,-3.40,4.9
7.6,73.5,11.4,2997,76,1.76,1352,506,36.0,100,550,557,278,0.46,14696.7,-3.43,3.8
7.7,73.7,11.8,2997,76,1.76,1353,507,35.9,100,549,556,284,0.45,14712.6,-3.46,2.8
7.8,73.8,12.1,2997,76,1.76,1354,509,35.9,100,547,555,292,0.45,14748.2,-3.48,2.1
7.9,73.9,14.0,2997,76,1.76,1355,511,35.8,100,546,554,299,0.45,14774.1,-3.41,2.0
8.0,74.0,15.6,2997,76,1.76,1356,514,35.7,100,544,553,307,0.45,14809.9,-3.34,3.3
8.1,74.5,17.1,2997,77,1.75,1357,516,35.7,100,543,551,315,0.45,14803.2,-3.28,5.0
