"Time, s","Climb, m/s","Specific excess power, m/s",RPM,"Propeller efficiency, %","Manifold pressure, atm","Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,76.4,-17.6,2995,72,1.80,1318,433,37.8,100,594,599,147,0.49,15284.7,-4.07,2.5
0.1,76.4,-17.6,2995,72,1.80,1318,435,37.7,100,593,597,154,0.49,15261.1,-4.22,0.5
0.2,76.1,-15.9,2995,72,1.80,1317,438,37.6,100,590,595,163,0.49,15257.4,-4.26,0.0
0.3,75.9,-14.5,2995,72,1.80,1317,439,37.6,100,589,593,170,0.48,15234.4,-4.29,0.0
0.4,75.5,-13.2,2995,73,1.80,1317,442,37.5,100,586,591,179,0.48,15231.3,-4.32,0.0
0.5,75.3,-11.8,2995,73,1.79,1317,444,37.4,100,585,590,185,0.48,15244.6,-4.34,0.0
0.6,75.1,-10.6,2996,73,1.80,1317,446,37.3,100,583,588,193,0.48,15232.2,-4.35,0.0
0.7,74.9,-9.5,2996,73,1.80,1317,449,37.2,100,581,586,201,0.48,15220.1,-4.37,0.0
0.8,74.6,-8.9,2996,73,1.80,1316,451,37.2,100,579,585,209,0.48,15253.4,-4.40,0.0
0.9,74.4,-8.3,2996,73,1.80,1316,453,37.1,100,577,583,217,0.48,15241.8,-4.43,0.0
1.0,74.3,-7.8,2996,73,1.80,1316,455,37.0,100,575,582,223,0.47,15255.7,-4.46,0.0
1.1,74.0,-7.2,2996,74,1.80,1316,457,37.0,100,574,580,230,0.47,15234.7,-4.47,0.0
1.2,73.8,-6.6,2996,74,1.80,1316,459,36.9,100,572,578,238,0.47,15223.8,-4.49,0.0
1.3,73.6,-6.1,2996,74,1.80,1316,461,36.8,100,570,577,246,0.47,15257.7,-4.50,0.0
1.4,73.4,-5.6,2996,74,1.80,1315,463,36.7,100,568,575,253,0.47,15237.5,-4.51,0.0
1.5,73.2,-5.2,2996,74,1.80,1315,465,36.7,100,567,574,260,0.47,15261.9,-4.51,0.0
1.6,72.9,-4.8,2996,74,1.80,1315,467,36.6,100,565,572,269,0.47,15261.7,-4.52,0.0
1.7,72.7,-3.0,2996,74,1.80,1315,469,36.6,100,564,571,275,0.47,15276.5,-4.44,0.0
1.8,72.5,-1.4,2996,75,1.80,1315,471,36.5,100,562,569,284,0.47,15276.8,-4.36,0.0
1.9,72.3,0.0,2996,75,1.80,1315,473,36.4,100,560,568,290,0.46,15291.8,-4.30,0.0
2.0,72.1,1.3,2996,75,1.80,1314,475,36.4,100,559,567,297,0.46,15316.7,-4.23,0.0
2.1,71.8,2.5,2997,75,1.80,1314,476,36.3,100,557,565,305,0.46,15307.8,-4.18,0.0
2.2,71.6,3.5,2997,75,1.80,1314,478,36.2,100,556,564,311,0.46,15323.1,-4.13,0.0
2.3,71.5,4.5,2997,75,1.80,1314,480,36.2,100,554,563,320,0.46,15367.9,-4.08,0.0
2.4,71.4,5.3,2997,75,1.80,1314,481,36.1,100,553,562,326,0.46,15383.4,-4.05,0.0
2.5,71.2,6.0,2997,75,1.80,1314,483,36.1,100,551,560,333,0.46,15365.5,-4.01,0.0
2.6,71.0,6.7,2997,75,1.80,1313,485,36.0,100,550,559,339,0.46,15381.2,-3.98,0.0
