"Time, s","Climb, m/s","Specific excess power, m/s",RPM,"Propeller efficiency, %","Manifold pressure, atm","Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,36.9,-31.5,2997,69,1.80,1321,404,38.8,100,618,621,92,0.51,15780.6,-3.11,2.0
0.1,37.0,-31.2,2997,69,1.80,1321,405,38.7,100,617,620,96,0.51,15772.0,-3.17,1.0
0.2,37.0,-29.2,2997,70,1.80,1321,407,38.7,100,616,619,100,0.50,15763.4,-3.13,1.3
0.3,37.1,-27.4,2997,70,1.80,1321,409,38.6,100,614,618,103,0.50,15745.2,-3.09,3.0
0.4,37.4,-25.8,2997,70,1.80,1321,411,38.6,100,613,616,107,0.50,15689.2,-3.06,3.2
0.5,37.7,-25.8,2997,70,1.80,1321,413,38.5,100,612,615,111,0.50,15680.9,-3.12,3.5
0.6,38.1,-25.7,2997,70,1.80,1320,414,38.5,100,611,614,114,0.50,15662.9,-3.17,4.4
0.7,38.9,-25.7,2997,71,1.80,1320,416,38.4,100,609,613,119,0.50,15664.7,-3.21,3.7
0.8,39.1,-25.7,2997,71,1.80,1320,417,38.4,100,608,611,123,0.50,15609.4,-3.27,2.0
0.9,39.1,-25.7,2997,71,1.80,1320,418,38.3,100,607,610,127,0.50,15601.6,-3.31,0.0
1.0,39.1,-25.7,2997,71,1.80,1320,419,38.3,100,606,609,130,0.50,15584.0,-3.36,1.7
1.1,39.2,-24.0,2997,71,1.80,1320,421,38.2,100,604,608,134,0.50,15576.3,-3.30,2.1
1.2,39.7,-22.4,2997,71,1.80,1320,423,38.2,100,603,607,138,0.50,15568.6,-3.25,5.1
1.3,40.5,-21.1,2997,71,1.80,1320,425,38.1,100,602,606,142,0.49,15561.1,-3.20,5.0
1.4,41.0,-19.6,2997,71,1.80,1320,426,38.1,100,601,605,147,0.49,15563.4,-3.16,3.4
1.5,41.4,-18.2,2997,72,1.80,1319,428,38.0,100,600,604,150,0.49,15546.2,-3.12,5.1
1.6,42.5,-17.0,2997,72,1.80,1319,430,38.0,100,598,603,154,0.49,15538.9,-3.08,6.7
1.7,43.4,-15.7,2997,72,1.80,1319,430,37.9,100,597,602,159,0.49,15541.4,-3.05,4.4
1.8,43.6,-14.5,2997,72,1.80,1319,431,37.9,100,595,600,164,0.49,15497.7,-3.02,0.5
1.9,43.5,-13.3,2997,72,1.80,1319,432,37.8,100,594,599,168,0.49,15490.7,-2.99,0.0
2.0,43.4,-13.9,2997,72,1.80,1319,434,37.8,100,593,598,173,0.49,15493.6,-3.06,0.0
2.1,43.3,-14.4,2997,72,1.80,1319,435,37.7,100,592,597,177,0.49,15486.7,-3.12,0.0
2.2,43.2,-14.9,2997,72,1.80,1319,437,37.7,100,591,596,182,0.49,15489.7,-3.18,0.0
2.3,43.1,-13.8,2997,72,1.80,1318,438,37.6,100,590,595,186,0.49,15483.0,-3.14,0.0
2.4,43.1,-12.8,2997,72,1.80,1318,439,37.6,100,589,594,190,0.48,15476.4,-3.10,1.1
2.5,43.2,-11.8,2997,72,1.80,1318,441,37.5,100,588,593,194,0.48,15469.8,-3.07,2.7
2.6,43.4,-11.0,2997,73,1.80,1318,442,37.5,100,587,592,198,0.48,15463.4,-3.04,2.6
2.7,43.7,-10.2,2997,73,1.80,1318,444,37.4,100,585,591,203,0.48,15466.8,-3.01,2.7
2.8,43.8,-9.4,2997,73,1.80,1318,445,37.4,100,584,590,208,0.48,15470.3,-2.99,2.3
2.9,43.9,-8.7,2997,73,1.80,1318,446,37.4,100,583,589,211,0.48,15454.2,-2.96,2.5
3.0,44.1,-8.1,2997,73,1.80,1318,447,37.3,100,582,588,216,0.48,15457.9,-2.94,1.8
3.1,44.1,-7.5,2998,73,1.80,1318,449,37.3,100,581,587,220,0.48,15451.8,-2.93,1.5
3.2,44.3,-6.9,2998,73,1.80,1318,450,37.2,100,580,586,224,0.48,15445.7,-2.91,2.6
