"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, m:s","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0,4,45,409,0.97,0,0,0,0,2,0,00:00,71,-127,0,0,0,0,0,0,0,697.4,0
0.6,4,45,409,0.97,0,0,0,0,2,0,00:00,71,-123,0,0,0,0,0,0,0,697.4,0
1.1,4,45,409,0.97,0,0,0,0,2,0,00:00,71,-116,0,0,0,0,0,0,0,697.4,0
1.6,130,64,490,1.45,0,0,0,0,2,54,00:00,71,-117,0,0,0,0,0,0,0,697.4,0
2.2,262,165,786,1.78,0,0,0,0,2,110,00:00,71,-104,0,0,0,0,0,0,0,697.4,0
2.7,568,351,1146,2.09,0,0.01,0,0,2,110,00:00,71,-94,0,0,0,0,0,0,0,697.4,0
3.3,1230,751,1678,2.67,0,0.01,0,0,2,110,00:00,71,67,0,0,0,0.1,0,1,1,697.5,0
3.8,1839,1361,2264,2.22,0,0.42,0,1,1,110,00:00,71,74,0,0,0,0.2,0,5,5,698.3,0
4.4,2484,2107,2828,2.72,0.2,2.74,0,4,1,110,00:00,71,74,0,0,0,0.3,0,11,11,702.3,1811
4.9,2238,2623,3170,2.66,0.2,2.74,0,10,1,110,00:00,71,76,0,0,0,0.1,0,21,22,716.8,1811
5.5,2010,2934,3262,2.5,1.6,5.43,0,18,1,110,00:00,71,77,0,0,0,-0.1,0,32,32,738,2225.6
6,2002,2465,3097,2.33,1.6,5.43,0,21,1,110,00:00,71,77,0,0,0,-0.2,0,44,44,773.9,2225.6
6.5,2076,2262,2947,2.33,4,5.54,0,22,1,110,00:00,71,77,0,0,0,0.3,0,54,54,810.3,1221.1
7.1,2130,2106,2855,2.36,4,5.54,0,24,1,110,00:00,71,76,0,0,0,-0.1,0,63,63,851.1,1221.1
7.6,2159,2046,2810,2.39,5.9,4.58,0,25,1,110,00:00,71,77,0,0,0,0.3,0,71,72,897.2,891.7
8.2,2175,2030,2782,2.4,5.9,4.58,0,28,1,110,00:00,71,77,0,0,0,0.2,0,79,80,943.9,891.7
8.7,2184,2042,2767,2.41,7.1,3.8,0,31,1,110,00:00,71,78,0,0,0,0,0,87,87,988.3,891.5
9.3,2189,2072,2757,2.42,7.1,3.8,0,34,1,110,00:00,71,78,0,0,0,0.1,0,95,95,1046.3,891.5
9.8,2192,2112,2752,2.42,9.3,4.09,0,37,1,110,00:00,71,78,0,0,0,-0.2,0,103,103,1105.3,816.7
10.4,2193,2167,2749,2.42,9.3,4.09,0,42,1,110,00:00,71,78,0,0,0,0.1,0,111,111,1176.1,816.7
10.9,2194,2230,2746,2.42,11,4.22,0,46,1,110,00:00,71,79,0,0,0,0,0,120,120,1250.7,879.5
11.4,2194,2292,2745,2.42,11,4.22,0,51,1,110,00:00,71,79,0,0,0,-0.1,0,128,129,1340.2,879.5
12,2192,2352,2742,2.42,13.6,4.72,0,56,1,110,00:00,71,79,0,0,0,-0.1,0,137,138,1435.6,887.2
12.5,2194,2371,2743,2.42,13.6,4.72,0.3,60,1,110,00:00,71,80,0,0,0,0,0,146,147,1536.7,887.2
13.1,2194,2359,2743,2.42,15.1,4.3,1.2,63,1,110,00:00,72,80,0,0,0,-0.1,0,154,154,1621.2,960.5
13.6,2195,2324,2746,2.42,15.1,4.3,2.4,65,1,110,00:00,73,72,0,0,0,-0.2,0,163,163,1738.2,960.5
14.2,2193,2284,2748,2.42,20.3,4.7,3.1,67,1,110,00:00,74,66,0,0,0,0,0,172,173,1875.3,619.3
14.7,2193,2240,2749,2.42,20.3,4.7,3.7,69,1,110,00:00,76,61,0,0,0,-0.2,0,180,181,2003.5,619.3
