"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1984,1900,3001,2.69,21.5,0.09,21.9,74,1,110,00:00,176,30,100,0,0,0.0,0,208,209,3418.0,681.5
0.1,1984,1898,3001,2.69,21.5,0.11,22.0,74,1,110,00:00,178,30,100,0,0,0.0,0,208,210,3443.0,681.5
0.2,1984,1896,3001,2.69,21.5,0.15,22.0,74,1,110,00:00,180,30,100,0,0,0.0,0,209,210,3473.8,681.5
0.3,1984,1894,3001,2.69,21.5,0.18,22.1,74,1,110,00:00,182,29,100,0,0,0.0,0,209,211,3498.4,681.5
0.4,1984,1892,3001,2.69,21.5,0.22,22.2,74,1,110,00:00,184,29,100,0,0,0.0,0,209,211,3528.8,681.5
0.5,1985,1889,3001,2.69,25.2,0.23,22.2,74,1,110,00:00,187,29,100,0,0,0.0,0,210,211,3555.8,475.3
0.6,1985,1887,3001,2.69,25.2,0.25,22.3,74,1,110,00:00,189,29,100,0,0,0.0,0,210,212,3586.7,475.3
0.7,1985,1886,3001,2.69,25.2,0.26,22.4,74,1,110,00:00,191,29,100,0,0,0.0,0,211,212,3611.3,475.3
0.8,1985,1883,3001,2.69,25.2,0.28,22.5,74,1,110,00:00,193,28,100,0,0,0.0,0,211,213,3641.9,475.3
0.9,1985,1881,3001,2.69,25.2,0.30,22.5,74,1,110,00:00,195,28,100,0,0,0.0,0,211,213,3672.3,475.3
1.0,1985,1879,3001,2.69,25.2,0.37,22.6,74,1,110,00:00,198,28,100,0,0,0.0,0,212,214,3705.9,475.3
1.1,1985,1877,3001,2.69,25.2,0.44,22.7,74,1,110,00:00,200,28,100,0,0,0.0,0,212,214,3735.4,475.3
1.2,1985,1875,3001,2.69,25.2,0.48,22.7,74,1,110,00:00,202,28,100,0,0,0.0,0,213,215,3759.1,475.3
1.3,1985,1873,3001,2.69,25.2,0.52,22.8,74,1,110,00:00,204,28,100,0,0,0.0,0,213,215,3788.8,475.3
1.4,1985,1871,3001,2.69,25.2,0.58,22.9,74,1,110,00:00,207,28,100,0,0,0.0,0,213,215,3824.6,475.3
1.5,1985,1869,3001,2.69,28.1,0.58,23.0,74,1,110,00:00,209,28,100,0,0,0.0,0,214,216,3851.8,323.8
1.6,1986,1867,3001,2.69,28.1,0.59,23.1,75,1,110,00:00,212,27,100,0,0,0.0,0,214,216,3881.0,323.8
1.7,1986,1866,3001,2.69,28.1,0.59,23.1,75,1,110,00:00,213,27,100,0,0,0.0,0,214,217,3898.3,323.8
1.8,1986,1864,3001,2.69,28.1,0.59,23.2,75,1,110,00:00,216,27,100,0,0,0.0,0,215,217,3939.9,323.8
1.9,1986,1862,3001,2.69,28.1,0.61,23.3,75,1,110,00:00,218,27,100,0,0,0.0,0,215,217,3963.4,323.8
2.0,1986,1860,3001,2.69,28.1,0.65,23.3,75,1,110,00:00,221,27,100,0,0,0.0,0,216,218,3993.2,323.8
2.1,1986,1858,3001,2.69,28.1,0.72,23.4,75,1,110,00:00,223,27,100,0,0,0.0,0,216,218,4022.9,323.8
2.2,1986,1857,3001,2.69,28.1,0.75,23.5,75,1,110,00:00,226,27,100,0,0,0.0,0,216,218,4052.8,323.8
2.3,1986,1855,3001,2.69,28.1,0.79,23.6,75,1,110,00:00,228,27,100,0,0,0.0,0,217,219,4086.1,323.8
2.4,1986,1853,3001,2.69,28.1,0.83,23.6,75,1,110,00:00,231,27,100,0,0,0.0,0,217,219,4115.4,323.8
2.5,1986,1851,3001,2.69,29.3,0.86,23.7,75,1,110,00:00,233,26,100,0,0,0.0,0,217,220,4145.0,269.6
2.6,1986,1850,3001,2.69,29.3,0.89,23.8,75,1,110,00:00,235,26,100,0,0,0.0,0,218,220,4171.9,269.6
2.7,1987,1848,3001,2.69,29.3,0.91,23.8,75,1,110,00:00,237,26,100,0,0,0.0,0,218,220,4201.0,269.6
2.8,1987,1846,3001,2.69,29.3,0.93,23.9,75,1,110,00:00,240,26,100,0,0,0.0,0,218,221,4230.3,269.6
2.9,1987,1844,3001,2.69,29.3,0.94,24.0,75,1,110,00:00,242,26,100,0,0,0.0,0,219,221,4263.3,269.6
3.0,1987,1843,3001,2.69,29.3,0.96,24.0,75,1,110,00:00,245,26,100,0,0,0.0,0,219,221,4292.3,269.6
3.1,2393,1886,3360,3.42,29.3,10.85,80.3,200,1,110,00:00,250,18,100,2,0,20.3,544,687,694,21039.6,269.6
3.2,2012,864,3867,3.87,29.3,18.95,85.0,109,1,110,00:00,259,9,100,5,0,14.7,755,688,696,21221.9,269.6
3.3,1704,686,3952,3.64,29.3,25.64,88.2,103,1,110,00:00,268,2,100,9,0,10.3,1082,689,697,21363.0,269.6
3.4,1722,981,3829,3.23,29.3,31.09,90.3,146,1,110,00:00,277,-2,100,13,0,0.0,0,689,698,21496.2,269.6
3.5,1725,616,3713,2.96,893.9,35.92,91.8,91,1,110,00:00,287,-5,100,17,0,5.4,0,691,699,21669.3,-14555.7
3.6,1703,530,3675,2.85,893.9,37.93,92.3,80,1,110,00:00,294,-6,100,20,0,0.0,0,689,697,21639.4,-14555.7
3.7,1693,672,3624,2.75,893.9,40.24,93.3,101,1,110,00:00,304,-8,100,24,0,3.3,0,690,699,21845.3,-14555.7
3.8,1698,613,3546,2.66,893.9,40.09,93.6,92,1,110,00:00,316,-9,100,23,0,2.4,0,689,698,21906.2,-14555.7
3.9,1707,569,3502,2.62,893.9,41.09,93.9,85,1,110,00:00,323,-9,100,17,0,1.8,0,689,699,22007.9,-14555.7
4.0,1718,659,3445,2.58,893.9,42.40,94.1,98,1,110,00:00,333,-10,100,11,0,1.0,0,688,698,22086.6,-14555.7
4.1,1734,515,3402,2.57,893.9,41.38,94.3,76,1,110,00:00,341,-10,100,5,0,0.0,0,688,699,22187.9,-14555.7
4.2,1749,616,3378,2.57,893.9,42.02,94.4,90,1,110,00:00,351,-10,100,1,0,0.0,0,688,699,22282.4,-14555.7
4.3,1759,603,3325,2.55,893.9,42.74,94.4,87,1,110,00:00,361,-11,100,0,0,0.0,0,687,698,22361.2,-14555.7
4.4,1780,533,3302,2.57,893.9,41.22,94.4,76,1,110,00:00,370,-11,100,0,0,0.0,0,687,698,22452.5,-14555.7
4.5,1792,668,3270,2.56,521.4,40.88,94.4,95,1,110,00:00,380,-11,100,0,0,0.0,0,686,698,22528.0,-8196.6
4.6,1800,553,3239,2.56,521.4,40.49,94.4,78,1,110,00:00,388,-11,100,0,0,0.0,0,686,698,22599.6,-8196.6
4.7,1820,590,3227,2.58,521.4,38.97,94.4,83,1,110,00:00,398,-11,100,0,0,0.0,0,685,698,22685.4,-8196.6
4.8,1826,618,3193,2.58,521.4,38.55,94.4,87,1,110,00:00,408,-11,100,0,0,0.0,0,685,698,22786.7,-8196.6
4.9,1842,558,3180,2.59,521.4,37.97,94.3,77,1,110,00:00,418,-11,100,0,0,0.0,0,684,697,22852.2,-8196.6
5.0,1849,636,3157,2.59,521.4,37.08,94.6,88,1,110,00:00,428,-11,100,0,0,0.0,0,686,699,23051.7,-8196.6
5.1,1858,509,3138,2.60,521.4,35.90,94.6,70,1,110,00:00,437,-11,100,0,0,0.0,0,685,699,23138.3,-8196.6
5.2,1872,631,3133,2.62,521.4,34.89,94.5,86,1,110,00:00,447,-11,100,0,0,0.0,0,685,698,23209.9,-8196.6
5.3,1870,579,3107,2.61,521.4,33.78,94.4,79,1,110,00:00,457,-11,100,0,0,0.0,0,684,698,23289.8,-8196.6
5.4,1886,569,3106,2.63,521.4,32.60,94.4,77,1,110,00:00,467,-11,100,0,0,0.0,0,684,698,23386.6,-8196.6
5.5,1887,650,3093,2.62,324.1,31.38,94.4,88,1,110,00:00,475,-11,100,0,0,0.0,0,683,698,23464.7,-4858.7
5.6,1891,529,3080,2.63,324.1,30.13,94.4,71,1,110,00:00,485,-11,100,0,0,0.0,0,683,698,23565.7,-4858.7
5.7,1902,638,3079,2.64,324.1,28.86,94.4,86,1,110,00:00,495,-11,100,0,0,0.0,0,683,698,23664.6,-4858.7
5.8,1896,577,3059,2.63,324.1,27.58,94.3,78,1,110,00:00,504,-11,100,0,0,0.0,0,682,698,23736.2,-4858.7
5.9,1909,554,3064,2.65,324.1,26.30,94.2,74,1,110,00:00,512,-11,100,0,0,0.0,0,682,698,23805.1,-4858.7
6.0,1908,662,3054,2.64,324.1,25.03,94.2,88,1,110,00:00,522,-11,100,0,0,0.0,0,681,697,23884.3,-4858.7
6.1,1909,544,3043,2.64,324.1,23.78,94.1,73,1,110,00:00,532,-11,100,0,0,0.0,0,681,697,23978.5,-4858.7
6.2,1921,620,3048,2.66,324.1,22.60,94.4,82,1,110,00:00,542,-11,100,0,0,0.0,0,682,699,24168.3,-4858.7
6.3,1914,565,3031,2.65,324.1,21.44,94.4,75,1,110,00:00,552,-11,100,0,0,0.0,0,682,699,24257.9,-4858.7
6.4,1925,540,3038,2.66,324.1,20.33,94.4,72,1,110,00:00,559,-11,100,0,0,0.0,0,681,699,24326.3,-4858.7
