"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1326,1411,2850,1.81,19.5,-0.18,20.3,75,1,100,00:00,273,36,100,0,0,0.0,0,190,193,4111.2,214.8
0.1,1326,1411,2850,1.81,19.1,-0.18,20.3,75,1,100,00:00,275,36,100,0,0,0.0,0,190,193,4132.5,235.6
0.2,1326,1412,2850,1.81,19.1,-0.19,20.3,75,1,100,00:00,277,36,100,0,0,0.0,0,190,193,4149.5,235.6
0.3,1326,1412,2850,1.81,19.1,-0.19,20.2,75,1,100,00:00,279,36,100,0,0,0.0,0,190,193,4170.1,235.6
0.4,1326,1412,2850,1.81,19.1,-0.19,20.2,75,1,100,00:00,280,36,100,0,0,0.0,0,190,193,4186.6,235.6
0.5,1326,1412,2850,1.81,19.1,-0.18,20.2,75,1,100,00:00,283,35,100,0,0,0.0,0,190,193,4211.1,235.6
0.6,1326,1412,2850,1.81,19.1,-0.18,20.1,75,1,100,00:00,286,35,100,0,0,0.0,0,190,193,4243.6,235.6
0.7,1326,1413,2850,1.81,19.1,-0.17,20.1,75,1,100,00:00,288,35,100,0,0,0.0,0,190,193,4255.7,235.6
0.9,1326,1414,2850,1.81,19.1,-0.16,20.1,75,1,100,00:00,290,35,100,0,0,0.0,0,190,193,4272.4,235.6
1.0,1326,1414,2850,1.81,19.1,-0.16,20.0,75,1,100,00:00,291,35,100,0,0,0.0,0,190,192,4285.8,235.6
1.1,1326,1413,2850,1.81,19.1,-0.16,20.0,75,1,100,00:00,294,35,100,0,0,0.0,0,190,192,4307.3,235.6
1.2,1327,1413,2850,1.81,18.8,-0.16,20.0,75,1,100,00:00,296,35,100,0,0,0.0,0,190,192,4321.4,251.9
1.3,1327,1414,2850,1.81,18.8,-0.18,19.9,75,1,100,00:00,298,35,100,0,0,0.0,0,190,192,4339.6,251.9
1.4,1327,1415,2850,1.81,18.8,-0.19,19.9,75,1,100,00:00,299,36,100,0,0,0.0,0,190,192,4357.2,251.9
1.5,1327,1415,2850,1.81,18.8,-0.19,19.9,75,1,100,00:00,302,36,100,0,0,0.0,0,189,192,4382.0,251.9
1.6,1327,1415,2850,1.81,18.8,-0.19,19.9,75,1,100,00:00,304,36,100,0,0,0.0,0,189,192,4402.7,251.9
1.7,1327,1415,2850,1.81,18.8,-0.19,19.8,75,1,100,00:00,305,36,100,0,0,0.0,0,189,192,4419.1,251.9
1.8,1327,1415,2850,1.81,18.8,-0.19,19.8,75,1,100,00:00,308,36,100,0,0,0.0,0,189,192,4439.2,251.9
1.9,1327,1416,2850,1.81,18.8,-0.19,19.8,75,1,100,00:00,309,37,100,0,0,0.0,0,189,192,4455.3,251.9
2.0,1327,1416,2850,1.81,18.8,-0.19,19.8,75,1,100,00:00,312,37,100,0,0,0.0,0,189,192,4479.0,251.9
2.1,1327,1416,2850,1.81,18.8,-0.19,19.8,75,1,100,00:00,314,37,100,0,0,0.0,0,189,192,4498.6,251.9
2.2,1327,1416,2850,1.81,19.0,-0.18,19.7,75,1,100,00:00,315,37,100,0,0,0.0,0,189,192,4514.3,241.0
