"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1709,1710,3000,2.22,25.5,-0.07,26.1,74,1,110,00:00,290,30,100,0,0,0.0,0,199,201,4405.8,208.9
0.1,1710,1711,3000,2.22,25.5,-0.07,26.1,74,1,110,00:00,293,30,100,0,0,0.0,0,199,201,4432.4,208.9
0.2,1710,1711,3000,2.22,25.5,-0.07,26.1,74,1,110,00:00,295,30,100,0,0,0.0,0,199,201,4458.9,208.9
0.3,1710,1711,3000,2.22,25.5,-0.08,26.1,74,1,110,00:00,297,30,100,0,0,0.0,0,198,201,4480.1,208.9
0.4,1710,1711,3000,2.22,25.5,-0.09,26.1,74,1,110,00:00,300,30,100,0,0,0.0,0,198,201,4501.1,208.9
0.5,1710,1712,3000,2.22,25.5,-0.09,26.1,74,1,110,00:00,303,30,100,0,0,0.0,0,198,201,4532.1,208.9
0.6,1710,1712,3000,2.22,25.5,-0.09,26.1,74,1,110,00:00,306,30,100,0,0,0.0,0,198,201,4558.0,208.9
0.7,1710,1712,3000,2.22,25.5,-0.10,26.1,74,1,110,00:00,308,30,100,0,0,0.0,0,198,201,4578.6,208.9
0.8,1710,1713,3000,2.22,25.5,-0.10,26.1,74,1,110,00:00,310,30,100,0,0,0.0,0,198,201,4604.4,208.9
0.9,1710,1713,3000,2.22,25.5,-0.11,26.1,74,1,110,00:00,314,30,100,0,0,0.0,0,198,201,4635.1,208.9
1.0,1711,1713,3000,2.22,25.4,-0.11,26.0,74,1,110,00:00,316,30,100,0,0,0.0,0,198,201,4660.7,212.0
1.1,1711,1713,3000,2.22,25.4,-0.11,26.0,74,1,110,00:00,319,31,100,0,0,0.0,0,198,201,4681.1,212.0
1.2,1711,1713,3000,2.22,25.4,-0.11,26.0,74,1,110,00:00,321,30,100,0,0,0.0,0,198,201,4704.7,212.0
1.3,1711,1714,3000,2.22,25.4,-0.10,26.0,74,1,110,00:00,323,30,100,0,0,0.0,0,198,201,4732.8,212.0
1.4,1711,1714,3000,2.22,25.4,-0.10,26.0,74,1,110,00:00,326,30,100,0,0,0.0,0,198,201,4757.2,212.0
1.5,1711,1714,3000,2.22,25.4,-0.11,26.0,74,1,110,00:00,328,30,100,0,0,0.0,0,198,201,4776.8,212.0
1.6,1711,1714,3000,2.22,25.4,-0.11,26.0,74,1,110,00:00,331,30,100,0,0,0.0,0,198,201,4801.6,212.0
1.7,1711,1715,3000,2.22,25.4,-0.11,26.0,74,1,110,00:00,334,30,100,0,0,0.0,0,197,201,4826.4,212.0
1.8,1712,1715,3000,2.22,25.4,-0.11,26.0,74,1,110,00:00,336,30,100,0,0,0.0,0,197,200,4851.5,212.0
1.9,1712,1715,3000,2.22,25.4,-0.12,26.0,74,1,110,00:00,339,30,100,0,0,0.0,0,197,200,4876.6,212.0
2.0,1712,1715,3000,2.22,25.2,-0.12,25.9,74,1,110,00:00,341,30,100,0,0,0.0,0,197,200,4896.6,221.9
2.1,1712,1716,3000,2.22,25.2,-0.13,25.9,74,1,110,00:00,344,30,100,0,0,0.0,0,197,200,4921.9,221.9
