"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, min:sec","Altitude, m","Critical AoA, %","AoA, deg","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
18.2,1323,482,3121,1.83,300.9,4.66,79.4,93,2,100,00:00,6105,-6,-1,100,55,0,0,0,510,698,78672,-4531.2
18.3,1313,347,3110,1.82,300.9,5.68,79.7,68,2,100,00:00,6114,-6,-1,100,55,0,0.8,0,511,699,78840.3,-4531.2
18.4,1311,417,3112,1.82,300.9,6.48,79.8,81,2,100,00:00,6122,-6,-1,100,55,0,0.7,0,511,699,78928.1,-4531.2
18.5,1300,470,3095,1.8,300.9,7.01,79.7,92,2,100,00:00,6129,-6,-1,100,55,0,0,0,510,698,78916.2,-4531.2
18.6,1294,374,3078,1.79,300.9,7.49,80,74,2,100,00:00,6137,-6,-1.1,100,55,0,0,0,510,699,79074.7,-4531.2
18.7,1297,390,3079,1.8,300.9,7.8,80,77,2,100,00:00,6145,-6,-1.1,100,55,0,0,0,510,699,79134.9,-4531.2
18.8,1293,440,3067,1.79,300.9,8.01,80,87,2,100,00:00,6154,-6,-1.1,100,55,0,0,0,509,699,79193.6,-4531.2
18.9,1291,375,3055,1.78,300.9,8.11,80.1,74,2,100,00:00,6162,-6,-1.1,100,55,0,0,0,509,699,79282.6,-4531.2
19,1295,374,3056,1.79,300.9,8.14,80.2,74,2,100,00:00,6169,-6,-1.1,100,55,0,0,0,509,699,79356.4,-4531.2
19.1,1295,427,3050,1.79,200.5,8.1,80.2,84,2,100,00:00,6177,-6,-1.1,100,55,0,0,0,509,699,79421.1,-2972.8
19.2,1293,378,3038,1.79,200.5,7.97,80.1,75,2,100,00:00,6187,-6,-1.1,100,55,0,0,0,508,698,79483.5,-2972.8
19.3,1298,388,3039,1.79,200.5,7.75,80.2,76,2,100,00:00,6195,-6,-1.1,100,55,0,0,0,508,698,79566,-2972.8
19.4,1297,421,3033,1.79,200.5,7.57,80.2,83,2,100,00:00,6204,-6,-1.1,100,55,0,0,0,507,697,79626.9,-2972.8
19.5,1296,388,3026,1.79,200.5,7.37,80.2,77,2,100,00:00,6211,-6,-1.1,100,55,0,0,0,507,698,79714.2,-2972.8
19.6,1301,374,3027,1.79,200.5,7.17,80.4,73,2,100,00:00,6219,-6,-1.1,100,55,0,0,0,508,699,79869.7,-2972.8
19.7,1301,403,3024,1.79,200.5,6.95,80.4,79,2,100,00:00,6227,-6,-1.1,100,55,0,0,0,508,699,79958.6,-2972.8
19.8,1300,385,3018,1.79,200.5,6.71,80.4,76,2,100,00:00,6236,-7,-1.2,100,55,0,0,0,507,699,80011.7,-2972.8
19.9,1302,372,3018,1.8,200.5,6.47,80.4,73,2,100,00:00,6242,-7,-1.2,100,55,0,0,0,507,699,80098.2,-2972.8
20,1304,394,3018,1.8,200.5,6.21,80.4,77,2,100,00:00,6251,-7,-1.2,100,55,0,0,0,507,699,80177.1,-2972.8
