"Time, s","Climb, m/s","Specific excess power, m/s","Critical Flaps Speed, %","Propeller efficiency, %","Manifold pressure, atm",Supercharger gear,RPM,"Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²"
0.0,25.7,24.3,0,79,2.02,1,3000,1480,1390,29.4,100,226,229,355,0.19,5503.3,-0.25
0.1,25.6,24.4,0,79,2.02,1,3000,1480,1391,29.4,100,225,229,357,0.19,5529.5,-0.23
0.2,25.6,24.0,0,79,2.02,1,3000,1480,1392,29.4,100,225,229,360,0.19,5555.6,-0.30
0.3,25.6,23.5,0,79,2.02,1,3000,1480,1393,29.4,100,225,229,363,0.19,5581.8,-0.36
0.4,25.5,23.1,0,79,2.02,1,3000,1481,1393,29.4,100,225,229,365,0.19,5602.7,-0.42
0.5,25.5,23.4,0,79,2.02,1,3000,1481,1394,29.4,100,225,229,368,0.19,5628.8,-0.37
0.6,25.5,23.6,0,79,2.02,1,3000,1481,1394,29.4,100,224,229,370,0.19,5654.8,-0.34
0.7,25.5,23.8,0,79,2.02,1,3000,1481,1395,29.4,100,224,228,373,0.19,5663.2,-0.30
0.8,25.4,23.3,0,79,2.02,1,3000,1481,1396,29.4,100,224,228,376,0.19,5689.2,-0.37
0.9,25.4,23.0,0,79,2.02,1,3000,1481,1396,29.4,100,224,228,378,0.19,5710.0,-0.42
1.0,25.4,22.6,0,79,2.02,1,3000,1481,1397,29.4,100,224,228,380,0.19,5736.0,-0.47
1.1,25.3,22.9,0,79,2.02,1,3000,1481,1397,29.4,100,224,228,383,0.19,5761.9,-0.42
1.2,25.3,23.1,0,79,2.02,1,3000,1482,1398,29.4,100,224,228,385,0.19,5782.6,-0.38
1.3,25.3,23.4,0,79,2.02,1,3000,1482,1398,29.4,100,223,228,388,0.19,5808.5,-0.34
1.4,25.3,23.0,0,78,2.02,1,3000,1482,1399,29.4,100,223,227,390,0.19,5816.8,-0.40
1.5,25.2,22.6,0,78,2.02,1,3000,1482,1400,29.4,100,223,227,393,0.19,5847.7,-0.45
1.6,25.2,22.3,0,78,2.02,1,3000,1482,1400,29.4,100,223,227,396,0.19,5873.5,-0.50
1.7,25.2,22.6,0,78,2.02,1,3000,1482,1401,29.4,100,223,227,399,0.19,5899.3,-0.45
1.8,25.2,22.8,0,78,2.02,1,3000,1482,1401,29.4,100,223,227,401,0.19,5919.9,-0.41
1.9,25.1,23.1,0,78,2.02,1,3000,1482,1402,29.4,100,222,227,403,0.19,5945.6,-0.37
2.0,25.1,23.3,0,78,2.02,1,3000,1483,1403,29.4,100,222,227,406,0.19,5971.2,-0.33
2.1,25.1,23.4,0,78,2.02,1,3000,1483,1403,29.4,100,222,226,409,0.19,5979.4,-0.30
2.2,25.1,23.6,0,78,2.02,1,3000,1483,1404,29.4,100,222,226,411,0.19,5999.9,-0.27
2.3,25.0,23.2,0,78,2.02,1,3000,1483,1404,29.4,100,222,226,413,0.19,6025.5,-0.33
2.4,25.0,22.8,0,78,2.02,1,3000,1483,1405,29.4,100,222,226,415,0.19,6040.9,-0.39
2.5,25.0,22.4,0,78,2.02,1,3000,1483,1405,29.4,100,222,226,418,0.18,6066.4,-0.44
2.6,24.9,22.6,0,78,2.02,1,3000,1483,1406,29.4,100,221,226,420,0.18,6092.0,-0.40
2.7,24.9,22.9,0,78,2.02,1,3000,1483,1410,29.4,100,221,226,423,0.18,6117.4,-0.36
2.8,24.9,23.1,0,79,2.02,1,2999,1483,1412,29.4,100,221,226,425,0.18,6137.8,-0.32
2.9,25.1,22.7,0,78,2.02,1,2999,1483,1412,29.3,100,221,225,427,0.18,6145.9,-0.38
3.0,25.3,22.3,0,78,2.02,1,2999,1483,1406,29.3,100,221,225,430,0.18,6171.6,-0.44
3.1,25.4,22.0,0,78,2.02,1,3000,1484,1403,29.3,100,220,225,433,0.18,6197.4,-0.49
3.2,25.3,22.4,0,78,2.02,1,3001,1485,1406,29.4,100,220,225,435,0.18,6223.3,-0.44
3.3,25.1,22.7,0,78,2.02,1,3001,1485,1411,29.4,100,220,225,438,0.18,6249.1,-0.39
3.4,24.9,22.9,0,78,2.02,1,3001,1485,1412,29.5,100,220,225,440,0.18,6269.6,-0.35
3.5,24.7,22.5,0,78,2.02,1,3001,1485,1413,29.5,100,220,224,443,0.18,6277.7,-0.41
3.6,24.4,22.1,0,78,2.02,1,3000,1484,1414,29.5,100,220,224,445,0.18,6302.8,-0.46
3.7,24.3,21.8,0,78,2.02,1,3000,1484,1414,29.5,100,219,224,448,0.18,6327.7,-0.51
3.8,24.2,22.1,0,78,2.02,1,3000,1484,1413,29.5,100,219,224,450,0.18,6352.5,-0.46
3.9,24.1,22.3,0,78,2.02,1,3000,1485,1411,29.4,100,219,224,453,0.18,6377.3,-0.41
4.0,23.9,22.5,0,78,2.02,1,3000,1485,1410,29.4,100,219,224,455,0.18,6401.9,-0.37
4.1,23.7,22.6,0,78,2.02,1,3001,1485,1412,29.5,100,219,224,458,0.18,6426.3,-0.33
4.2,23.5,22.7,0,78,2.02,1,3001,1485,1415,29.5,100,219,224,460,0.18,6445.6,-0.30
4.3,23.4,22.8,0,78,2.02,1,3000,1485,1416,29.5,100,219,224,462,0.18,6469.6,-0.27
4.4,23.2,22.8,0,78,2.02,1,3000,1485,1415,29.5,100,219,224,465,0.18,6493.4,-0.24
4.5,23.1,22.9,0,78,2.02,1,3000,1485,1413,29.5,100,219,224,467,0.18,6517.1,-0.22
4.6,23.1,22.9,0,78,2.02,1,3000,1486,1413,29.5,100,219,224,469,0.18,6536.0,-0.20
4.7,23.0,22.9,0,78,2.02,1,3000,1486,1413,29.5,100,219,224,471,0.18,6559.5,-0.18
4.8,23.0,22.9,0,78,2.02,1,3000,1486,1414,29.5,100,219,224,473,0.18,6578.3,-0.16
4.9,22.9,22.9,0,78,2.02,1,3000,1486,1415,29.5,100,219,224,476,0.18,6606.5,-0.14
5.0,22.9,22.9,0,78,2.02,1,3000,1486,1415,29.5,100,219,224,478,0.18,6625.2,-0.13
5.1,22.8,22.9,0,78,2.02,1,3000,1486,1414,29.5,100,219,224,480,0.18,6648.6,-0.12
5.2,22.8,22.9,0,78,2.02,1,3000,1486,1414,29.5,100,219,224,482,0.18,6667.2,-0.10
5.3,22.8,22.9,0,78,2.02,1,3000,1486,1414,29.5,100,219,224,485,0.18,6695.2,-0.09
5.4,22.8,22.9,0,78,2.02,1,3000,1486,1415,29.5,100,219,224,488,0.18,6718.5,-0.08
5.5,22.7,22.9,0,78,2.02,1,3000,1487,1415,29.5,100,219,224,490,0.18,6741.7,-0.08
5.6,22.7,22.9,0,78,2.02,1,3000,1487,1415,29.5,100,219,224,492,0.18,6760.3,-0.07
5.7,22.7,22.9,0,78,2.02,1,3000,1487,1415,29.5,100,219,224,494,0.18,6783.5,-0.06
5.8,22.7,22.8,0,78,2.02,1,3000,1487,1415,29.5,100,219,224,497,0.18,6806.7,-0.06
5.9,22.7,22.8,0,78,2.02,1,3000,1487,1415,29.5,100,219,224,499,0.18,6829.9,-0.05
6.0,22.7,22.8,0,78,2.02,1,3000,1487,1415,29.5,100,219,224,501,0.18,6853.1,-0.04
6.1,22.7,22.8,0,78,2.02,1,3000,1487,1415,29.5,100,219,224,504,0.18,6876.2,-0.04
