"Time, s","Power, hp","Thrust, kgf",RPM,"Throttle, %","Altitude, m","Propeller efficiency, %","Propeller pitch, %","Propeller pitch, deg","Manifold pressure, atm","IAS, km/h","TAS, km/h",Mach number,"Climb, m/s","Acceleration, m/s^2","Pitch angle, deg","AoA, deg","AoS, deg","Turn, s","Turn radius, m","Load factor, g",Supercharger gear,"WEP remain, m:s","Fuel consumption, kg/min","Mass of Fuel, kg","Mixture, %","Radiator, %","Oil radiator, %","Engine temperature, ℃","Oil temperature, ℃","Water temperature, ℃"
0,21,140,701,0,30,0,100,25,0.95,0,0,0,0,0,13.2,-35.6,-17.1,0,0,0.6,0,58:20:00,0.43,220,0,60,0,0,60,82
0.2,163,148,719,28,30,0,100,25,0.97,0,0,0,0,0,13.2,-21.5,-12.4,0,0,0.8,0,58:20:00,0.43,220,0,60,0,0,61,82
0.4,191,177,786,31,30,0,100,25,1.03,0,0,0,0,0,13.2,-9,-7.6,0,0,0.9,0,58:20:00,0.43,220,0,60,0,0,61,82
0.6,196,205,847,59,30,0,100,25,1.2,0,0,0,0,0,13.3,9.9,-4.7,0,0,1,0,58:20:00,0.43,220,0,60,0,0,61,82
0.8,219,234,905,59,30,0,100,25,1.21,0,0,0,0,0,13.3,13.5,-2.8,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1,200,268,968,93,30,0,100,25,1.33,1,1,0,0,0,13.3,12.7,-1.7,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.2,225,294,1015,93,30,0,100,25,1.37,1,1,0,0,0,13.3,12.9,-1.2,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.4,323,336,1085,110,30,0,100,25,1.97,1,1,0,0,0,13.3,12.9,-0.9,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.6,364,381,1154,110,30,1,100,25,2,1,1,0,0,0,13.3,12.9,-0.7,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.8,415,441,1242,110,30,1,100,25,2.02,2,2,0,0,0.55,13.3,13,-0.5,0,0,1,0,58:20:00,1.19,220,0,60,0,0,61,82
2,457,495,1315,110,30,1,100,25,2.02,2,2,0,0,0.55,13.3,13,-0.5,0,0,1,0,58:20:00,1.19,220,0,60,0,0,61,82
2.2,495,556,1394,110,30,1,100,25,1.84,3,3,0,0,0.55,13.2,12.9,-0.4,0,0,1,0,58:19:00,1.19,220,0,60,0,0,61,82
2.4,568,617,1468,110,30,1,100,25,1.94,4,4,0,0,0.55,13.2,12.9,-0.4,0,0,1,0,58:19:00,1.19,220,0,60,0,0,61,82
2.6,635,684,1547,110,30,2,100,25,2,4,4,0,0,0.55,13.2,12.8,-0.4,0,0,1,0,58:19:00,1.19,220,0,60,0,0,61,82
2.8,725,773,1643,110,30,2,100,25,1.45,5,5,0,0,0.83,13.2,12.9,-0.3,0,0,1,0,58:19:00,2.07,220,0,60,0,0,61,82
3,841,857,1730,110,30,2,100,25,1.54,6,6,0.01,0,0.83,13.3,13,-0.2,0,0,1,0,58:19:00,2.07,220,0,60,0,0,61,82
3.2,1000,966,1837,110,30,3,100,25,1.66,8,8,0.01,0,0.83,13.3,13.2,-0.1,0,0,1,0,58:18:00,2.07,220,0,60,0,0,61,82
3.4,1198,1094,1956,110,30,3,100,25,1.81,9,9,0.01,0,0.83,13.3,13.2,0,0,0,1,0,58:18:00,2.07,220,0,60,0,0,61,82
