"Time, s","Power, hp","Thrust, kgf",RPM,"Manifold pressure, atm","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %",Supercharger gear,"Throttle, %","WEP remain, m:s","Altitude, m","Critical AoA, %","Mixture, %","Radiator, %","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
4.9,2088,1733,2092,1.56,0.1,1.67,0.0,4,1,110,00:00,63,74,0,0,0,-0.5,0,12,12,627.1,0.0
5.4,2368,2097,2334,1.63,0.1,1.67,0.0,6,1,110,00:00,63,71,0,0,0,-0.4,0,18,18,634.4,0.0
6.0,2544,2387,2535,1.68,0.7,3.10,0.0,9,1,110,00:00,63,73,0,0,0,-0.7,0,25,25,646.6,0.0
6.5,2636,2595,2698,1.72,0.7,3.10,0.0,12,1,110,00:00,63,73,0,0,0,-0.9,0,34,34,665.5,0.0
7.1,2668,2731,2820,1.75,1.9,4.16,0.0,16,1,110,00:00,63,73,0,0,0,-1.0,0,42,42,690.4,0.0
7.6,2667,2845,2918,1.78,1.9,4.16,0.0,21,1,110,00:00,63,73,0,0,0,-1.0,0,52,52,725.2,0.0
8.1,2653,2725,2982,1.79,3.9,4.74,0.0,23,1,110,00:00,63,74,0,0,0,-0.9,0,61,62,770.7,0.0
8.7,2652,2875,2987,1.79,3.9,4.74,0.0,29,1,110,00:00,63,74,0,0,0,-0.3,0,70,70,811.1,0.0
9.2,2672,2791,2892,1.77,6.1,4.79,0.0,31,1,110,00:00,63,74,0,0,0,0.0,0,79,80,871.4,0.0
9.8,2659,2541,2753,1.74,6.1,4.79,0.1,32,1,110,00:00,63,73,0,0,0,-0.2,0,88,88,921.6,0.0
10.3,2624,2411,2660,1.71,8.1,4.47,0.0,33,1,110,00:00,63,75,0,0,0,-0.4,0,96,97,984.4,0.0
10.8,2619,2388,2647,1.71,8.1,4.47,0.0,35,1,110,00:00,63,74,0,0,0,0.0,0,104,104,1043.3,0.0
11.4,2641,2419,2693,1.72,9.5,3.90,0.0,38,1,110,00:00,63,74,0,0,0,0.1,0,111,111,1100.1,0.0
11.9,2660,2505,2743,1.74,9.5,3.90,0.0,42,1,110,00:00,63,75,0,0,0,0.0,0,119,119,1170.6,0.0
12.5,2661,2558,2745,1.74,11.4,3.95,0.0,46,1,110,00:00,63,74,0,0,0,-0.4,0,127,127,1245.9,0.0
13.0,2650,2523,2707,1.73,13.0,4.02,0.0,48,1,110,00:00,63,75,0,0,0,0.2,0,135,135,1325.0,0.0
13.6,2637,2467,2672,1.72,13.0,4.02,0.0,50,1,110,00:00,63,75,0,0,0,0.0,0,143,143,1406.4,0.0
