"Time, s","Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]",RPM[1],RPM[2],"Manifold pressure, atm[1]","Manifold pressure, atm[2]","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %[1]","Propeller efficiency, %[2]",Supercharger gear,"Throttle, %[1]","Throttle, %[2]","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %[1]","Mixture, %[2]","Radiator, %[1]","Radiator, %[2]","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1599,1599,1180,1180,2349,2349,1.62,1.62,12.5,0.26,18.0,86,86,0,100,100,00:00,185,69,100,100,0,0,0,11.6,428,308,311,5547.7,832.6
0.1,1598,1598,1182,1182,2349,2349,1.62,1.62,12.5,0.16,19.2,86,86,0,100,100,00:00,188,69,100,100,0,0,0,11.5,429,308,310,5562.1,832.6
0.2,1598,1598,1183,1183,2349,2349,1.62,1.62,12.5,0.10,20.3,86,86,0,100,100,00:00,189,69,100,100,0,0,0,11.5,430,307,310,5553.3,832.6
0.3,1598,1598,1185,1185,2349,2349,1.62,1.62,17.2,0.01,21.5,86,86,0,100,100,00:00,191,69,100,100,0,0,0,11.4,431,306,309,5555.8,254.2
0.4,1598,1598,1188,1187,2349,2349,1.62,1.62,17.2,-0.06,22.5,85,85,0,100,100,00:00,194,69,100,100,0,0,0,11.4,432,306,308,5569.9,254.2
0.6,1598,1598,1189,1188,2349,2349,1.62,1.62,17.2,-0.14,23.6,85,85,0,100,100,00:00,197,69,100,100,0,0,0,11.8,413,305,308,5584.3,254.2
0.7,1598,1598,1186,1186,2349,2349,1.62,1.62,17.2,-0.22,24.6,85,85,0,100,100,00:00,199,66,100,100,0,0,0,11.2,435,305,307,5597.6,254.2
0.8,1598,1599,1183,1183,2349,2349,1.62,1.62,17.2,-0.27,25.5,84,84,0,100,100,00:00,202,61,100,100,0,0,0,9.9,497,305,307,5627.0,254.2
0.9,1599,1599,1184,1184,2349,2349,1.62,1.62,17.2,-0.31,26.4,84,84,0,100,100,00:00,205,57,100,100,0,0,0,9.1,540,304,307,5653.0,254.2
1.0,1599,1599,1187,1187,2350,2350,1.62,1.62,17.2,-0.36,26.9,84,84,0,100,100,00:00,208,54,100,100,0,0,0,8.6,570,304,307,5676.6,254.2
1.1,1599,1599,1190,1190,2350,2350,1.62,1.62,17.2,-0.40,27.6,84,84,0,100,100,00:00,211,51,100,100,0,0,0,8.0,611,304,307,5694.4,254.2
1.2,1599,1599,1192,1192,2350,2350,1.62,1.62,17.2,-0.43,28.2,84,84,0,100,100,00:00,214,49,100,100,0,0,0,7.7,636,303,306,5710.6,254.2
1.3,1599,1599,1192,1192,2350,2350,1.62,1.62,17.2,-0.47,28.6,84,84,0,100,100,00:00,216,46,100,100,0,0,0,7.1,683,303,306,5726.7,254.2
1.4,1599,1599,1193,1193,2350,2350,1.62,1.62,23.4,-0.51,29.1,84,84,0,100,100,00:00,220,43,100,100,0,0,0,5.9,0,302,305,5757.9,-520.8
1.5,1598,1598,1195,1195,2350,2350,1.62,1.62,23.4,-0.54,29.4,84,84,0,100,100,00:00,223,40,100,100,0,0,0,5.3,0,302,305,5770.3,-520.8
1.6,1598,1598,1198,1198,2350,2350,1.62,1.62,23.4,-0.58,29.6,84,84,0,100,100,00:00,226,39,100,100,0,0,0,5.0,0,301,304,5786.0,-520.8
1.8,1598,1598,1201,1201,2350,2350,1.62,1.62,23.4,-0.63,29.9,84,84,0,100,100,00:00,229,38,100,100,0,0,0,4.8,0,300,303,5794.7,-520.8
1.9,1598,1598,1202,1202,2350,2350,1.62,1.62,23.4,-0.66,30.0,84,84,0,100,100,00:00,232,37,100,100,0,0,0,4.4,0,300,303,5818.0,-520.8
2.0,1598,1597,1205,1205,2350,2350,1.62,1.62,23.4,-0.72,30.2,84,84,0,100,100,00:00,236,35,100,100,0,0,0,3.9,0,299,302,5835.3,-520.8
2.1,1597,1597,1207,1207,2350,2350,1.62,1.62,23.4,-0.76,30.3,83,83,0,100,100,00:00,240,34,100,100,0,0,0,3.5,0,298,301,5853.5,-520.8
2.2,1597,1597,1209,1209,2350,2350,1.62,1.62,23.4,-0.82,30.5,83,83,0,100,100,00:00,244,33,100,100,0,0,0,3.2,0,297,300,5874.3,-520.8
2.3,1597,1597,1211,1211,2350,2350,1.62,1.62,23.4,-0.85,30.5,83,83,0,100,100,00:00,246,33,100,100,0,0,0,2.9,0,296,300,5881.8,-520.8
2.4,1597,1597,1213,1213,2349,2349,1.62,1.62,20.0,-0.89,30.6,83,83,0,100,100,00:00,249,32,100,100,0,0,0,2.6,0,295,299,5890.2,-113.3
2.5,1597,1597,1216,1216,2349,2349,1.62,1.62,20.0,-0.89,30.6,83,83,0,100,100,00:00,253,31,100,100,0,0,0,2.2,0,295,298,5910.0,-113.3
2.6,1597,1597,1218,1218,2349,2349,1.62,1.62,20.0,-0.95,30.7,83,83,0,100,100,00:00,256,31,100,100,0,0,0,1.7,0,294,297,5918.3,-113.3
2.8,1597,1597,1220,1220,2349,2349,1.62,1.62,20.0,-1.00,30.7,83,83,0,100,100,00:00,260,30,100,100,0,0,0,1.4,0,293,296,5941.6,-113.3
2.9,1597,1597,1222,1222,2349,2349,1.62,1.62,20.0,-1.09,30.7,83,83,0,100,100,00:00,263,30,100,100,0,0,0,0.0,0,292,296,5950.9,-113.3
3.0,1597,1597,1225,1225,2349,2349,1.62,1.62,20.0,-1.14,30.7,83,83,0,100,100,00:00,267,30,100,100,0,0,0,0.0,0,291,295,5973.3,-113.3
3.1,1597,1597,1227,1227,2349,2349,1.62,1.62,20.0,-1.21,30.6,83,83,0,100,100,00:00,270,29,100,100,0,0,0,0.0,0,290,294,5985.4,-113.3
3.2,1597,1597,1230,1230,2349,2349,1.62,1.62,20.0,-1.26,30.6,83,83,0,100,100,00:00,274,29,100,100,0,0,0,0.0,0,289,293,6003.5,-113.3
3.3,1597,1597,1232,1232,2349,2349,1.62,1.62,20.0,-1.30,30.5,83,83,0,100,100,00:00,277,29,100,100,0,0,0,0.0,0,289,292,6015.4,-113.3
3.4,1597,1597,1234,1235,2349,2349,1.62,1.62,16.9,-1.36,30.5,83,83,0,100,100,00:00,280,29,100,100,0,0,0,0.0,0,288,292,6030.7,267.5
3.5,1597,1597,1237,1237,2349,2349,1.62,1.62,16.9,-1.40,30.4,82,82,0,100,100,00:00,283,29,100,100,0,0,0,0.0,0,287,291,6038.6,267.5
3.6,1597,1597,1241,1241,2349,2349,1.62,1.62,16.9,-1.45,30.3,82,82,0,100,100,00:00,289,29,100,100,0,0,0,0.0,0,286,290,6079.6,267.5
3.7,1597,1597,1243,1243,2349,2349,1.62,1.62,16.9,-1.49,30.3,82,82,0,100,100,00:00,292,29,100,100,0,0,0,0.0,0,286,290,6109.7,267.5
