"Time, s","Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]",RPM[1],RPM[2],"Manifold pressure, atm[1]","Manifold pressure, atm[2]","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s","Propeller efficiency, %[1]","Propeller efficiency, %[2]",Supercharger gear,"Throttle, %[1]","Throttle, %[2]","WEP remain, min:sec","Altitude, m","Critical AoA, %","Mixture, %[1]","Mixture, %[2]","Radiator, %[1]","Radiator, %[2]","Oil radiator, %","Turn rate, deg/s","Turn radius, m","IAS, km/h","TAS, km/h","Specific energy, J/kg","Drag, kgf"
0.0,1971,1971,1652,1652,2500,2500,1.91,1.91,18.6,-0.13,20.2,77,77,0,110,110,00:00,259,44,100,100,0,0,0,0.0,0,247,250,4956.8,483.3
0.1,1971,1971,1653,1653,2500,2500,1.91,1.91,18.6,-0.14,20.2,77,77,0,110,110,00:00,261,44,100,100,0,0,0,0.0,0,247,250,4972.7,483.3
0.2,1971,1971,1654,1653,2500,2500,1.91,1.91,18.6,-0.15,20.2,77,77,0,110,110,00:00,262,44,100,100,0,0,0,0.0,0,247,250,4978.0,483.3
0.3,1971,1971,1654,1654,2500,2500,1.91,1.91,18.6,-0.16,20.2,77,77,0,110,110,00:00,265,44,100,100,0,0,0,0.0,0,247,250,5003.0,483.3
0.4,1971,1971,1655,1655,2500,2500,1.91,1.91,18.6,-0.18,20.2,77,77,0,110,110,00:00,267,43,100,100,0,0,0,0.0,0,246,250,5022.1,483.3
0.5,1971,1971,1656,1655,2500,2500,1.91,1.91,18.6,-0.21,20.2,77,77,0,110,110,00:00,269,43,100,100,0,0,0,0.0,0,246,249,5037.5,483.3
0.6,1971,1971,1656,1656,2500,2500,1.91,1.91,18.6,-0.23,20.2,77,77,0,110,110,00:00,270,43,100,100,0,0,0,0.0,0,246,249,5043.2,483.3
0.7,1971,1971,1657,1657,2500,2500,1.91,1.91,17.7,-0.25,20.2,77,77,0,110,110,00:00,273,43,100,100,0,0,0,0.0,0,246,249,5067.1,614.2
0.8,1971,1971,1658,1657,2500,2500,1.91,1.91,17.7,-0.26,20.2,77,77,0,110,110,00:00,275,43,100,100,0,0,0,0.0,0,246,249,5086.0,614.2
0.9,1971,1971,1658,1658,2500,2500,1.91,1.91,17.7,-0.28,20.1,77,77,0,110,110,00:00,277,43,100,100,0,0,0,0.0,0,245,249,5104.3,614.2
1.0,1971,1971,1659,1659,2500,2500,1.91,1.91,17.7,-0.30,20.1,77,77,0,110,110,00:00,279,43,100,100,0,0,0,0.0,0,245,248,5118.2,614.2
1.1,1971,1971,1660,1659,2500,2500,1.91,1.91,17.7,-0.32,20.1,77,77,0,110,110,00:00,281,43,100,100,0,0,0,0.0,0,245,248,5132.5,614.2
1.2,1971,1971,1660,1660,2500,2500,1.91,1.91,17.7,-0.33,20.0,77,77,0,110,110,00:00,283,43,100,100,0,0,0,0.0,0,245,248,5147.8,614.2
1.3,1971,1971,1661,1661,2500,2500,1.91,1.91,17.7,-0.35,20.0,77,77,0,110,110,00:00,285,43,100,100,0,0,0,0.0,0,245,248,5166.5,614.2
1.4,1971,1971,1661,1661,2500,2500,1.91,1.91,17.7,-0.34,20.0,77,77,0,110,110,00:00,287,43,100,100,0,0,0,0.0,0,244,248,5185.4,614.2
1.5,1971,1971,1662,1662,2500,2500,1.91,1.91,17.7,-0.36,19.9,77,77,0,110,110,00:00,288,43,100,100,0,0,0,0.0,0,244,248,5193.1,614.2
1.6,1971,1971,1663,1663,2500,2500,1.91,1.91,17.7,-0.37,19.9,77,77,0,110,110,00:00,290,43,100,100,0,0,0,0.0,0,244,247,5206.5,614.2
1.7,1971,1971,1663,1663,2500,2500,1.91,1.91,17.0,-0.39,19.9,77,77,0,110,110,00:00,293,43,100,100,0,0,0,0.0,0,244,247,5230.2,721.4
1.8,1971,1971,1664,1664,2500,2500,1.91,1.91,17.0,-0.39,19.8,77,77,0,110,110,00:00,295,43,100,100,0,0,0,0.0,0,244,247,5249.1,721.4
1.9,1971,1971,1665,1665,2500,2500,1.91,1.91,17.0,-0.41,19.8,77,77,0,110,110,00:00,297,43,100,100,0,0,0,0.0,0,243,247,5266.6,721.4
2.0,1971,1971,1665,1665,2500,2500,1.91,1.91,17.0,-0.40,19.7,77,77,0,110,110,00:00,299,43,100,100,0,0,0,0.0,0,243,247,5283.9,721.4
2.1,1971,1971,1666,1666,2500,2500,1.91,1.91,17.0,-0.41,19.7,77,77,0,110,110,00:00,300,43,100,100,0,0,0,0.0,0,243,247,5288.0,721.4
2.2,1971,1971,1667,1667,2500,2500,1.91,1.91,17.0,-0.42,19.7,77,77,0,110,110,00:00,302,43,100,100,0,0,0,0.0,0,243,246,5301.6,721.4
2.3,1971,1971,1667,1667,2500,2500,1.91,1.91,17.0,-0.42,19.6,77,77,0,110,110,00:00,304,43,100,100,0,0,0,0.0,0,243,246,5315.7,721.4
2.4,1971,1971,1668,1668,2500,2500,1.91,1.91,17.0,-0.43,19.6,77,77,0,110,110,00:00,306,43,100,100,0,0,0,0.0,0,242,246,5334.0,721.4
2.5,1971,1971,1668,1669,2500,2500,1.91,1.91,17.0,-0.44,19.6,77,77,0,110,110,00:00,308,43,100,100,0,0,0,0.0,0,242,246,5352.4,721.4
2.6,1971,1971,1669,1669,2500,2500,1.91,1.91,17.0,-0.43,19.5,77,77,0,110,110,00:00,310,43,100,100,0,0,0,0.0,0,242,246,5369.7,721.4
2.7,1971,1971,1670,1670,2500,2500,1.91,1.91,16.3,-0.45,19.5,77,77,0,110,110,00:00,313,44,100,100,0,0,0,0.0,0,242,245,5392.1,816.3
2.8,1971,1971,1671,1671,2500,2500,1.91,1.91,16.3,-0.46,19.4,77,77,0,110,110,00:00,315,44,100,100,0,0,0,0.0,0,242,245,5405.9,816.3
2.9,1971,1971,1671,1671,2500,2500,1.91,1.91,16.3,-0.48,19.4,77,77,0,110,110,00:00,316,44,100,100,0,0,0,0.0,0,241,245,5414.9,816.3
3.0,1971,1971,1672,1672,2500,2500,1.91,1.91,16.3,-0.49,19.4,76,76,0,110,110,00:00,318,44,100,100,0,0,0,0.0,0,241,245,5432.4,816.3
3.1,1971,1971,1673,1673,2500,2500,1.91,1.91,16.3,-0.49,19.3,76,76,0,110,110,00:00,320,45,100,100,0,0,0,0.0,0,241,245,5449.7,816.3
3.2,1971,1971,1673,1673,2500,2500,1.91,1.91,16.3,-0.50,19.3,76,76,0,110,110,00:00,322,45,100,100,0,0,0,0.0,0,241,245,5466.7,816.3
3.3,1971,1971,1674,1674,2500,2500,1.91,1.91,16.3,-0.50,19.3,76,76,0,110,110,00:00,324,45,100,100,0,0,0,0.0,0,241,244,5483.5,816.3
3.4,1971,1971,1674,1675,2500,2500,1.91,1.91,16.3,-0.51,19.3,76,76,0,110,110,00:00,326,45,100,100,0,0,0,0.0,0,241,244,5497.1,816.3
3.5,1971,1971,1675,1675,2500,2500,1.91,1.91,16.3,-0.51,19.2,76,76,0,110,110,00:00,328,45,100,100,0,0,0,0.0,0,240,244,5514.4,816.3
3.6,1971,1971,1676,1676,2500,2500,1.91,1.91,16.3,-0.51,19.2,76,76,0,110,110,00:00,330,45,100,100,0,0,0,0.0,0,240,244,5531.5,816.3
3.7,1971,1971,1676,1676,2500,2500,1.91,1.91,16.1,-0.51,19.2,76,76,0,110,110,00:00,332,45,100,100,0,0,0,0.0,0,240,244,5548.4,852.4
3.8,1971,1971,1677,1677,2500,2500,1.91,1.91,16.1,-0.51,19.1,76,76,0,110,110,00:00,334,46,100,100,0,0,0,0.0,0,240,244,5565.1,852.4
3.9,1971,1971,1678,1678,2500,2500,1.91,1.91,16.1,-0.51,19.1,76,76,0,110,110,00:00,335,46,100,100,0,0,0,0.0,0,240,243,5572.5,852.4
4.0,1971,1971,1678,1678,2500,2500,1.91,1.91,16.1,-0.51,19.1,76,76,0,110,110,00:00,337,46,100,100,0,0,0,0.0,0,239,243,5585.3,852.4
4.1,1971,1971,1679,1679,2500,2500,1.91,1.91,16.1,-0.51,19.1,76,76,0,110,110,00:00,339,46,100,100,0,0,0,0.0,0,239,243,5602.5,852.4
4.2,1971,1971,1680,1680,2500,2500,1.91,1.91,16.1,-0.51,19.1,76,76,0,110,110,00:00,342,46,100,100,0,0,0,0.0,0,239,243,5629.4,852.4
4.3,1971,1971,1680,1680,2500,2500,1.91,1.91,16.1,-0.51,19.0,76,76,0,110,110,00:00,343,46,100,100,0,0,0,0.0,0,239,243,5636.4,852.4
4.4,1971,1971,1681,1681,2500,2500,1.91,1.91,16.1,-0.50,19.0,76,76,0,110,110,00:00,345,46,100,100,0,0,0,0.0,0,239,243,5653.8,852.4
4.5,1971,1971,1682,1681,2500,2500,1.91,1.91,16.1,-0.49,19.0,76,76,0,110,110,00:00,347,46,100,100,0,0,0,0.0,0,238,242,5669.7,852.4
4.6,1971,1971,1682,1682,2500,2500,1.91,1.91,16.1,-0.48,19.0,76,76,0,110,110,00:00,349,46,100,100,0,0,0,0.0,0,238,242,5690.1,852.4
4.7,1971,1971,1683,1682,2500,2500,1.91,1.91,16.0,-0.48,19.0,76,76,0,110,110,00:00,351,47,100,100,0,0,0,0.0,0,238,242,5706.5,863.5
4.8,1971,1971,1683,1683,2500,2500,1.91,1.91,16.0,-0.47,18.9,76,76,0,110,110,00:00,353,47,100,100,0,0,0,0.0,0,238,242,5722.4,863.5
4.9,1971,1971,1684,1683,2500,2500,1.91,1.91,16.0,-0.46,18.9,76,76,0,110,110,00:00,354,47,100,100,0,0,0,0.0,0,238,242,5729.3,863.5
5.0,1971,1971,1684,1684,2500,2500,1.91,1.91,16.0,-0.45,18.9,76,76,0,110,110,00:00,357,47,100,100,0,0,0,0.0,0,238,242,5755.3,863.5
5.1,1971,1971,1685,1685,2500,2500,1.91,1.91,16.0,-0.43,18.9,76,76,0,110,110,00:00,359,47,100,100,0,0,0,0.0,0,237,241,5771.5,863.5
5.2,1971,1971,1685,1685,2500,2500,1.91,1.91,16.0,-0.44,18.9,76,76,0,110,110,00:00,360,47,100,100,0,0,0,0.0,0,237,241,5778.0,863.5
5.3,1971,1971,1686,1686,2500,2500,1.91,1.91,16.0,-0.45,18.9,76,76,0,110,110,00:00,362,47,100,100,0,0,0,0.0,0,237,241,5798.0,863.5
5.4,1971,1971,1686,1686,2500,2500,1.91,1.91,16.0,-0.44,18.8,76,76,0,110,110,00:00,364,47,100,100,0,0,0,0.0,0,237,241,5813.7,863.5
5.5,1971,1971,1687,1687,2500,2500,1.91,1.91,16.0,-0.45,18.8,76,76,0,110,110,00:00,366,47,100,100,0,0,0,0.0,0,237,241,5829.6,863.5
5.6,1971,1971,1687,1687,2500,2500,1.91,1.91,16.0,-0.46,18.8,76,76,0,110,110,00:00,368,47,100,100,0,0,0,0.0,0,237,241,5846.2,863.5
5.7,1971,1971,1688,1688,2500,2500,1.91,1.91,15.7,-0.46,18.8,76,76,0,110,110,00:00,370,47,100,100,0,0,0,0.0,0,237,241,5862.3,892.7
5.8,1971,1971,1689,1688,2500,2500,1.91,1.91,15.7,-0.45,18.8,76,76,0,110,110,00:00,372,47,100,100,0,0,0,0.0,0,236,240,5878.4,892.7
5.9,1971,1971,1689,1689,2500,2500,1.91,1.91,15.7,-0.46,18.7,76,76,0,110,110,00:00,373,47,100,100,0,0,0,0.0,0,236,240,5888.6,892.7
6.0,1971,1971,1690,1690,2500,2500,1.91,1.91,15.7,-0.46,18.7,76,76,0,110,110,00:00,376,47,100,100,0,0,0,0.0,0,236,240,5918.4,892.7
6.1,1971,1971,1690,1690,2500,2500,1.91,1.91,15.7,-0.46,18.7,76,76,0,110,110,00:00,377,47,100,100,0,0,0,0.0,0,236,240,5927.3,892.7
6.2,1971,1971,1691,1691,2500,2500,1.91,1.91,15.7,-0.46,18.7,76,76,0,110,110,00:00,380,47,100,100,0,0,0,0.0,0,236,240,5951.2,892.7
6.3,1971,1971,1691,1691,2500,2500,1.91,1.91,15.7,-0.44,18.7,76,76,0,110,110,00:00,381,47,100,100,0,0,0,0.0,0,236,240,5957.0,892.7
6.4,2300,2300,1277,1276,2540,2540,2.23,2.23,15.7,8.99,56.1,142,142,0,110,110,00:00,385,46,100,100,0,0,0,18.8,585,680,693,22296.3,892.7
6.5,2374,2374,1056,1056,2692,2692,2.34,2.34,15.7,16.86,60.9,114,114,0,110,110,00:00,391,37,100,100,0,0,0,15.7,706,683,695,22492.6,892.7
